model,macro_f1,nll,brier,ece_15,accuracy
E2,0.40731939187942284,0.342402888584022,0.17226258079870335,0.03293829761784903,0.8906178489702518
U3 Stage A,0.38430192574892597,0.4653630939180707,0.18197996259038568,0.06887155480052018,0.8906941266209001
U3 Stage B,0.40339018838489094,0.4717196665867969,0.18449511389497442,0.0457248238549716,0.8868039664378338
