variant,experiment_id,image_height,image_width,pooled_macro_f1,fold_mean_macro_f1,fold_sd_macro_f1,spring_f1,five_fold_runtime_minutes,peak_vram_mb,parameter_count,config_sha256,split_sha256,label_map_sha256,implementation_sha256,transform_id,delta_vs_p0_macro_f1,delta_vs_p0_spring_f1,runtime_ratio_vs_p0,peak_vram_ratio_vs_p0
P0,g1-c2-resnet18,80,60,0.707099241697181,0.706495623893654,0.0038716837780336,0.7384333486028402,29.209413589999894,606.38916015625,11170884,3fb4b56409c1fb3af03d0863cf69b0367fc1d23c84881a7307fdab978430f728,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,dd1c2e687fff3fff7d9117f2925e5ea25a6be253a21357467cb92ccb82eebe5f,a0-7dba8a62f166046d,0.0,0.0,1.0,1.0
P1,g2-p1-c2-resnet18,128,96,0.7053119760782787,0.7051536376159107,0.0064672144315201,0.7386727688787186,58.18499035999994,1321.92041015625,11170884,ff7443db6f31e6b1ec72567d07e3a2b54e58f244c4ee60bc8ca499bb4b5c2119,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,dd1c2e687fff3fff7d9117f2925e5ea25a6be253a21357467cb92ccb82eebe5f,a0-a8878a801aa0d46e,-0.0017872656189023006,0.0002394202758784214,1.99199447057438,2.179986874791144
