candidate,calibration_method,bin,lower_bound,upper_bound,count,mean_confidence,empirical_accuracy,calibration_gap
C2,uncalibrated,0,0.0,0.06666666666666667,0,,,
C2,uncalibrated,1,0.06666666666666667,0.13333333333333333,0,,,
C2,uncalibrated,2,0.13333333333333333,0.2,0,,,
C2,uncalibrated,3,0.2,0.26666666666666666,0,,,
C2,uncalibrated,4,0.26666666666666666,0.3333333333333333,21,0.3152051794722718,0.38095238095238093,0.06574720148010915
C2,uncalibrated,5,0.3333333333333333,0.4,390,0.37540037632531903,0.44871794871794873,0.0733175723926297
C2,uncalibrated,6,0.4,0.4666666666666667,1030,0.43707856230435627,0.4330097087378641,-0.00406885356649217
C2,uncalibrated,7,0.4666666666666667,0.5333333333333333,2282,0.5027096242597533,0.48115687992988604,-0.021552744329867257
C2,uncalibrated,8,0.5333333333333333,0.6,2596,0.5668234667424401,0.5296610169491526,-0.03716244979328753
C2,uncalibrated,9,0.6,0.6666666666666666,2427,0.6330230339615777,0.5822002472187886,-0.05082278674278906
C2,uncalibrated,10,0.6666666666666666,0.7333333333333333,2402,0.699661070050396,0.609075770191507,-0.09058529985888897
C2,uncalibrated,11,0.7333333333333333,0.8,2566,0.7671353331899875,0.6773187840997662,-0.0898165490902213
C2,uncalibrated,12,0.8,0.8666666666666667,2927,0.8345419022031297,0.7495729415784079,-0.08496896062472181
C2,uncalibrated,13,0.8666666666666667,0.9333333333333333,3984,0.9018809664964413,0.8187751004016064,-0.08310586609483495
C2,uncalibrated,14,0.9333333333333333,1.0,12128,0.9787960256585727,0.933377308707124,-0.04541871695144872
C2,cross_fitted_temperature,0,0.0,0.06666666666666667,0,,,
C2,cross_fitted_temperature,1,0.06666666666666667,0.13333333333333333,0,,,
C2,cross_fitted_temperature,2,0.13333333333333333,0.2,0,,,
C2,cross_fitted_temperature,3,0.2,0.26666666666666666,0,,,
C2,cross_fitted_temperature,4,0.26666666666666666,0.3333333333333333,91,0.31943943014497816,0.38461538461538464,0.06517595447040647
C2,cross_fitted_temperature,5,0.3333333333333333,0.4,897,0.3729035054164101,0.4459308807134894,0.07302737529707931
C2,cross_fitted_temperature,6,0.4,0.4666666666666667,1944,0.4363322369903497,0.4696502057613169,0.03331796877096721
C2,cross_fitted_temperature,7,0.4666666666666667,0.5333333333333333,3167,0.5013050837764679,0.5194190085254183,0.01811392474895046
C2,cross_fitted_temperature,8,0.5333333333333333,0.6,3145,0.5662331289081255,0.5736089030206677,0.007375774112542199
C2,cross_fitted_temperature,9,0.6,0.6666666666666666,2870,0.6329756293241274,0.627177700348432,-0.005797928975695421
C2,cross_fitted_temperature,10,0.6666666666666666,0.7333333333333333,2807,0.6999641293193342,0.7199857499109369,0.02002162059160273
C2,cross_fitted_temperature,11,0.7333333333333333,0.8,2952,0.7672252066409836,0.7693089430894309,0.002083736448447282
C2,cross_fitted_temperature,12,0.8,0.8666666666666667,3311,0.8338092643006306,0.8350951374207188,0.00128587312008821
C2,cross_fitted_temperature,13,0.8666666666666667,0.9333333333333333,4330,0.9021474989323883,0.9004618937644342,-0.0016856051679541295
C2,cross_fitted_temperature,14,0.9333333333333333,1.0,7239,0.9690453001962147,0.9585578118524658,-0.010487488343748907
I2,uncalibrated,0,0.0,0.06666666666666667,0,,,
I2,uncalibrated,1,0.06666666666666667,0.13333333333333333,0,,,
I2,uncalibrated,2,0.13333333333333333,0.2,0,,,
I2,uncalibrated,3,0.2,0.26666666666666666,0,,,
I2,uncalibrated,4,0.26666666666666666,0.3333333333333333,29,0.3159664830255571,0.4482758620689655,0.13230937904340845
I2,uncalibrated,5,0.3333333333333333,0.4,397,0.3738299994537704,0.3501259445843829,-0.02370405486938748
I2,uncalibrated,6,0.4,0.4666666666666667,972,0.43807008050171004,0.4434156378600823,0.005345557358372277
I2,uncalibrated,7,0.4666666666666667,0.5333333333333333,2169,0.5041139036702259,0.5066851083448594,0.002571204674633454
I2,uncalibrated,8,0.5333333333333333,0.6,2402,0.5665271473821468,0.5274771024146545,-0.039050044967492314
I2,uncalibrated,9,0.6,0.6666666666666666,2412,0.6335977993628403,0.6048922056384743,-0.028705593724365985
I2,uncalibrated,10,0.6666666666666666,0.7333333333333333,2503,0.6993297515747163,0.6360367558929285,-0.06329299568178781
I2,uncalibrated,11,0.7333333333333333,0.8,2686,0.767137305276005,0.7066269545793,-0.06051035069670496
I2,uncalibrated,12,0.8,0.8666666666666667,2844,0.8345710558879618,0.7510548523206751,-0.08351620356728662
I2,uncalibrated,13,0.8666666666666667,0.9333333333333333,3859,0.9014557094539962,0.8281938325991189,-0.07326187685487728
I2,uncalibrated,14,0.9333333333333333,1.0,12480,0.9799103261259001,0.941025641025641,-0.03888468510025911
I2,cross_fitted_temperature,0,0.0,0.06666666666666667,0,,,
I2,cross_fitted_temperature,1,0.06666666666666667,0.13333333333333333,0,,,
I2,cross_fitted_temperature,2,0.13333333333333333,0.2,0,,,
I2,cross_fitted_temperature,3,0.2,0.26666666666666666,0,,,
I2,cross_fitted_temperature,4,0.26666666666666666,0.3333333333333333,87,0.3177545937642565,0.42528735632183906,0.10753276255758254
I2,cross_fitted_temperature,5,0.3333333333333333,0.4,814,0.37210123345621043,0.3955773955773956,0.02347616212118514
I2,cross_fitted_temperature,6,0.4,0.4666666666666667,1760,0.4364981284882625,0.48295454545454547,0.04645641696628294
I2,cross_fitted_temperature,7,0.4666666666666667,0.5333333333333333,2915,0.5014513571523372,0.5234991423670668,0.02204778521472961
I2,cross_fitted_temperature,8,0.5333333333333333,0.6,3115,0.566205379772764,0.5926163723916533,0.02641099261888935
I2,cross_fitted_temperature,9,0.6,0.6666666666666666,2971,0.6326763181461849,0.6576910131268933,0.025014694980708407
I2,cross_fitted_temperature,10,0.6666666666666666,0.7333333333333333,2923,0.6998624384538238,0.7122819021553198,0.012419463701496047
I2,cross_fitted_temperature,11,0.7333333333333333,0.8,2858,0.7675960417300479,0.7897130860741778,0.022117044344129866
I2,cross_fitted_temperature,12,0.8,0.8666666666666667,3194,0.8333515681067488,0.8425172197871008,0.009165651680351994
I2,cross_fitted_temperature,13,0.8666666666666667,0.9333333333333333,4163,0.9023536050036461,0.9041556569781407,0.0018020519744945673
I2,cross_fitted_temperature,14,0.9333333333333333,1.0,7953,0.9715556882323606,0.9612724757952974,-0.010283212437063205
