candidate,experiment_id,seed,calibration_method,support,accuracy,macro_f1,nll,brier,ece,mean_confidence,delta_nll_vs_uncalibrated,delta_brier_vs_uncalibrated,delta_ece_vs_uncalibrated,delta_mean_confidence_vs_uncalibrated
C2,g3-c2-t0-resnet18,2753,uncalibrated,32753,0.7477788294202058,0.7350355076324379,0.6657363015120032,0.35609205067323857,0.05745613293349274,0.8034046236691219,0.0,0.0,0.0,0.0
C2,g3-c2-t0-resnet18,2753,cross_fitted_temperature,32753,0.7477788294202058,0.7350355076324379,0.6388672076756515,0.35119861049203477,0.011700832522451732,0.7421756157209388,-0.02686909383635172,-0.004893440181203801,-0.045755300411041006,-0.06122900794818309
I2,g4-i2-article-type-lambda-0-3-c1,2753,uncalibrated,32753,0.7624950386224163,0.7526869559580971,0.6324668801797197,0.3378159786332474,0.04621036584387822,0.8078132851061645,0.0,0.0,0.0,0.0
I2,g4-i2-article-type-lambda-0-3-c1,2753,cross_fitted_temperature,32753,0.7624950386224163,0.7526869559580971,0.6082414505776006,0.33475322373745403,0.01676666144628276,0.7507222640574551,-0.024225429602119153,-0.0030627548957933848,-0.02944370439759546,-0.057091021048709334
