original_notebook,retained_notebook,original_sha256,training_calls_sha256
04k_task3_clean_slate_eda.ipynb,clean_slate_eda.ipynb,12d666bb17e29ba0427d2e7ba80bc4421d6f6b2fe94f58e67351c3a3c611c911,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
04l_task3_clean_slate_screen_1.ipynb,clean_slate_screen_1.ipynb,0fc14a930cff12cf8ef70c6b36e1a2b2259b1d2749d49ca83b38f366d89782bc,807316020e4357289e9684a0ff58613cd4f9fdc322706ec63054fa1fd9163d0a
04m_task3_micro_swin_clean_slate_screen_2.ipynb,micro_swin_clean_slate_screen_2.ipynb,81c201ea37906fef4e2cbf7be7d49064a16b9f002f0c34d0944bfd70be144b68,0280870a6bdcf8f0dce4d4060ccb10f5f1f1f8aa2f25a835c062f7e893f15803
04n_task3_gem_gender_v2_g1_foreground_mask.ipynb,gem_gender_v2_g1_foreground_mask.ipynb,827ba9f5a09277bf6bc8520a3c5aea437d405897de441e67073e92694bbe5ea5,a2048535f8ebd85eecb81d41cb73a69e8bf37c5a1b34cc93fef7c9cb5355a685
04o_task3_gem_gender_v2_g2_translation.ipynb,gem_gender_v2_g2_translation.ipynb,393157cc948c368bd65562a537647f28d29b35fe3c0513dcb526453d68fc9490,6758e42d98951b73ad63d97403c8bf1053c0223a9a66fd5c5a1dd731f37182fb
04p_task3_gem_gender_v2_g3_component_weight.ipynb,gem_gender_v2_g3_component_weight.ipynb,cabb82f9de8adf31f3fd6c7b68f2632ff7ce3f7ce3f3668523899074355bd5c1,05ed17870cef1a7eaee07990cb4eca054d289af9248596a23de8c0b822494da4
04q_task3_smallcnn_usage_v2_u1_component_weight.ipynb,smallcnn_usage_v2_u1_component_weight.ipynb,cc68f2a62fecfb5efd6d19e4ea50da5ff63f86925b668493bdfeb081405d468b,cdd3dddeaefcab83432bc0554f2b7991db6f98829501927d59600ad3682ae566
04r_task3_gem_gender_v2_g2_confirmation.ipynb,gem_gender_v2_g2_confirmation.ipynb,d690b08c417139802b797780c3ac6f47d07a27fbdd7350ad387e751a9aeedf95,737169ebc00a97d8fddaba4ff190ac963ed05581ab08eaec55ef4e0c5530c4d3
04s_task3_usage_v2_u2_full_rgb_hog_svm.ipynb,usage_v2_u2_full_rgb_hog_svm.ipynb,e51adbdb173ff229fd5a78f3af3a9aa934c56248733a8fa3d059bf72d12b8134,da95b2210afc74f121b49a249f84946beff64e8f4904e9f0b5d227865aa7936e
04t_task3_gender_gd1_mild_darkening.ipynb,gender_gd1_mild_darkening.ipynb,4b2d356f0bf99a59701b60bd4b5b141ecb9eee9da15aa66731f188edfe97c005,c28a1e37701afa43433c724e147e407b02fcb51a6b697580c80f86842fc43a1c
04u_task3_gender_weight_decay_screen.ipynb,gender_weight_decay_screen.ipynb,95c1218bfec452642ed2a0ad831e6de5c9459b3ffd83eabf53d94699f12d5fed,52ba5d372c26af3c5c4cd908579bdec26c86955e15b81b57162daeb33c4225a0
04v_task3_gender_saved_model_diagnostic.ipynb,gender_saved_model_diagnostic.ipynb,eaa757b490a993d3bbf2d04fdaebefd8374ea84d9620ddbc0be2f65a888aa71f,e2a746b9b7fafc962f9060c31177dbd2f281dc2b3945fb52e2bf88038f0d2440
04w_task3_gender_precision_check.ipynb,gender_precision_check.ipynb,86b15492bc395348edb159763719afee2d575435ff93a778e36a3f5c1369a24e,1bf0bad4693e17945891818451c772e8e20329d46fe1e2db84565ea7d3c2464c
04x_task3_gender_narrow64_screen.ipynb,gender_narrow64_screen.ipynb,fd07808437c40b730a199dfde1c14c1dbc6fea78ab8da633d4d1f8fcbaee265a,abbaa4de90d6ccab9aa3f0b82304bfa305fda5549262aaa1850d668f1aaf5005
04y_task3_gender_dropout_screen.ipynb,gender_dropout_screen.ipynb,d7fa0410e5ec706fd1379841a9ff8b3d152dd140b7293f12ab657da2fe342932,fb5a9f8fe55df6dacdc40a4adc769091b6b61d7a03e7fbd3dfa7e5c483d2a472
04z_task3_usage_two_stage_screen.ipynb,usage_two_stage_screen.ipynb,80257a4e3c6b15d6adeaa15975b0431b6ee77b287cbf4461e9f84205ba1c1203,db05d102fa3c9b042eefede90612c53d5341288da108fd401c4b0488028c2b05
