run_id,stage,experiment_id,model_family,benchmark_only,final_eligible,scratch,fold,seed,git_commit,git_dirty,config_sha256,split_sha256,label_map_sha256,implementation_sha256,transform_id,loss_id,epochs_requested,epochs_completed,best_epoch,primary_metric_name,primary_metric_value,runtime_seconds,peak_vram_mb,parameter_count,checkpoint_path,checkpoint_sha256,prediction_path,prediction_sha256,history_path,history_sha256,status
g3-c2-t0-resnet18-f0-s2753-c6cd41fd50f4,g3_full_budget,g3-c2-t0-resnet18,resnet18_small_stem,false,true,true,0,2753,e6d42e2a33593e637549d4347d90487de47f5de8,false,1867b18890a586c213cedcb902344be3fab99d9c3f0f8bc0d854efbc55bc5887,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,dd1c2e687fff3fff7d9117f2925e5ea25a6be253a21357467cb92ccb82eebe5f,a0-7dba8a62f166046d,cross_entropy,30,27,22,macro_f1,0.735379465895546,1061.2522943999793,605.88916015625,11170884,tmp/task2/checkpoints/g3-c2-t0-resnet18-f0-s2753-c6cd41fd50f4.pt,3cc9f3d93cdabbe60cea65a3e90269057a67c156c56ea41ef6e812a4ef48381c,tmp/task2/runs/g3-c2-t0-resnet18-f0-s2753-c6cd41fd50f4/oof.csv,202042a9ac563f2377b8e20ceab124888a8e8d652039e9adb02c7a0091597f27,tmp/task2/runs/g3-c2-t0-resnet18-f0-s2753-c6cd41fd50f4/history.json,d97d6a9579e062abfb2cc48e02c176d407f9e7c5e44cac42fca84ce07397ad93,completed
g3-c2-t0-resnet18-f1-s2753-30a5a7742c38,g3_full_budget,g3-c2-t0-resnet18,resnet18_small_stem,false,true,true,1,2753,e6d42e2a33593e637549d4347d90487de47f5de8,false,1867b18890a586c213cedcb902344be3fab99d9c3f0f8bc0d854efbc55bc5887,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,dd1c2e687fff3fff7d9117f2925e5ea25a6be253a21357467cb92ccb82eebe5f,a0-7dba8a62f166046d,cross_entropy,30,29,24,macro_f1,0.7301639034276558,1275.7926002999884,606.26416015625,11170884,tmp/task2/checkpoints/g3-c2-t0-resnet18-f1-s2753-30a5a7742c38.pt,9bd3180201f863b90acdcdc9cda5d7d1000cda64947a83b6c13aae5c8837c151,tmp/task2/runs/g3-c2-t0-resnet18-f1-s2753-30a5a7742c38/oof.csv,85974f5cc3a20031a767d62eaebfd227d992a5e44ae0d82d997accfcb2f6edb7,tmp/task2/runs/g3-c2-t0-resnet18-f1-s2753-30a5a7742c38/history.json,0ddaa67d3eae8aa93f51ac15908e08d67d073111f263a942a4fc5c2feabf05ac,completed
g3-c2-t0-resnet18-f2-s2753-aaac5fd8559b,g3_full_budget,g3-c2-t0-resnet18,resnet18_small_stem,false,true,true,2,2753,e6d42e2a33593e637549d4347d90487de47f5de8,false,1867b18890a586c213cedcb902344be3fab99d9c3f0f8bc0d854efbc55bc5887,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,dd1c2e687fff3fff7d9117f2925e5ea25a6be253a21357467cb92ccb82eebe5f,a0-7dba8a62f166046d,cross_entropy,30,19,14,macro_f1,0.72969255491362,704.9190468000015,606.38916015625,11170884,tmp/task2/checkpoints/g3-c2-t0-resnet18-f2-s2753-aaac5fd8559b.pt,a36f7610d8919a858f6c364ac6f7f5f42b73a406f6520686e954d247d148fcea,tmp/task2/runs/g3-c2-t0-resnet18-f2-s2753-aaac5fd8559b/oof.csv,eb26fb4ee409333956056bccdc478a8a5ce42eab18651040cb46a841aa977bed,tmp/task2/runs/g3-c2-t0-resnet18-f2-s2753-aaac5fd8559b/history.json,06a2c0155a8e210b0fbc398a9a7f1b678f361805985950e7724552cce487a329,completed
g3-c2-t0-resnet18-f3-s2753-5e67289a4f07,g3_full_budget,g3-c2-t0-resnet18,resnet18_small_stem,false,true,true,3,2753,e6d42e2a33593e637549d4347d90487de47f5de8,false,1867b18890a586c213cedcb902344be3fab99d9c3f0f8bc0d854efbc55bc5887,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,dd1c2e687fff3fff7d9117f2925e5ea25a6be253a21357467cb92ccb82eebe5f,a0-7dba8a62f166046d,cross_entropy,30,27,22,macro_f1,0.7454441632445239,1024.8970681999926,606.38916015625,11170884,tmp/task2/checkpoints/g3-c2-t0-resnet18-f3-s2753-5e67289a4f07.pt,2cb33d8b4cf7817d7f94066356eddf77061a6d22d1a29bae6fd91f574b2b0c37,tmp/task2/runs/g3-c2-t0-resnet18-f3-s2753-5e67289a4f07/oof.csv,63b200726e0040fc3740699bceeb4378b2fa9a6258f940642b7a8e1be2eb5c76,tmp/task2/runs/g3-c2-t0-resnet18-f3-s2753-5e67289a4f07/history.json,15a2092a0cc04c765bfe5d7df5430e11c472c71aab880cfd31aa93fa0902b577,completed
g3-c2-t0-resnet18-f4-s2753-74ee05278402,g3_full_budget,g3-c2-t0-resnet18,resnet18_small_stem,false,true,true,4,2753,e6d42e2a33593e637549d4347d90487de47f5de8,false,1867b18890a586c213cedcb902344be3fab99d9c3f0f8bc0d854efbc55bc5887,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,dd1c2e687fff3fff7d9117f2925e5ea25a6be253a21357467cb92ccb82eebe5f,a0-7dba8a62f166046d,cross_entropy,30,30,28,macro_f1,0.734809718676507,1252.5224971999996,606.26416015625,11170884,tmp/task2/checkpoints/g3-c2-t0-resnet18-f4-s2753-74ee05278402.pt,b99f7fd286ed4d228afe069bac92e447440c851a904de3bc8c9c310bfba52f26,tmp/task2/runs/g3-c2-t0-resnet18-f4-s2753-74ee05278402/oof.csv,e206df2740fe863610e58db3b2ef625704883d0fb43bf0b5516ae4b5b4a2d1d3,tmp/task2/runs/g3-c2-t0-resnet18-f4-s2753-74ee05278402/history.json,605a39a5f95ee2185ef1ece57f81e72dd7faa34039a59ef86d7575e0172589a7,completed
