fold,class_name,G2,Gray10,NameTruth,reduction_vs_g2,reduction_vs_gray10
0,Boys,0.1775320237674427,0.20161214254336912,0.2432767043448335,-0.0657446805773908,-0.041664561801464384
0,Girls,0.20946626384692857,0.23436849519564373,0.25292380619341814,-0.043457542346489575,-0.01855531099777441
0,Men,0.05686955093014412,0.046289117460117546,0.04833462752757678,0.00853492340256734,-0.002045510067459233
0,Unisex,0.36906205906379186,0.28722504910776736,0.282692429682445,0.08636962938134685,0.004532619425322348
0,Women,0.07724226698597592,0.06847762327432128,0.06866763227273809,0.008574634713237828,-0.00019000899841681296
4,Boys,0.22039714727242388,0.16381312476813392,0.18530169659238505,0.03509545068003883,-0.021488571824251124
4,Girls,0.3115874620829119,0.2118662950304162,0.22336820670590063,0.08821925537701125,-0.011501911675484422
4,Men,0.05320195539830974,0.04648852122350222,0.04618116398037808,0.00702079141793166,0.00030735724312414003
4,Unisex,0.38477549096076014,0.3102830852827684,0.32560553931586333,0.0591699516448968,-0.015322454033094957
4,Women,0.07212545911787482,0.06471933793714246,0.06157605160927426,0.010549407508600561,0.0031432863278682
