dimension,value,rows,errors,error_rate,families,high_confidence_errors
baseColour,Copper,26,0,0.0,13,0
baseColour,Cream,108,5,0.046296296296296294,87,1
baseColour,Fluorescent Green,1,0,0.0,1,0
baseColour,Gold,136,10,0.07352941176470588,85,0
baseColour,Green,605,50,0.08264462809917356,471,9
baseColour,Grey,848,70,0.08254716981132075,660,21
baseColour,Grey Melange,34,0,0.0,28,0
baseColour,Khaki,48,7,0.14583333333333334,23,2
baseColour,Lavender,42,1,0.023809523809523808,35,0
baseColour,Lime Green,1,0,0.0,1,0
baseColour,Magenta,38,0,0.0,30,0
baseColour,Maroon,166,7,0.04216867469879518,119,2
baseColour,Mauve,1,0,0.0,1,0
baseColour,Metallic,14,0,0.0,6,0
baseColour,Multi,103,4,0.038834951456310676,66,1
baseColour,Mushroom Brown,9,0,0.0,3,0
baseColour,Mustard,32,2,0.0625,27,0
baseColour,NA,5,1,0.2,4,1
baseColour,Navy Blue,557,36,0.06463195691202872,427,7
baseColour,Nude,2,0,0.0,2,0
baseColour,Off White,55,3,0.05454545454545454,49,1
baseColour,Olive,118,7,0.059322033898305086,92,1
baseColour,Orange,153,16,0.10457516339869281,130,2
baseColour,Peach,34,2,0.058823529411764705,31,1
baseColour,Pink,503,45,0.08946322067594434,388,12
baseColour,Purple,510,45,0.08823529411764706,385,13
baseColour,Red,727,79,0.10866574965612105,575,15
baseColour,Rose,2,0,0.0,2,0
baseColour,Rust,17,0,0.0,14,0
baseColour,Sea Green,3,0,0.0,3,0
baseColour,Silver,340,43,0.1264705882352941,160,8
baseColour,Skin,22,0,0.0,12,0
baseColour,Steel,111,31,0.27927927927927926,55,5
baseColour,Tan,46,1,0.021739130434782608,35,1
baseColour,Taupe,3,0,0.0,3,0
baseColour,Teal,38,2,0.05263157894736842,32,1
baseColour,Turquoise Blue,19,1,0.05263157894736842,17,0
baseColour,White,1686,163,0.0966785290628707,1262,35
baseColour,Yellow,232,25,0.10775862068965517,183,1
error_status,new_error,177,177,1.0,168,2
error_status,persistent_error,1019,1019,1.0,868,312
error_status,recovered,283,0,0.0,243,0
error_status,still_correct,11631,0,0.0,8051,0
