method,fold,size,query_source,gallery_source,protocol,scope,checkpoint_fingerprint,config_fingerprint,descriptor_fingerprint,width,height,query_transform_seconds,gallery_transform_seconds,query_source_bytes,gallery_source_bytes,feature_bytes_per_image,uint8_tensor_bytes_per_image,float32_tensor_bytes_per_image,metric,k,aggregation,value,query_count,class_count,passed
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,242.09224685,242.09224685,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,ndcg,20,article_type_macro,0.37677626,6552,104,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,242.09224685,242.09224685,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,precision_any,20,query_mean,0.69816087,6552,104,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,242.09224685,242.09224685,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,precision_any,20,article_type_macro,0.39283707,6552,104,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,242.09224685,242.09224685,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,precision_strict,20,query_mean,0.13814866,6552,104,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,242.09224685,242.09224685,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,precision_strict,20,article_type_macro,0.07528405,6552,104,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,242.09224685,242.09224685,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,tie_rate,20,query_mean,0.04296827,6556,108,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,teacher,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,242.09224685,242.09224685,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,tie_rate,20,article_type_macro,0.04486491,6556,108,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,teacher,family,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,242.09224685,242.09224685,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,coverage,10,query_mean,0.39948139,6556,,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,teacher,family,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,242.09224685,242.09224685,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,tie_rate,10,query_mean,0.04109213,6556,,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,teacher,family,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,242.09224685,242.09224685,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,recall,10,query_mean,0.31968229,2619,,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,teacher,family,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,242.09224685,242.09224685,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,hit_rate,10,query_mean,0.57922871,2619,,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,teacher,teacher,family,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,242.09224685,242.09224685,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,precision,10,query_mean,0.13482245,2619,,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,v1,v1,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,241.76933653,241.76933653,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,ndcg,5,query_mean,0.47778752,6552,104,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,v1,v1,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,241.76933653,241.76933653,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,ndcg,5,article_type_macro,0.40985524,6552,104,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,v1,v1,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,241.76933653,241.76933653,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,precision_any,5,query_mean,0.76907814,6552,104,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,v1,v1,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,241.76933653,241.76933653,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,precision_any,5,article_type_macro,0.54085961,6552,104,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,v1,v1,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,241.76933653,241.76933653,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,precision_strict,5,query_mean,0.15387668,6552,104,
hog-luma-g5-u8-c32-b2-s1-l2hys02-v1,1,240x320,v1,v1,primary,development,,,c4604537474ff5ed8889a9e480053b225064fb20027e147582960bb3afd3a848,240.00000000,320.00000000,241.76933653,241.76933653,7550899200.00000000,7550899200.00000000,6912.00000000,230400.00000000,921600.00000000,precision_strict,5,article_type_macro,0.09899596,6552,104,
