metric,estimate,lower_95,upper_95,families,replicates
macro_f1,0.5752214157640415,0.47985284552978963,0.5552708915554232,4110,10000
weighted_f1,0.8469322598947371,0.8359031687529134,0.8578989334475304,4110,10000
top1_accuracy,0.8492557978539287,0.8386345756384286,0.8598024399753372,4110,10000
top5_accuracy,0.9842506057459328,0.9804088434184044,0.9877291887650906,4110,10000
