coverage,rows,error_rate
0.10003461405330565,578,0.00865051903114187
0.2000692281066113,1156,0.007785467128027681
0.3001038421599169,1734,0.00922722029988466
0.4001384562132226,2312,0.012975778546712802
0.5,2889,0.017999307718933887
0.6000346140533056,3467,0.02942024805307182
0.7000692281066113,4045,0.047466007416563656
0.8001038421599169,4623,0.07527579493835172
0.9001384562132225,5201,0.1078638723322438
1.0,5778,0.15074420214607132
