model,label,clean,gray,induced_f1_change,induced_difference_vs_e6,contribution_to_macro_gate
D30,Boys,0.6719787516600265,0.6097517730496453,-0.06222697861038118,-0.02479331648104366,-0.0049586632962087315
D30,Girls,0.5922727272727273,0.3798076923076923,-0.212465034965035,-0.11115440482554084,-0.02223088096510817
D30,Men,0.9361144890720666,0.9182774774382794,-0.01783701163378726,-0.004685408261161705,-0.000937081652232341
D30,Unisex,0.5901026857480979,0.5903780068728522,0.00027532112475436854,0.011631231437750689,0.002326246287550138
D30,Women,0.917771786942381,0.892563536352571,-0.025208250589810022,-0.008180761287921223,-0.0016361522575842446
D45,Boys,0.6383538502014761,0.576701784695121,-0.06165206550635505,-0.024218403377017528,-0.004843680675403505
D45,Girls,0.5720707795313247,0.406070549630845,-0.1660002299004797,-0.06468959976098554,-0.012937919952197108
D45,Men,0.9326483941314532,0.912226628740838,-0.020421765390615132,-0.007270162017989579,-0.0014540324035979158
D45,Unisex,0.5911207874832476,0.5781478790588499,-0.012972908424397689,-0.0016169981114013687,-0.00032339962228027374
D45,Women,0.9128390323466017,0.8825786604075281,-0.030260371939073605,-0.013232882637184806,-0.002646576527436961
E6,Boys,0.6395681868252919,0.6021345246959544,-0.03743366212933752,0.0,0.0
E6,Girls,0.5520699738367619,0.4507593436972678,-0.10131063013949415,0.0,0.0
E6,Men,0.9290459096213508,0.9158943062487253,-0.013151603372625553,0.0,0.0
E6,Unisex,0.591163957562904,0.5798080472499076,-0.01135591031299632,0.0,0.0
E6,Women,0.9029333549247356,0.8859058656228468,-0.0170274893018888,0.0,0.0
G2,Boys,0.6733442802408319,0.616955775264934,-0.05638850497589798,-0.01895484284656046,-0.003790968569312092
G2,Girls,0.5948319540618139,0.431890504704876,-0.16294144935693788,-0.06163081921744373,-0.012326163843488747
G2,Men,0.9368267152641649,0.9235950874100581,-0.013231627854106809,-8.002448148125563e-05,-1.6004896296251124e-05
G2,Unisex,0.604310130051323,0.6140990131302346,0.009788883078911681,0.021144793391908,0.004228958678381601
G2,Women,0.9180859905883956,0.8981974191106246,-0.01988857147777101,-0.0028610821758822125,-0.0005722164351764425
