step,train_loss
1,1.38559889793396
10,0.4515278935432434
20,0.04192722588777542
30,0.002145707141608
40,0.0015822532586753368
50,0.00017646703054197133
60,6.938954174984246e-05
70,5.478374441736378e-05
80,4.1202605643775314e-05
90,2.8344958991510794e-05
100,3.2297037250828e-05
