model,fold,rows,error,macro_f1,wrong_confidence_mean
usage_E2,all,32772,0.10850726229708285,0.40817051981620495,0.7911662907424072
usage_E2,0,6553,0.10849992369906913,0.4085813543322694,0.7815675607454289
usage_E2,1,6556,0.1070774862721171,0.38180551216499237,0.8001633200427352
usage_E2,2,6553,0.11048374790172444,0.4362278203116775,0.7912062627762431
usage_E2,3,6553,0.10621089577292842,0.39994189114867573,0.7822149244540231
usage_E2,4,6557,0.11026384017080981,0.39502247602254464,0.8004470565006917
usage_E3,all,32772,0.10832417917734649,0.4161327837704003,0.7772816646366197
usage_E3,0,6553,0.10880512742255455,0.4608045735686532,0.7591318923842918
usage_E3,1,6556,0.10600976205003054,0.386671480871288,0.7813352925611511
usage_E3,2,6553,0.11048374790172444,0.4253014825424361,0.7711744953453039
usage_E3,3,6553,0.10483747901724405,0.4003498931442567,0.7888056535080058
usage_E3,4,6557,0.11148391032484373,0.39696191400423264,0.7863488690424077
usage_E8,all,32772,0.11146710606615406,0.41939320264210234,0.7371348722638927
usage_E8,0,6553,0.10849992369906913,0.44398574437279215,0.7448291813361462
usage_E8,1,6556,0.11409395973154357,0.38684338859876166,0.7444972392513369
usage_E8,2,6553,0.11216236838089422,0.442049101557507,0.7361999503401361
usage_E8,3,6553,0.10972073859301079,0.41370957149365384,0.7347528218080668
usage_E8,4,6557,0.11285648924813174,0.39115668197414866,0.7255431933918919
usage_E9,all,32772,0.16303551812522887,0.3955232931239504,0.713517684536777
usage_E9,0,6553,0.1663360292995575,0.39421220895653625,0.7094998472844037
usage_E9,1,6556,0.16320927394752893,0.34846382142777543,0.7104166138317757
usage_E9,2,6553,0.16160537158553334,0.40974983354523714,0.715017752483475
usage_E9,3,6553,0.15534869525408213,0.40452168259964416,0.7231926532416503
usage_E9,4,6557,0.1686746987951807,0.41633894759957485,0.7101360373056057
gender_E6,all,32773,0.10679522777896444,0.7335205888652532,0.8187240668714286
gender_E6,0,6553,0.11063634976346715,0.7196395720085685,0.8162456705793105
gender_E6,1,6556,0.10600976205003054,0.7425997883450369,0.8187763050647482
gender_E6,2,6553,0.1078895162520983,0.7287180300131991,0.8097476481471003
gender_E6,3,6554,0.1039060115959719,0.7494866309165298,0.8210303285315711
gender_E6,4,6557,0.10553606832392859,0.7262851225657092,0.8281695807658959
gender_G2_screen,all,13110,0.09687261632341726,0.7457260919007412,0.7338286150944882
gender_G2_screen,0,6553,0.09720738593010836,0.7604983529055681,0.7412489913971743
gender_G2_screen,4,6557,0.09653805093792889,0.7304612751770436,0.7263613485781991
