fold,parent_f1,G2_f1,delta,parent_gap,G2_gap
0,0.7196395720085685,0.7604983529055681,0.04085878089699957,0.28036042799143146,0.23264891708772428
1,0.7425997883450369,0.7453572122432381,0.0027574238982012167,0.2573224737861258,0.2505595658080172
2,0.728718030013199,0.7611014348997933,0.0323834048865943,0.27120418309437055,0.2346696704043394
3,0.7494866309165298,0.7538004485179532,0.004313817601423464,0.2505133690834702,0.2389563703852352
4,0.7262851225657092,0.7304612751770436,0.004176152611334416,0.2736370394644141,0.2641219963158691
