method,fold,size,query_source,gallery_source,protocol,scope,checkpoint_fingerprint,config_fingerprint,descriptor_fingerprint,query_id,articleType,ndcg_at_5,precision_any_at_5,precision_strict_at_5,tie_rate_at_5,ndcg_at_10,precision_any_at_10,precision_strict_at_10,tie_rate_at_10,ndcg_at_20,precision_any_at_20,precision_strict_at_20,tie_rate_at_20,recall_at_10,hit_rate_at_10,precision_at_10
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,44279,Backpacks,0.75437015,1.00000000,0.40000000,0.00000000,0.70012261,0.90000000,0.20000000,0.00000000,0.77023760,0.95000000,0.10000000,0.00000000,,,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,44315,Trousers,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.07317712,0.15000000,0.00000000,0.00000000,,,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,44379,Perfume and Body Mist,0.40345407,0.80000000,0.20000000,0.00000000,0.50874587,0.90000000,0.30000000,0.00000000,0.48918889,0.85000000,0.20000000,0.00000000,,,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,44380,Perfume and Body Mist,0.86136329,1.00000000,0.60000000,0.00000000,0.73450005,1.00000000,0.30000000,0.00000000,0.65133867,1.00000000,0.15000000,0.00000000,,,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,44396,Sports Shoes,0.58479005,0.80000000,0.20000000,0.00000000,0.48204706,0.60000000,0.20000000,0.00000000,0.32847252,0.35000000,0.10000000,0.00000000,,,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,44399,Sports Shoes,0.60699313,1.00000000,0.20000000,0.00000000,0.56204248,0.90000000,0.20000000,0.00000000,0.52260858,0.80000000,0.20000000,0.00000000,,,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,44410,Formal Shoes,0.66083979,0.80000000,0.80000000,0.00000000,0.57217558,0.70000000,0.50000000,0.00000000,0.47479662,0.55000000,0.35000000,0.00000000,,,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,44412,Casual Shoes,0.10699313,0.20000000,0.00000000,0.00000000,0.10255833,0.20000000,0.00000000,0.00000000,0.11723091,0.20000000,0.05000000,0.00000000,,,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,44413,Casual Shoes,0.17259567,0.40000000,0.00000000,0.00000000,0.25189271,0.50000000,0.10000000,0.00000000,0.27485261,0.45000000,0.15000000,0.00000000,,,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,44420,Casual Shoes,0.76481736,1.00000000,0.60000000,0.00000000,0.64610997,0.80000000,0.40000000,0.00000000,0.62758882,0.80000000,0.40000000,0.00000000,,,
