epoch,learning_rate,train_loss,train_macro_f1,validation_loss,validation_macro_f1,train_metric_scope,sam_second_loss,selected_checkpoint,clean_train_macro_f1
1,0.001,0.7617657887779214,,0.5845443561016396,0.5824351416184103,not_applicable_mixed_inputs,0.8474355097001814,False,
2,0.0009972883382072953,0.6443194394199667,,0.45881622277037737,0.6833992498203182,not_applicable_mixed_inputs,0.7143519247745936,False,
3,0.0009891830623632338,0.5803900756121482,,0.42210546290890844,0.6809084481392668,not_applicable_mixed_inputs,0.6423149397178943,False,
4,0.0009757729755661011,0.5802957960971434,,0.4600560485689455,0.6622811668967512,not_applicable_mixed_inputs,0.6408318605752554,False,
5,0.0009572050015330874,0.5446369146333077,,0.44848158772405883,0.6895168452742179,not_applicable_mixed_inputs,0.6012042852156694,False,
6,0.0009336825748732973,0.5188607127338348,,0.37667433015089746,0.7272075345659215,not_applicable_mixed_inputs,0.5731580918032402,False,
7,0.0009054634122155991,0.5017409977441449,,0.3691352566549904,0.7298155279446916,not_applicable_mixed_inputs,0.5522735279654817,False,
8,0.0008728566886113102,0.5149247991191129,,0.3576302230403575,0.7411917231222245,not_applicable_mixed_inputs,0.561731177130086,False,
9,0.0008362196501476349,0.48794479201143387,,0.3528507897470971,0.7367027171956528,not_applicable_mixed_inputs,0.5342889730254433,False,
10,0.0007959536998847742,0.47143832599385543,,0.34276064749041835,0.7316493521589468,not_applicable_mixed_inputs,0.516922239326725,False,0.785817459904778
11,0.0007525,0.47764316762334,,0.3955431136031221,0.7427904716543674,not_applicable_mixed_inputs,0.5192870185584021,False,
12,0.0007063346383225212,0.43971761861951897,,0.3243414002783291,0.7653292360139062,not_applicable_mixed_inputs,0.48006900685714593,False,
13,0.000657963412215599,0.45016344763318106,,0.31375439842063263,0.7733579786055114,not_applicable_mixed_inputs,0.4882513710664546,False,
14,0.0006079162869547909,0.4659515897202572,,0.3224969893689379,0.7752983464746649,not_applicable_mixed_inputs,0.5063744902810855,False,
15,0.0005567415893174886,0.4516802921886665,,0.3157493292930851,0.7851136075116217,not_applicable_mixed_inputs,0.4888637711407391,False,0.8485488765617084
16,0.0005050000000000002,0.42899364303953225,,0.3001906468189397,0.7793969905407392,not_applicable_mixed_inputs,0.4663686561700881,False,
17,0.0004532584106825117,0.421467260158313,,0.3047655341245969,0.7721839538737625,not_applicable_mixed_inputs,0.4575684837790062,False,
18,0.00040208371304520916,0.4130607624769866,,0.293626219665966,0.7779326078927559,not_applicable_mixed_inputs,0.4505444915603129,False,
19,0.00035203658778440114,0.4288596668947678,,0.2959383837748032,0.775028441453977,not_applicable_mixed_inputs,0.46561512020909646,False,
20,0.00030366536167747904,0.4244929518610885,,0.29289886478572713,0.7864003194655144,not_applicable_mixed_inputs,0.46015739278128354,False,0.8763163372918843
21,0.00025750000000000013,0.42271820674737054,,0.28756949795952325,0.7903132353785616,not_applicable_mixed_inputs,0.4574276995997186,False,
22,0.00021404630011522585,0.39735555634252684,,0.2855860904456821,0.7918523363552878,not_applicable_mixed_inputs,0.43191518181884364,False,
23,0.00017378034985236535,0.39174691220045743,,0.28677046518964305,0.7931849830982566,not_applicable_mixed_inputs,0.4263017286350715,False,
24,0.00013714331138868998,0.38145288105213976,,0.28040561317688484,0.791645569743595,not_applicable_mixed_inputs,0.4159895779612154,False,
25,0.00010453658778440108,0.38687727974797664,,0.27908983898904605,0.7991696995743447,not_applicable_mixed_inputs,0.4212580304393908,False,0.9027126224940561
26,7.631742512670285e-05,0.395690423106507,,0.2777994803053696,0.7947588823800368,not_applicable_mixed_inputs,0.430109145876326,False,
27,5.279499846691252e-05,0.3939305078175725,,0.2783258055538889,0.8008902739541043,not_applicable_mixed_inputs,0.4277806436466232,False,
28,3.4227024433899005e-05,0.379366097742732,,0.27758015156592175,0.7979720893000777,not_applicable_mixed_inputs,0.41246596876353364,False,
29,2.0816937636766188e-05,0.3941551446550897,,0.2777626641425342,0.797542322777376,not_applicable_mixed_inputs,0.4276685584489987,False,
30,1.2711661792704668e-05,0.3654461926782062,,0.27460422835118053,0.7955569921081668,not_applicable_mixed_inputs,0.39988190837847887,True,0.9037300723535375
