epoch,learning_rate,train_loss,train_macro_f1,validation_loss,validation_macro_f1,selected_checkpoint
1,0.001,1.273502739483539,0.1559457503059472,1.3601696179072094,0.13992011385387945,False
2,0.0009972883382072953,1.017838983710646,0.26569575847321497,1.242199965609629,0.21169868366632907,False
3,0.0009891830623632338,0.9200467605444816,0.2883550503730224,0.97637420199472,0.27718135993027293,False
4,0.0009757729755661011,0.8217924674892201,0.3413167415084379,0.851959406918498,0.3801529407520839,False
5,0.0009572050015330874,0.7978695664870002,0.36223899566995643,0.8868683324026464,0.2797262467871985,False
6,0.0009336825748732973,0.7435669929927148,0.38265540547889976,0.8083368035184236,0.43891231760161686,False
7,0.0009054634122155991,0.6841908093166552,0.42630180951725,0.8023674123897756,0.4255470331594404,False
8,0.0008728566886113102,0.6348634799687917,0.45611088941831807,0.914363267560081,0.4613493843445421,False
9,0.0008362196501476349,0.5892715562653021,0.4844433391558203,0.8545553542834461,0.3695493300009294,False
10,0.0007959536998847742,0.5793350245131343,0.48354195084880225,0.7734380713319935,0.4426000529574357,False
11,0.0007525,0.5316767996377648,0.5278572943531925,1.1640911996625156,0.3546959259228265,False
12,0.0007063346383225212,0.49189771260835563,0.5573432018485858,0.7973445030892733,0.4553291504740492,False
13,0.000657963412215599,0.48187513755640765,0.5708223434725975,0.9122471869077902,0.37941525376065965,False
14,0.0006079162869547909,0.4363219004230569,0.6076390397826708,0.7432511910949591,0.48173793139933857,False
15,0.0005567415893174886,0.4124645256534355,0.6218838095030934,0.7305236558432755,0.5379120683612716,False
16,0.0005050000000000002,0.39264264504161556,0.6292622925058273,0.7285005393105914,0.5601618286437764,False
17,0.0004532584106825117,0.36986885278179976,0.6770275297958284,0.8169926552037547,0.5308027483912904,False
18,0.00040208371304520916,0.34656855860564323,0.6856439037403931,0.7132340584398406,0.5520877210517356,False
19,0.00035203658778440114,0.3549099188461719,0.6610515733047837,0.7441854407196236,0.5376366752485059,False
20,0.00030366536167747904,0.3243005540466134,0.700406596079282,0.823563826931717,0.4912460292029779,False
21,0.00025750000000000013,0.3175134728754638,0.7162914043352164,0.7404000667136287,0.5146643783140125,False
22,0.00021404630011522585,0.30006420307901677,0.7423026675319409,0.6976869511325727,0.5750768223081585,False
23,0.00017378034985236535,0.2828552413757758,0.7684420403949984,0.765853734568462,0.5731311100830342,False
24,0.00013714331138868998,0.27270410178170645,0.7780714491972518,0.7403397811425498,0.5986238468322389,False
25,0.00010453658778440108,0.27162376843265995,0.7734689064726634,0.7322831123884537,0.5884121613685509,False
26,7.631742512670285e-05,0.26183368190663836,0.7958986269926157,0.7359295616403093,0.5957557496899004,False
27,5.279499846691252e-05,0.2629397639771015,0.7947440140149645,0.7439952490680194,0.5785598323107906,False
28,3.4227024433899005e-05,0.2576392494152363,0.7964448253744317,0.7224927913732974,0.5895853489129703,False
29,2.0816937636766188e-05,0.2509162325070346,0.8080478132012718,0.723918755471061,0.5899126164456385,False
30,1.2711661792704668e-05,0.24702761926133437,0.8178129162809492,0.7438261563146269,0.590289099890724,True
