fold,layer,median_variance_ratio,mean_shift_in_old_std
0,features.1,1.124630331993103,0.027543097734451294
0,features.5,1.008601427078247,0.00816049613058567
0,features.9,1.011573076248169,0.016886143013834953
0,features.13,0.9311381578445435,0.027446428313851357
4,features.1,1.1059269905090332,0.02051527239382267
4,features.5,0.9977803230285645,0.004785862751305103
4,features.9,1.0168638229370117,0.0054721226915717125
4,features.13,0.9542554020881653,0.02372334897518158
