candidate,experiment_id,seed,label,precision,recall,f1,support
C2,g5-c2-t0-resnet18-s2026,2026,Fall,0.7175272905678891,0.655241935483871,0.684971605877876,8928
C2,g5-c2-t0-resnet18-s2026,2026,Spring,0.9285714285714286,0.6260346124905944,0.7478651685393258,1329
C2,g5-c2-t0-resnet18-s2026,2026,Summer,0.743694882884907,0.8155220203264552,0.7779540513543687,16235
C2,g5-c2-t0-resnet18-s2026,2026,Winter,0.7437722419928826,0.701006229036895,0.7217562900838678,6261
C2,g3-c2-t0-resnet18,2753,Fall,0.7548898919436465,0.6181675627240143,0.6797216577375454,8928
C2,g3-c2-t0-resnet18,2753,Spring,0.9178532311062432,0.6305492851768246,0.7475468331846565,1329
C2,g3-c2-t0-resnet18,2753,Summer,0.734915290470846,0.846997228210656,0.786985634979683,16235
C2,g3-c2-t0-resnet18,2753,Winter,0.7535235476108628,0.7002076345631688,0.7258879046278666,6261
I2,g5-i2-article-type-lambda-0-3-c1-s2026,2026,Fall,0.7403674406736412,0.6499775985663082,0.6922342836693308,8928
I2,g5-i2-article-type-lambda-0-3-c1-s2026,2026,Spring,0.943502824858757,0.6282919488337095,0.7542908762420958,1329
I2,g5-i2-article-type-lambda-0-3-c1-s2026,2026,Summer,0.7538444206612966,0.8243301509085309,0.7875132399670471,16235
I2,g5-i2-article-type-lambda-0-3-c1-s2026,2026,Winter,0.7439859805639637,0.7458872384603099,0.7449353963949593,6261
I2,g4-i2-article-type-lambda-0-3-c1,2753,Fall,0.7444889779559118,0.6657706093189965,0.7029328287606433,8928
I2,g4-i2-article-type-lambda-0-3-c1,2753,Spring,0.9347826086956522,0.6471030850263356,0.7647843485993775,1329
I2,g4-i2-article-type-lambda-0-3-c1,2753,Summer,0.7550077041602465,0.845087773329227,0.7975121341587468,16235
I2,g4-i2-article-type-lambda-0-3-c1,2753,Winter,0.7838647172802536,0.7107490816163552,0.7455185123136203,6261
