candidate,variant,experiment_id,run_id,fold,seed,epoch,train_loss,validation_loss,validation_accuracy,validation_macro_f1
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f0-s2753-66ee7a85d5c6,0,2753,1,1.0476273535995162,1.0303446389518622,0.5584732824427481,0.33038695184719485
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f0-s2753-66ee7a85d5c6,0,2753,2,0.8525954326686889,0.8198400273668857,0.6549618320610687,0.6413444524455483
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f0-s2753-66ee7a85d5c6,0,2753,3,0.789759641653053,1.8593252539452705,0.3094656488549618,0.19259801643728758
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f0-s2753-66ee7a85d5c6,0,2753,4,0.7622204069958768,0.7718675080146499,0.6694656488549618,0.6284073258562595
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f0-s2753-66ee7a85d5c6,0,2753,5,0.7389208778067363,0.8214825835937762,0.6618320610687023,0.6534920380267208
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f0-s2753-66ee7a85d5c6,0,2753,6,0.7188260046001682,0.7749033267989414,0.6641221374045801,0.6734165036872405
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f0-s2753-66ee7a85d5c6,0,2753,7,0.7028199586823519,0.7155155321477934,0.7027480916030534,0.6713404156192502
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f0-s2753-66ee7a85d5c6,0,2753,8,0.683681300863557,0.713659981916879,0.7126717557251908,0.7018863708137584
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f0-s2753-66ee7a85d5c6,0,2753,9,0.6717944173204513,0.7245914517013171,0.6833587786259542,0.6641288767839458
C2,C2 ResNet18,g3-c2-t0-resnet18,g3-c2-t0-resnet18-f0-s2753-66ee7a85d5c6,0,2753,10,0.6573837683846221,0.6852113086394681,0.7227480916030534,0.7095605879011815
