candidate,variant,experiment_id,seed,pooled_macro_f1,fold_mean_macro_f1,fold_sd_macro_f1,accuracy,balanced_accuracy,spring_precision,spring_recall,spring_f1,five_fold_runtime_minutes,peak_vram_mb,parameter_count,median_best_epoch,implementation_sha256,config_sha256
C2,C2 ResNet18,g5-c2-t0-resnet18-s2026,2026,0.7331367789638595,0.7329904893428738,0.020605297614852528,0.7422526180807865,0.6994511993344539,0.9285714285714286,0.6260346124905944,0.7478651685393258,60.919269088332655,606.38916015625,11170884,15.0,2887c38cd5653b64b57c880880a7fdf9d6aa590a4e4bd1000b87a9806a2d09fe,7854db82a980c621ea430b8111036083e178d403f7e371a188996d9a1e31899d
C2,C2 ResNet18,g3-c2-t0-resnet18,2753,0.7350355076324379,0.7349575297442639,0.006339729242637776,0.7477788294202058,0.698980427668666,0.9178532311062432,0.6305492851768246,0.7475468331846565,91.57926665166742,606.38916015625,11170884,24.0,2887c38cd5653b64b57c880880a7fdf9d6aa590a4e4bd1000b87a9806a2d09fe,1867b18890a586c213cedcb902344be3fab99d9c3f0f8bc0d854efbc55bc5887
I2,I2 SmallCNN,g5-i2-article-type-lambda-0-3-c1-s2026,2026,0.7447434490683583,0.7447637089720558,0.015412233438252128,0.7538546087381308,0.7121217341922146,0.943502824858757,0.6282919488337095,0.7542908762420958,26.435022475000004,189.5087890625,1206112,24.0,877706919db28f917632f9250b1b40d446695f941fd226211246d69efd7838de,c1be80945739beccb3d47189ed79ab79592523105776e3898c82f645773879d7
I2,I2 SmallCNN,g4-i2-article-type-lambda-0-3-c1,2753,0.7526869559580971,0.7525567745599105,0.006751548690724661,0.7624950386224163,0.7171776373227285,0.9347826086956522,0.6471030850263356,0.7647843485993775,28.556090686666234,190.1025390625,1206112,24.0,877706919db28f917632f9250b1b40d446695f941fd226211246d69efd7838de,28a122892bd80bf44b1dfa79abb6228e4160e430d25ec632386e3be68619eb4c
