id,path,width,height,aspect_ratio,file_size_bytes,brightness,contrast,edge_strength,near_white_fraction
4231,data/raw/teacher/train/images_train/4231.jpg,60.0,80.0,0.75,2658,0.8224899172782898,0.20414310693740845,0.03457280620932579,0.5216666666666666
4250,data/raw/teacher/train/images_train/4250.jpg,60.0,80.0,0.75,2476,0.8482788801193237,0.17739348113536835,0.03422657400369644,0.51
4268,data/raw/teacher/train/images_train/4268.jpg,60.0,80.0,0.75,2716,0.882381796836853,0.2289452850818634,0.027720514684915543,0.763125
4290,data/raw/teacher/train/images_train/4290.jpg,60.0,80.0,0.75,6754,0.7386290431022644,0.28605788946151733,0.04632095620036125,0.49895833333333334
4322,data/raw/teacher/train/images_train/4322.jpg,60.0,80.0,0.75,14391,0.9047877788543701,0.19463062286376953,0.014346305280923843,0.79625
4363,data/raw/teacher/train/images_train/4363.jpg,60.0,80.0,0.75,2117,0.669747531414032,0.36496859788894653,0.05035065859556198,0.4897916666666667
4388,data/raw/teacher/train/images_train/4388.jpg,60.0,80.0,0.75,5213,0.7869150042533875,0.27001699805259705,0.04554399847984314,0.5427083333333333
4390,data/raw/teacher/train/images_train/4390.jpg,60.0,80.0,0.75,5984,0.8229853510856628,0.24849911034107208,0.05382603406906128,0.55375
4571,data/raw/teacher/train/images_train/4571.jpg,60.0,80.0,0.75,12240,0.965604841709137,0.09291533380746841,0.015117735601961613,0.8491666666666666
4636,data/raw/teacher/train/images_train/4636.jpg,60.0,80.0,0.75,17226,0.7947949171066284,0.08560193330049515,0.01752680167555809,0.0
4688,data/raw/teacher/train/images_train/4688.jpg,60.0,80.0,0.75,14323,0.8379008769989014,0.2978202700614929,0.028050241991877556,0.75
4766,data/raw/teacher/train/images_train/4766.jpg,60.0,80.0,0.75,17018,0.8790590167045593,0.21994923055171967,0.03708997368812561,0.6479166666666667
4768,data/raw/teacher/train/images_train/4768.jpg,60.0,80.0,0.75,18103,0.8745526075363159,0.22956468164920807,0.028366412967443466,0.5727083333333334
4779,data/raw/teacher/train/images_train/4779.jpg,60.0,80.0,0.75,20531,0.9097889065742493,0.1740315705537796,0.029348738491535187,0.7185416666666666
4787,data/raw/teacher/train/images_train/4787.jpg,60.0,80.0,0.75,16233,0.8002981543540955,0.3290039598941803,0.030534785240888596,0.68875
4828,data/raw/teacher/train/images_train/4828.jpg,60.0,80.0,0.75,12674,0.9060530662536621,0.12486018240451813,0.01776421256363392,0.6129166666666667
4839,data/raw/teacher/train/images_train/4839.jpg,60.0,80.0,0.75,17583,0.695877194404602,0.36434638500213623,0.046905312687158585,0.554375
4892,data/raw/teacher/train/images_train/4892.jpg,60.0,80.0,0.75,14690,0.9522929787635803,0.12393900752067566,0.019525224342942238,0.8602083333333334
4921,data/raw/teacher/train/images_train/4921.jpg,60.0,80.0,0.75,21108,0.771344780921936,0.1149907186627388,0.024313144385814667,0.034166666666666665
4929,data/raw/teacher/train/images_train/4929.jpg,60.0,80.0,0.75,1357,0.7402009963989258,0.14777344465255737,0.021375861018896103,0.00020833333333333335
4938,data/raw/teacher/train/images_train/4938.jpg,60.0,80.0,0.75,21037,0.8782001733779907,0.2255750596523285,0.022830072790384293,0.7060416666666667
5069,data/raw/teacher/train/images_train/5069.jpg,60.0,80.0,0.75,23193,0.8628059029579163,0.16115516424179077,0.03691940754652023,0.5089583333333333
5111,data/raw/teacher/train/images_train/5111.jpg,60.0,80.0,0.75,17491,0.7701154947280884,0.2818560004234314,0.03904501348733902,0.551875
5220,data/raw/teacher/train/images_train/5220.jpg,60.0,80.0,0.75,1057,0.7223564386367798,0.3612893223762512,0.027089901268482208,0.6183333333333333
5264,data/raw/teacher/train/images_train/5264.jpg,60.0,80.0,0.75,22094,0.8341737389564514,0.2888388931751251,0.04040943831205368,0.7272916666666667
5291,data/raw/teacher/train/images_train/5291.jpg,60.0,80.0,0.75,1199,0.8404343724250793,0.3046179711818695,0.019667793065309525,0.7733333333333333
5434,data/raw/teacher/train/images_train/5434.jpg,60.0,80.0,0.75,2443,0.7114956378936768,0.32296818494796753,0.03595709055662155,0.5391666666666667
5473,data/raw/teacher/train/images_train/5473.jpg,60.0,80.0,0.75,1827,0.8863112330436707,0.24876847863197327,0.022453948855400085,0.800625
5574,data/raw/teacher/train/images_train/5574.jpg,60.0,80.0,0.75,2663,0.9396655559539795,0.13733817636966705,0.0179794579744339,0.7339583333333334
5588,data/raw/teacher/train/images_train/5588.jpg,60.0,80.0,0.75,14822,0.8741762042045593,0.26389893889427185,0.024013999849557877,0.7810416666666666
5608,data/raw/teacher/train/images_train/5608.jpg,60.0,80.0,0.75,1851,0.8011816143989563,0.3413456380367279,0.03122028335928917,0.73
5666,data/raw/teacher/train/images_train/5666.jpg,60.0,80.0,0.75,22703,0.7730002999305725,0.2643541693687439,0.0364341214299202,0.5302083333333333
5696,data/raw/teacher/train/images_train/5696.jpg,60.0,80.0,0.75,1581,0.714221179485321,0.19685405492782593,0.02076413482427597,0.0
5719,data/raw/teacher/train/images_train/5719.jpg,60.0,80.0,0.75,25235,0.8342772126197815,0.24792833626270294,0.049703389406204224,0.62625
5760,data/raw/teacher/train/images_train/5760.jpg,60.0,80.0,0.75,24917,0.8079482913017273,0.3003139793872833,0.04483005404472351,0.6391666666666667
5785,data/raw/teacher/train/images_train/5785.jpg,60.0,80.0,0.75,26289,0.8866561055183411,0.18142543733119965,0.029067499563097954,0.5879166666666666
5795,data/raw/teacher/train/images_train/5795.jpg,60.0,80.0,0.75,26180,0.8930511474609375,0.19841891527175903,0.03125002980232239,0.68875
5817,data/raw/teacher/train/images_train/5817.jpg,60.0,80.0,0.75,26482,0.7160723805427551,0.3552107810974121,0.04551750794053078,0.5520833333333334
5847,data/raw/teacher/train/images_train/5847.jpg,60.0,80.0,0.75,25414,0.7606140971183777,0.30534034967422485,0.04830195754766464,0.5289583333333333
5897,data/raw/teacher/train/images_train/5897.jpg,60.0,80.0,0.75,4583,0.9306027293205261,0.15661585330963135,0.03220231831073761,0.776875
5949,data/raw/teacher/train/images_train/5949.jpg,60.0,80.0,0.75,27432,0.8701065182685852,0.19523198902606964,0.04633950814604759,0.598125
5958,data/raw/teacher/train/images_train/5958.jpg,60.0,80.0,0.75,28521,0.8411478996276855,0.2030918449163437,0.05143382400274277,0.5216666666666666
5964,data/raw/teacher/train/images_train/5964.jpg,60.0,80.0,0.75,29194,0.8519212603569031,0.20606257021427155,0.04782192036509514,0.548125
5967,data/raw/teacher/train/images_train/5967.jpg,60.0,80.0,0.75,29065,0.8617568016052246,0.21991966664791107,0.048826418817043304,0.5733333333333334
5984,data/raw/teacher/train/images_train/5984.jpg,60.0,80.0,0.75,30038,0.783325731754303,0.26050466299057007,0.05485955625772476,0.5185416666666667
6068,data/raw/teacher/train/images_train/6068.jpg,60.0,80.0,0.75,21035,0.8223752975463867,0.2246095836162567,0.04011482000350952,0.5677083333333334
6158,data/raw/teacher/train/images_train/6158.jpg,60.0,80.0,0.75,17429,0.7283104658126831,0.2992061376571655,0.04114517942070961,0.5014583333333333
6168,data/raw/teacher/train/images_train/6168.jpg,60.0,80.0,0.75,24768,0.7573131918907166,0.26994818449020386,0.04179590940475464,0.50625
6190,data/raw/teacher/train/images_train/6190.jpg,60.0,80.0,0.75,19750,0.8572083711624146,0.23506778478622437,0.044308148324489594,0.61625
6264,data/raw/teacher/train/images_train/6264.jpg,60.0,80.0,0.75,24691,0.7844223976135254,0.28310081362724304,0.04118108004331589,0.5720833333333334
6300,data/raw/teacher/train/images_train/6300.jpg,60.0,80.0,0.75,23873,0.8490800857543945,0.23118773102760315,0.032618649303913116,0.5677083333333334
6494,data/raw/teacher/train/images_train/6494.jpg,60.0,80.0,0.75,2999,0.8874400854110718,0.2533120810985565,0.02033379301428795,0.809375
6549,data/raw/teacher/train/images_train/6549.jpg,60.0,80.0,0.75,22483,0.8276185393333435,0.19194930791854858,0.01968521438539028,0.5414583333333334
6618,data/raw/teacher/train/images_train/6618.jpg,60.0,80.0,0.75,21099,0.7590827941894531,0.28709641098976135,0.07029452919960022,0.5295833333333333
6649,data/raw/teacher/train/images_train/6649.jpg,60.0,80.0,0.75,21264,0.8506007790565491,0.28685590624809265,0.03562040627002716,0.7395833333333334
6711,data/raw/teacher/train/images_train/6711.jpg,60.0,80.0,0.75,1492,0.6229409575462341,0.2217622697353363,0.045893594622612,0.00020833333333333335
6741,data/raw/teacher/train/images_train/6741.jpg,60.0,80.0,0.75,17003,0.9146154522895813,0.18603800237178802,0.029833108186721802,0.7345833333333334
6843,data/raw/teacher/train/images_train/6843.jpg,60.0,80.0,0.75,20550,0.9532312154769897,0.10315246880054474,0.013185741379857063,0.8235416666666666
6882,data/raw/teacher/train/images_train/6882.jpg,60.0,80.0,0.75,17872,0.9076677560806274,0.17608098685741425,0.02694803848862648,0.5964583333333333
6896,data/raw/teacher/train/images_train/6896.jpg,60.0,80.0,0.75,22091,0.8935850262641907,0.24654974043369293,0.03080943040549755,0.79875
6985,data/raw/teacher/train/images_train/6985.jpg,60.0,80.0,0.75,17868,0.8803448677062988,0.22525142133235931,0.038450922816991806,0.690625
7027,data/raw/teacher/train/images_train/7027.jpg,60.0,80.0,0.75,27805,0.7145934104919434,0.28288301825523376,0.05693208426237106,0.3883333333333333
7063,data/raw/teacher/train/images_train/7063.jpg,60.0,80.0,0.75,1391,0.786668062210083,0.3034230172634125,0.035896070301532745,0.6439583333333333
7076,data/raw/teacher/train/images_train/7076.jpg,60.0,80.0,0.75,13963,0.6356568336486816,0.41466015577316284,0.02672370709478855,0.5508333333333333
7097,data/raw/teacher/train/images_train/7097.jpg,60.0,80.0,0.75,24780,0.8147276639938354,0.28455719351768494,0.04980520159006119,0.613125
7104,data/raw/teacher/train/images_train/7104.jpg,60.0,80.0,0.75,15646,0.6461288332939148,0.4003596901893616,0.04086463898420334,0.541875
7120,data/raw/teacher/train/images_train/7120.jpg,60.0,80.0,0.75,21110,0.8783071637153625,0.18656772375106812,0.03654218837618828,0.61125
7305,data/raw/teacher/train/images_train/7305.jpg,60.0,80.0,0.75,24534,0.8459550738334656,0.23105454444885254,0.03192567452788353,0.5835416666666666
7326,data/raw/teacher/train/images_train/7326.jpg,60.0,80.0,0.75,12412,0.868905246257782,0.2957030236721039,0.01770484820008278,0.823125
7341,data/raw/teacher/train/images_train/7341.jpg,60.0,80.0,0.75,2106,0.7107284665107727,0.338748574256897,0.047392863780260086,0.5252083333333334
7368,data/raw/teacher/train/images_train/7368.jpg,60.0,80.0,0.75,1909,0.8915331959724426,0.23519904911518097,0.02233576402068138,0.806875
7404,data/raw/teacher/train/images_train/7404.jpg,60.0,80.0,0.75,1568,0.8961694240570068,0.22823891043663025,0.020670760422945023,0.8147916666666667
7405,data/raw/teacher/train/images_train/7405.jpg,60.0,80.0,0.75,1405,0.8878061175346375,0.23012802004814148,0.023001182824373245,0.791875
7470,data/raw/teacher/train/images_train/7470.jpg,60.0,80.0,0.75,1983,0.5933940410614014,0.2553740441799164,0.04490751773118973,0.0
7635,data/raw/teacher/train/images_train/7635.jpg,60.0,80.0,0.75,2083,0.7539664506912231,0.3535923659801483,0.03225041925907135,0.6477083333333333
7755,data/raw/teacher/train/images_train/7755.jpg,60.0,80.0,0.75,1360,0.7230803370475769,0.31746232509613037,0.044320330023765564,0.5227083333333333
7782,data/raw/teacher/train/images_train/7782.jpg,60.0,80.0,0.75,2248,0.7596598267555237,0.36045804619789124,0.033463966101408005,0.6629166666666667
7812,data/raw/teacher/train/images_train/7812.jpg,60.0,80.0,0.75,2534,0.8426182270050049,0.2821900546550751,0.026990709826350212,0.7275
7868,data/raw/teacher/train/images_train/7868.jpg,60.0,80.0,0.75,2250,0.7613785266876221,0.2886182367801666,0.04475466161966324,0.5608333333333333
7889,data/raw/teacher/train/images_train/7889.jpg,60.0,80.0,0.75,1487,0.88332599401474,0.16627979278564453,0.028562549501657486,0.628125
7961,data/raw/teacher/train/images_train/7961.jpg,60.0,80.0,0.75,2161,0.7855640053749084,0.2680373191833496,0.04793848097324371,0.5575
7966,data/raw/teacher/train/images_train/7966.jpg,60.0,80.0,0.75,1833,0.8853296041488647,0.2585933208465576,0.018537728115916252,0.8210416666666667
8066,data/raw/teacher/train/images_train/8066.jpg,60.0,80.0,0.75,892,0.7990033030509949,0.26430320739746094,0.015319832600653172,0.6289583333333333
8074,data/raw/teacher/train/images_train/8074.jpg,60.0,80.0,0.75,24083,0.9050713181495667,0.19377672672271729,0.03701753914356232,0.7247916666666666
8083,data/raw/teacher/train/images_train/8083.jpg,60.0,80.0,0.75,2181,0.8882856965065002,0.22060273587703705,0.025935541838407516,0.7497916666666666
8103,data/raw/teacher/train/images_train/8103.jpg,60.0,80.0,0.75,2327,0.8105103373527527,0.3425881564617157,0.02945190668106079,0.7529166666666667
8129,data/raw/teacher/train/images_train/8129.jpg,60.0,80.0,0.75,1948,0.8414575457572937,0.27318239212036133,0.02875392697751522,0.7135416666666666
8393,data/raw/teacher/train/images_train/8393.jpg,60.0,80.0,0.75,2379,0.8816957473754883,0.23228050768375397,0.04024767875671387,0.7397916666666666
8479,data/raw/teacher/train/images_train/8479.jpg,60.0,80.0,0.75,2372,0.9269188642501831,0.15729577839374542,0.024282000958919525,0.7102083333333333
8554,data/raw/teacher/train/images_train/8554.jpg,60.0,80.0,0.75,2319,0.7669472098350525,0.2943005859851837,0.04511580243706703,0.540625
8588,data/raw/teacher/train/images_train/8588.jpg,60.0,80.0,0.75,1379,0.8315598964691162,0.2139187455177307,0.05932808667421341,0.5416666666666666
8597,data/raw/teacher/train/images_train/8597.jpg,60.0,80.0,0.75,1729,0.7460669875144958,0.30341094732284546,0.06429944932460785,0.520625
8600,data/raw/teacher/train/images_train/8600.jpg,60.0,80.0,0.75,1733,0.7596282362937927,0.3161032497882843,0.08013683557510376,0.5495833333333333
8680,data/raw/teacher/train/images_train/8680.jpg,60.0,80.0,0.75,11345,0.9467225074768066,0.17022380232810974,0.017054559662938118,0.89875
8687,data/raw/teacher/train/images_train/8687.jpg,60.0,80.0,0.75,18487,0.9418090581893921,0.1793748438358307,0.020298179239034653,0.8945833333333333
8697,data/raw/teacher/train/images_train/8697.jpg,60.0,80.0,0.75,1998,0.906344473361969,0.24669478833675385,0.02605758234858513,0.8639583333333334
8703,data/raw/teacher/train/images_train/8703.jpg,60.0,80.0,0.75,1886,0.9290297627449036,0.22167450189590454,0.022766511887311935,0.8977083333333333
8751,data/raw/teacher/train/images_train/8751.jpg,60.0,80.0,0.75,1388,0.7946176528930664,0.23847369849681854,0.05682497099041939,0.520625
8775,data/raw/teacher/train/images_train/8775.jpg,60.0,80.0,0.75,1292,0.8226130604743958,0.22209520637989044,0.0442243367433548,0.5210416666666666
8798,data/raw/teacher/train/images_train/8798.jpg,60.0,80.0,0.75,1184,0.8649194240570068,0.17391709983348846,0.03362416848540306,0.5366666666666666
8928,data/raw/teacher/train/images_train/8928.jpg,60.0,80.0,0.75,14233,0.8790948390960693,0.2579241693019867,0.019480518996715546,0.80875
8940,data/raw/teacher/train/images_train/8940.jpg,60.0,80.0,0.75,2051,0.4912113547325134,0.3353962004184723,0.06687938421964645,0.24979166666666666
8962,data/raw/teacher/train/images_train/8962.jpg,60.0,80.0,0.75,2120,0.8682154417037964,0.25650477409362793,0.03497583419084549,0.7141666666666666
8965,data/raw/teacher/train/images_train/8965.jpg,60.0,80.0,0.75,1812,0.9329675436019897,0.13950538635253906,0.020316917449235916,0.7345833333333334
8971,data/raw/teacher/train/images_train/8971.jpg,60.0,80.0,0.75,2024,0.8057407736778259,0.3419063091278076,0.028270184993743896,0.7327083333333333
8996,data/raw/teacher/train/images_train/8996.jpg,60.0,80.0,0.75,2171,0.8625681400299072,0.273234486579895,0.03157670423388481,0.7558333333333334
9010,data/raw/teacher/train/images_train/9010.jpg,60.0,80.0,0.75,2036,0.8077296018600464,0.34067249298095703,0.02500332146883011,0.7464583333333333
9062,data/raw/teacher/train/images_train/9062.jpg,60.0,80.0,0.75,1400,0.8119174838066101,0.2555777132511139,0.0371151864528656,0.5158333333333334
9078,data/raw/teacher/train/images_train/9078.jpg,60.0,80.0,0.75,2094,0.7400081753730774,0.35514572262763977,0.03690532594919205,0.6166666666666667
9118,data/raw/teacher/train/images_train/9118.jpg,60.0,80.0,0.75,2018,0.762251615524292,0.14437970519065857,0.02778456173837185,0.00020833333333333335
9119,data/raw/teacher/train/images_train/9119.jpg,60.0,80.0,0.75,2364,0.8249403834342957,0.31283852458000183,0.032034777104854584,0.7277083333333333
9168,data/raw/teacher/train/images_train/9168.jpg,60.0,80.0,0.75,1446,0.7903161644935608,0.31226375699043274,0.043192122131586075,0.641875
9175,data/raw/teacher/train/images_train/9175.jpg,60.0,80.0,0.75,1370,0.8014667630195618,0.2916194498538971,0.04274663329124451,0.638125
9178,data/raw/teacher/train/images_train/9178.jpg,60.0,80.0,0.75,1482,0.7832184433937073,0.3068144619464874,0.04201680049300194,0.6310416666666666
9186,data/raw/teacher/train/images_train/9186.jpg,60.0,80.0,0.75,1411,0.8128796219825745,0.27823665738105774,0.04374438896775246,0.6341666666666667
9199,data/raw/teacher/train/images_train/9199.jpg,60.0,80.0,0.75,2215,0.9257331490516663,0.1613934487104416,0.030195705592632294,0.7789583333333333
9235,data/raw/teacher/train/images_train/9235.jpg,60.0,80.0,0.75,2336,0.7872777581214905,0.29729482531547546,0.03732851892709732,0.530625
9346,data/raw/teacher/train/images_train/9346.jpg,60.0,80.0,0.75,1553,0.8443483710289001,0.24338164925575256,0.05142456665635109,0.656875
9351,data/raw/teacher/train/images_train/9351.jpg,60.0,80.0,0.75,1720,0.7108033895492554,0.42490634322166443,0.030984841287136078,0.67
9356,data/raw/teacher/train/images_train/9356.jpg,60.0,80.0,0.75,19590,0.8691259026527405,0.26623067259788513,0.030175836756825447,0.6535416666666667
9534,data/raw/teacher/train/images_train/9534.jpg,60.0,80.0,0.75,1509,0.7244300246238708,0.3449374735355377,0.03292934224009514,0.596875
9560,data/raw/teacher/train/images_train/9560.jpg,60.0,80.0,0.75,2014,0.9275215864181519,0.13431033492088318,0.02415793016552925,0.6597916666666667
9617,data/raw/teacher/train/images_train/9617.jpg,60.0,80.0,0.75,1292,0.8226130604743958,0.22209520637989044,0.0442243367433548,0.5210416666666666
9665,data/raw/teacher/train/images_train/9665.jpg,60.0,80.0,0.75,1399,0.7874205112457275,0.26786014437675476,0.045142970979213715,0.5254166666666666
9696,data/raw/teacher/train/images_train/9696.jpg,60.0,80.0,0.75,1835,0.8628226518630981,0.27726635336875916,0.02140406146645546,0.7870833333333334
9715,data/raw/teacher/train/images_train/9715.jpg,60.0,80.0,0.75,2207,0.8166046142578125,0.33368319272994995,0.02446305751800537,0.7502083333333334
9856,data/raw/teacher/train/images_train/9856.jpg,60.0,80.0,0.75,2155,0.7689681053161621,0.2705334722995758,0.03586723655462265,0.5354166666666667
9867,data/raw/teacher/train/images_train/9867.jpg,60.0,80.0,0.75,1753,0.701816737651825,0.3466975688934326,0.05970190465450287,0.5079166666666667
9932,data/raw/teacher/train/images_train/9932.jpg,60.0,80.0,0.75,19469,0.8451688885688782,0.24777773022651672,0.04290396720170975,0.5577083333333334
9967,data/raw/teacher/train/images_train/9967.jpg,60.0,80.0,0.75,2485,0.6978719830513,0.42699605226516724,0.03502270579338074,0.6477083333333333
9968,data/raw/teacher/train/images_train/9968.jpg,60.0,80.0,0.75,15959,0.600197970867157,0.44860097765922546,0.04522019624710083,0.5347916666666667
9981,data/raw/teacher/train/images_train/9981.jpg,60.0,80.0,0.75,2490,0.5743213891983032,0.37701112031936646,0.03694368898868561,0.4225
9987,data/raw/teacher/train/images_train/9987.jpg,60.0,80.0,0.75,15602,0.8362262845039368,0.18764452636241913,0.019007889553904533,0.5616666666666666
9997,data/raw/teacher/train/images_train/9997.jpg,60.0,80.0,0.75,2226,0.9311424493789673,0.14385096728801727,0.01664445549249649,0.79875
10135,data/raw/teacher/train/images_train/10135.jpg,60.0,80.0,0.75,14053,0.8982388377189636,0.19114963710308075,0.03255040943622589,0.6733333333333333
10171,data/raw/teacher/train/images_train/10171.jpg,60.0,80.0,0.75,1503,0.8586851954460144,0.29965740442276,0.02032405696809292,0.806875
