target_1,target_2,n,nmi
articleType,season,32753,0.17422330195417557
articleType,gender,32773,0.19418132445677824
articleType,usage,32772,0.25378290969757333
season,gender,32753,0.02413065906661163
season,usage,32752,0.03828451153159761
gender,usage,32772,0.10423873902158692
