validation_fold,training_products,validation_products,holdout_products,training_percent_all_image_backed,validation_percent_all_image_backed,holdout_percent_all_image_backed,training_families,validation_families
0,26220,6553,5778,67.90635035740185,16.971407852481093,14.964259815601366,18341,4564
1,26217,6556,5778,67.89858075209779,16.979177457785145,14.964259815601366,18312,4593
2,26220,6553,5778,67.90635035740185,16.971407852481093,14.964259815601366,18328,4577
3,26219,6554,5778,67.90376048896715,16.97399772091578,14.964259815601366,18304,4601
4,26216,6557,5778,67.89599088366312,16.981767326219828,14.964259815601366,18335,4570
