family,tuning_id,experiment_id,epoch,learning_rate_mean,learning_rate_sd,train_loss_mean,train_loss_sd,validation_loss_mean,validation_loss_sd,validation_accuracy_mean,validation_accuracy_sd,validation_macro_f1_mean,validation_macro_f1_sd
C1,T0,g1-c1-smallcnn,1,0.0003,0.0,1.0640209225048103,0.0026852712252643136,0.9565633927992863,0.04331699419687072,0.5710319111807259,0.018384507592548,0.394535767072177,0.04291702558201802
C1,T0,g1-c1-smallcnn,2,0.00028528748905818404,0.0,0.8605692204327401,0.006610860356453597,0.8593949275342101,0.05482373195587554,0.6305998723890311,0.02939489281726292,0.5987184535699369,0.019012615417004605
C1,T0,g1-c1-smallcnn,3,0.00024377999118157552,0.0,0.7890016816934645,0.004451384350580902,0.8304452436426232,0.06284370352881166,0.6441536892584026,0.03491010279157783,0.6376134271251473,0.03027138735850775
C1,T0,g1-c1-smallcnn,4,0.00018369821591534186,0.0,0.7519573742098419,0.004481215743408629,0.7668576187834463,0.027341773538302885,0.6725814683930128,0.023173067748987787,0.6663032265768604,0.017557161089459178
C1,T0,g1-c1-smallcnn,5,0.00011694209570557818,0.0,0.7221003563005325,0.001836919317594961,0.7785151555213801,0.09076841309165981,0.6698908942805382,0.05981293439303771,0.6657807175504663,0.03371289520563774
C1,T0,g1-c1-smallcnn,6,5.673349886991463e-05,0.0,0.7003517305374615,0.002775016908854998,0.7247329103622002,0.02146647362871119,0.6989289410442955,0.010867937352188007,0.6864832848346077,0.016259526704443156
C1,T0,g1-c1-smallcnn,7,1.4997476421636368e-05,0.0,0.6816558244874595,0.002262829069967078,0.709698279949363,0.016636605936473547,0.7096763382063813,0.012060130295437288,0.6977759031830141,0.011094535917251345
C1,T0,g1-c1-smallcnn,8,3.594653495531119e-10,0.0,0.6718557446751292,0.002086164973405075,0.7068166648351287,0.01552189722624015,0.7102868667773192,0.011398835956306985,0.6988899358606282,0.010617914550368191
C1,T1,g2-t1-c1-smallcnn,1,0.001,0.0,1.0073601091766684,0.003055152154010184,0.9830213278534087,0.19250649972159764,0.5852018915924421,0.05223256383702662,0.4931762381589132,0.0953494500791738
C1,T1,g2-t1-c1-smallcnn,2,0.0009509582968606136,0.0,0.8394154261541085,0.004471002020054605,0.8530107008472758,0.061203131915687936,0.638811865002439,0.018402033306406135,0.601868516630908,0.037963275409136424
C1,T1,g2-t1-c1-smallcnn,3,0.0008125999706052517,0.0,0.7795695634842035,0.003709859655179805,0.8186441709764152,0.09573539990532186,0.6368851528284107,0.06341019017772595,0.6412914868249613,0.051756648769599095
C1,T1,g2-t1-c1-smallcnn,4,0.0006123273863844729,0.0,0.7451926350080311,0.0026026264466303592,0.7405883877882815,0.026160073725180793,0.6880300324974351,0.01671214927916148,0.670061122144718,0.021931359438835573
C1,T1,g2-t1-c1-smallcnn,5,0.0003898069856852607,0.0,0.7115302895030732,0.0046181850898560665,0.7199736086070441,0.01293003868059115,0.6971267199085351,0.00555570584211067,0.6840022113063546,0.01244061819017515
C1,T1,g2-t1-c1-smallcnn,6,0.00018911166289971543,0.0,0.6805109818468604,0.0034930773807880914,0.7121822030411215,0.027831303758664338,0.7042410279809267,0.005855333849360797,0.6879986593663453,0.01576959825463164
C1,T1,g2-t1-c1-smallcnn,7,4.999158807212123e-05,0.0,0.653102047687047,0.0022601745697852834,0.6939891007339715,0.02615982796008276,0.714225723440353,0.011271238889048444,0.6980117509936523,0.01170617199679582
C1,T1,g2-t1-c1-smallcnn,8,1.1982178318437065e-09,0.0,0.6370806455771472,0.003559839468410784,0.6826676653501927,0.020373458473892925,0.7202704577525227,0.006868663454036455,0.7057642118914348,0.007338591231731926
