family,tuning_id,experiment_id,run_id,fold,history_sha256,epoch,learning_rate,train_loss,validation_loss,validation_accuracy,validation_macro_f1
C1,T0,g1-c1-smallcnn,g1-c1-smallcnn-f2-s2753-8e178abd5435,2,8f6c1ffe9468b12d876ed4f8e1105149a30fa66e478a143289bb9ce7ac4462c6,4,0.00018369821591534186,0.7527784591744211,0.7342214924870557,0.7021374045801527,0.6909000026783574
C1,T0,g1-c1-smallcnn,g1-c1-smallcnn-f2-s2753-8e178abd5435,2,8f6c1ffe9468b12d876ed4f8e1105149a30fa66e478a143289bb9ce7ac4462c6,5,0.0001169420957055782,0.7207177553891871,0.7207293403785647,0.7123664122137404,0.698290739634926
C1,T0,g1-c1-smallcnn,g1-c1-smallcnn-f2-s2753-8e178abd5435,2,8f6c1ffe9468b12d876ed4f8e1105149a30fa66e478a143289bb9ce7ac4462c6,6,5.6733498869914624e-05,0.7011485454695228,0.7358084793400218,0.7035114503816794,0.6762236880288842
C1,T0,g1-c1-smallcnn,g1-c1-smallcnn-f2-s2753-8e178abd5435,2,8f6c1ffe9468b12d876ed4f8e1105149a30fa66e478a143289bb9ce7ac4462c6,7,1.4997476421636368e-05,0.6809570664522944,0.6980459618022423,0.7273282442748091,0.7101463167624122
C1,T0,g1-c1-smallcnn,g1-c1-smallcnn-f2-s2753-8e178abd5435,2,8f6c1ffe9468b12d876ed4f8e1105149a30fa66e478a143289bb9ce7ac4462c6,8,3.594653495531119e-10,0.6732360024727543,0.6968981509354278,0.7264122137404581,0.7085301293205586
C1,T0,g1-c1-smallcnn,g1-c1-smallcnn-f3-s2753-bf3525f7f30f,3,f2eb9a03a50d5639395af00f60fee86d87e00638690831ee58a2983c7c3bb130,1,0.0003,1.067592812288273,0.9191494238103619,0.567175572519084,0.42574669037463253
C1,T0,g1-c1-smallcnn,g1-c1-smallcnn-f3-s2753-bf3525f7f30f,3,f2eb9a03a50d5639395af00f60fee86d87e00638690831ee58a2983c7c3bb130,2,0.00028528748905818404,0.8557521747627436,0.8415608977725487,0.643206106870229,0.5981345209681509
C1,T0,g1-c1-smallcnn,g1-c1-smallcnn-f3-s2753-bf3525f7f30f,3,f2eb9a03a50d5639395af00f60fee86d87e00638690831ee58a2983c7c3bb130,3,0.00024377999118157552,0.7867467202576309,0.8262668074360331,0.629618320610687,0.6479516684095173
C1,T0,g1-c1-smallcnn,g1-c1-smallcnn-f3-s2753-bf3525f7f30f,3,f2eb9a03a50d5639395af00f60fee86d87e00638690831ee58a2983c7c3bb130,4,0.00018369821591534186,0.7520559996847606,0.7800094953748106,0.6609160305343511,0.675159431954321
C1,T0,g1-c1-smallcnn,g1-c1-smallcnn-f3-s2753-bf3525f7f30f,3,f2eb9a03a50d5639395af00f60fee86d87e00638690831ee58a2983c7c3bb130,5,0.0001169420957055782,0.7223236693187838,0.7360331085438037,0.6926717557251908,0.6727015165758039
C1,T0,g1-c1-smallcnn,g1-c1-smallcnn-f3-s2753-bf3525f7f30f,3,f2eb9a03a50d5639395af00f60fee86d87e00638690831ee58a2983c7c3bb130,6,5.6733498869914624e-05,0.6993167570623346,0.6916137538793433,0.7157251908396947,0.7047920748588674
C1,T0,g1-c1-smallcnn,g1-c1-smallcnn-f3-s2753-bf3525f7f30f,3,f2eb9a03a50d5639395af00f60fee86d87e00638690831ee58a2983c7c3bb130,7,1.4997476421636368e-05,0.6819508069640593,0.6888947331541367,0.7169465648854961,0.7047133692660871
C1,T0,g1-c1-smallcnn,g1-c1-smallcnn-f3-s2753-bf3525f7f30f,3,f2eb9a03a50d5639395af00f60fee86d87e00638690831ee58a2983c7c3bb130,8,3.594653495531119e-10,0.6727603768131339,0.6875082816786439,0.7181679389312977,0.7088930009972729
C1,T0,g1-c1-smallcnn,g1-c1-smallcnn-f4-s2753-476a7394ed3e,4,6050118657c9b4e47575738953313c3ca787436c2cdb9b08f57d3a3b9e468ce5,1,0.0003,1.0614793424360451,0.9578779776454408,0.5711233211233211,0.4035828167518482
C1,T0,g1-c1-smallcnn,g1-c1-smallcnn-f4-s2753-476a7394ed3e,4,6050118657c9b4e47575738953313c3ca787436c2cdb9b08f57d3a3b9e468ce5,2,0.00028528748905818404,0.8606386137488216,0.849302508455493,0.6358363858363858,0.5835712500848801
C1,T0,g1-c1-smallcnn,g1-c1-smallcnn-f4-s2753-476a7394ed3e,4,6050118657c9b4e47575738953313c3ca787436c2cdb9b08f57d3a3b9e468ce5,3,0.00024377999118157552,0.7871684502574361,0.813861807987949,0.6501831501831502,0.6476547383138676
C1,T0,g1-c1-smallcnn,g1-c1-smallcnn-f4-s2753-476a7394ed3e,4,6050118657c9b4e47575738953313c3ca787436c2cdb9b08f57d3a3b9e468ce5,4,0.00018369821591534186,0.7488592181659456,0.7931202340038704,0.6408730158730159,0.6455909673900455
C1,T0,g1-c1-smallcnn,g1-c1-smallcnn-f4-s2753-476a7394ed3e,4,6050118657c9b4e47575738953313c3ca787436c2cdb9b08f57d3a3b9e468ce5,5,0.0001169420957055782,0.7224622665959949,0.7376885570958711,0.693070818070818,0.6805937408570861
C1,T0,g1-c1-smallcnn,g1-c1-smallcnn-f4-s2753-476a7394ed3e,4,6050118657c9b4e47575738953313c3ca787436c2cdb9b08f57d3a3b9e468ce5,6,5.6733498869914624e-05,0.7013964610019534,0.7259549157960075,0.6942918192918193,0.6935938370849544
C1,T0,g1-c1-smallcnn,g1-c1-smallcnn-f4-s2753-476a7394ed3e,4,6050118657c9b4e47575738953313c3ca787436c2cdb9b08f57d3a3b9e468ce5,7,1.4997476421636368e-05,0.6795569672247302,0.7243610488043891,0.6997863247863247,0.6926522065610087
