fold,run_id,teacher_train_f1,teacher_validation_f1,teacher_gap,combined_validation_f1,train_minutes,teacher_e8_f1,change_from_teacher_e8,previous_expansion_f1,change_from_previous_expansion
0,t3_usage_expanded_v2_e8_usage_smallcnn_f0_s2753_3c4369c6ce6e_20260906T141147Zfb606e,0.8650609349697933,0.4023556827579399,0.4627052522118534,0.763872198051746,8.612094322866664,0.44398574437279215,-0.04163006161485222,0.40656733117506505,-0.0042116484171251245
1,t3_usage_expanded_v2_e8_usage_smallcnn_f1_s2753_3c4369c6ce6e_20260906T142131Zb5daae,0.8362419185642389,0.4064644875441611,0.4297774310200778,0.7812017457140563,8.645758540716667,0.38684338859876166,0.01962109894539943,0.384892166744067,0.02157232080009408
2,t3_usage_expanded_v2_e8_usage_smallcnn_f2_s2753_3c4369c6ce6e_20260906T143118Zfb9b48,0.8838637424139414,0.4202950143010707,0.4635687281128707,0.7440831177181656,8.754580267983332,0.442049101557507,-0.021754087256436294,0.4293761359131229,-0.009081121612052212
3,t3_usage_expanded_v2_e8_usage_smallcnn_f3_s2753_3c4369c6ce6e_20260906T144112Z005070,0.8309785446356467,0.41285223168440904,0.41812631295123764,0.7545522537185133,8.706203984016671,0.41370957149365384,-0.0008573398092447948,0.40629779422039647,0.006554437464012575
4,t3_usage_expanded_v2_e8_usage_smallcnn_f4_s2753_3c4369c6ce6e_20260906T145103Z229e7e,0.7714280715779045,0.39961419156282785,0.37181388001507665,0.7338845797571182,8.709092621250003,0.39115668197414866,0.00845750958867919,0.4021419419474178,-0.0025277503845899663
