class_name,support,e8_f1,expanded_f1,change
Casual,25151,0.9305225421813507,0.9297250959533967,-0.0007974462279539685
Ethnic,2183,0.8473771659150249,0.8501986445431176,0.0028214786280926774
Formal,1949,0.7770700636942676,0.7697649572649573,-0.00730510642931026
Home,1,0.0,0.0,0.0
NA,61,0.16901408450704225,0.22222222222222224,0.05320813771517999
Party,12,0.07692307692307691,0.0,-0.07692307692307691
Smart Casual,47,0.10344827586206896,0.03846153846153846,-0.06498673740053051
Sports,3346,0.666101982043029,0.6632531148660181,-0.0028488671770108276
Travel,22,0.20408163265306123,0.20408163265306123,0.0
