fold,e8_combined_f1,expanded_combined_f1,change
0,0.4134117956860516,0.590289099890724,0.1768773042046724
1,0.3863000115057653,0.4969543544325665,0.11065434292680121
2,0.4389274877500268,0.5753504316290248,0.13642294387899795
3,0.41332016746733335,0.5710120554837405,0.1576918880164071
4,0.389442098298303,0.5040015113630453,0.11455941306474227
