corruption,macro_f1,macro_f1_change
brightness_085,0.21292452893728706,-0.3345969616225331
brightness_115,0.45694227420563854,-0.0905792163541816
grayscale,0.5254528721518732,-0.022068618407946917
jpeg_75,0.5291812862864305,-0.018340204273389678
translation_003,0.48593269636406855,-0.06158879419575157
