scope,fold,size,width,height,query_source,gallery_source,protocol,query_transform_seconds,gallery_transform_seconds,query_source_bytes,gallery_source_bytes,feature_bytes_per_image,uint8_tensor_bytes_per_image,float32_tensor_bytes_per_image,metric,k,aggregation,value,query_count,class_count
development,1,60x80,60,80,v1,v1,primary,352.17207766,352.17207766,11525856401,11525856401,1600,14400,57600,precision_any,10,article_type_macro,0.39451280,6552,104
development,1,60x80,60,80,v1,v1,primary,352.17207766,352.17207766,11525856401,11525856401,1600,14400,57600,precision_strict,10,query_mean,0.25731074,6552,104
development,1,60x80,60,80,v1,v1,primary,352.17207766,352.17207766,11525856401,11525856401,1600,14400,57600,precision_strict,10,article_type_macro,0.10891200,6552,104
development,1,60x80,60,80,v1,v1,primary,352.17207766,352.17207766,11525856401,11525856401,1600,14400,57600,tie_rate,10,query_mean,0.03366382,6556,108
development,1,60x80,60,80,v1,v1,primary,352.17207766,352.17207766,11525856401,11525856401,1600,14400,57600,tie_rate,10,article_type_macro,0.02771024,6556,108
development,1,60x80,60,80,v1,v1,primary,352.17207766,352.17207766,11525856401,11525856401,1600,14400,57600,ndcg,20,query_mean,0.47431831,6552,104
development,1,60x80,60,80,v1,v1,primary,352.17207766,352.17207766,11525856401,11525856401,1600,14400,57600,ndcg,20,article_type_macro,0.34241220,6552,104
development,1,60x80,60,80,v1,v1,primary,352.17207766,352.17207766,11525856401,11525856401,1600,14400,57600,precision_any,20,query_mean,0.64169719,6552,104
development,1,60x80,60,80,v1,v1,primary,352.17207766,352.17207766,11525856401,11525856401,1600,14400,57600,precision_any,20,article_type_macro,0.33660370,6552,104
development,1,60x80,60,80,v1,v1,primary,352.17207766,352.17207766,11525856401,11525856401,1600,14400,57600,precision_strict,20,query_mean,0.23411935,6552,104
development,1,60x80,60,80,v1,v1,primary,352.17207766,352.17207766,11525856401,11525856401,1600,14400,57600,precision_strict,20,article_type_macro,0.09356267,6552,104
development,1,60x80,60,80,v1,v1,primary,352.17207766,352.17207766,11525856401,11525856401,1600,14400,57600,tie_rate,20,query_mean,0.03593655,6556,108
development,1,60x80,60,80,v1,v1,primary,352.17207766,352.17207766,11525856401,11525856401,1600,14400,57600,tie_rate,20,article_type_macro,0.03373435,6556,108
development,1,60x80,60,80,v1,v1,family,352.17207766,352.17207766,11525856401,11525856401,1600,14400,57600,coverage,10,query_mean,0.39948139,6556,
development,1,60x80,60,80,v1,v1,family,352.17207766,352.17207766,11525856401,11525856401,1600,14400,57600,tie_rate,10,query_mean,0.03859060,6556,
development,1,60x80,60,80,v1,v1,family,352.17207766,352.17207766,11525856401,11525856401,1600,14400,57600,recall,10,query_mean,0.36509733,2619,
development,1,60x80,60,80,v1,v1,family,352.17207766,352.17207766,11525856401,11525856401,1600,14400,57600,hit_rate,10,query_mean,0.64413898,2619,
development,1,60x80,60,80,v1,v1,family,352.17207766,352.17207766,11525856401,11525856401,1600,14400,57600,precision,10,query_mean,0.15269187,2619,
development,1,60x80,60,80,teacher,v1,primary,295.14003075,352.17207766,409687427,11525856401,1600,14400,57600,ndcg,5,query_mean,0.50673286,6552,104
development,1,60x80,60,80,teacher,v1,primary,295.14003075,352.17207766,409687427,11525856401,1600,14400,57600,ndcg,5,article_type_macro,0.37922640,6552,104
development,1,60x80,60,80,teacher,v1,primary,295.14003075,352.17207766,409687427,11525856401,1600,14400,57600,precision_any,5,query_mean,0.69880952,6552,104
development,1,60x80,60,80,teacher,v1,primary,295.14003075,352.17207766,409687427,11525856401,1600,14400,57600,precision_any,5,article_type_macro,0.46142139,6552,104
development,1,60x80,60,80,teacher,v1,primary,295.14003075,352.17207766,409687427,11525856401,1600,14400,57600,precision_strict,5,query_mean,0.27683150,6552,104
development,1,60x80,60,80,teacher,v1,primary,295.14003075,352.17207766,409687427,11525856401,1600,14400,57600,precision_strict,5,article_type_macro,0.12844163,6552,104
development,1,60x80,60,80,teacher,v1,primary,295.14003075,352.17207766,409687427,11525856401,1600,14400,57600,tie_rate,5,query_mean,0.03108603,6556,108
development,1,60x80,60,80,teacher,v1,primary,295.14003075,352.17207766,409687427,11525856401,1600,14400,57600,tie_rate,5,article_type_macro,0.02411754,6556,108
development,1,60x80,60,80,teacher,v1,primary,295.14003075,352.17207766,409687427,11525856401,1600,14400,57600,ndcg,10,query_mean,0.48950139,6552,104
development,1,60x80,60,80,teacher,v1,primary,295.14003075,352.17207766,409687427,11525856401,1600,14400,57600,ndcg,10,article_type_macro,0.35571846,6552,104
development,1,60x80,60,80,teacher,v1,primary,295.14003075,352.17207766,409687427,11525856401,1600,14400,57600,precision_any,10,query_mean,0.66904762,6552,104
development,1,60x80,60,80,teacher,v1,primary,295.14003075,352.17207766,409687427,11525856401,1600,14400,57600,precision_any,10,article_type_macro,0.39243876,6552,104
