query_id,query_source,gallery_source,encoding_seconds,search_seconds,end_to_end_seconds
2384,teacher,teacher,0.01698923,0.07006289,0.08705212
2400,teacher,teacher,0.01739898,0.06726759,0.08466657
2488,teacher,teacher,0.01707799,0.06768399,0.08476198
2490,teacher,teacher,0.01681163,0.06781719,0.08462883
2493,teacher,teacher,0.01771532,0.06771434,0.08542966
2548,teacher,teacher,0.01672081,0.06725525,0.08397606
2550,teacher,teacher,0.01649151,0.06654504,0.08303654
2576,teacher,teacher,0.01719306,0.06679036,0.08398342
2590,teacher,teacher,0.01714660,0.06692335,0.08406995
2591,teacher,teacher,0.01707886,0.06684533,0.08392418
2604,teacher,teacher,0.01718734,0.06731166,0.08449899
2613,teacher,teacher,0.01680727,0.06660645,0.08341372
2616,teacher,teacher,0.01645686,0.06729190,0.08374875
2627,teacher,teacher,0.01690991,0.06729385,0.08420375
2641,teacher,teacher,0.01665420,0.06736637,0.08402058
2651,teacher,teacher,0.01703121,0.06703202,0.08406322
2655,teacher,teacher,0.01742818,0.06722311,0.08465129
2659,teacher,teacher,0.01740678,0.06695240,0.08435918
2662,teacher,teacher,0.01662013,0.06769555,0.08431568
2664,teacher,teacher,0.01661231,0.06716871,0.08378101
2666,teacher,teacher,0.01683665,0.06755263,0.08438928
2667,teacher,teacher,0.01668991,0.06731816,0.08400807
2674,teacher,teacher,0.01751673,0.06741614,0.08493288
2676,teacher,teacher,0.01735420,0.06744916,0.08480335
2685,teacher,teacher,0.01744638,0.06653354,0.08397992
2693,teacher,teacher,0.01686203,0.06655806,0.08342009
2704,teacher,teacher,0.01711637,0.06654985,0.08366622
2711,teacher,teacher,0.01701671,0.06653847,0.08355518
2714,teacher,teacher,0.01757435,0.06663849,0.08421284
2722,teacher,teacher,0.01700856,0.06673070,0.08373925
2724,teacher,teacher,0.01702698,0.06703664,0.08406361
2732,teacher,teacher,0.01694752,0.06696924,0.08391676
2741,teacher,teacher,0.01747844,0.06718198,0.08466041
2744,teacher,teacher,0.01760403,0.06734242,0.08494644
2757,teacher,teacher,0.01706267,0.06717392,0.08423658
