method,fold,size,query_source,gallery_source,protocol,scope,width,height,query_transform_seconds,gallery_transform_seconds,query_source_bytes,gallery_source_bytes,feature_bytes_per_image,uint8_tensor_bytes_per_image,float32_tensor_bytes_per_image,metric,k,aggregation,value,query_count,class_count,passed
spatial-hsv-edge-4x4-v2,1,240x320,v1,v1,primary,development,240.00000000,320.00000000,774.74986615,774.74986615,11525856401.00000000,11525856401.00000000,1600.00000000,230400.00000000,921600.00000000,ndcg,20,article_type_macro,0.32933240,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,v1,v1,primary,development,240.00000000,320.00000000,774.74986615,774.74986615,11525856401.00000000,11525856401.00000000,1600.00000000,230400.00000000,921600.00000000,ndcg,20,query_mean,0.46604261,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,v1,v1,primary,development,240.00000000,320.00000000,774.74986615,774.74986615,11525856401.00000000,11525856401.00000000,1600.00000000,230400.00000000,921600.00000000,precision_any,5,article_type_macro,0.44473413,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,v1,v1,primary,development,240.00000000,320.00000000,774.74986615,774.74986615,11525856401.00000000,11525856401.00000000,1600.00000000,230400.00000000,921600.00000000,precision_any,5,query_mean,0.69743590,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,v1,v1,primary,development,240.00000000,320.00000000,774.74986615,774.74986615,11525856401.00000000,11525856401.00000000,1600.00000000,230400.00000000,921600.00000000,precision_any,10,article_type_macro,0.38436693,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,v1,v1,primary,development,240.00000000,320.00000000,774.74986615,774.74986615,11525856401.00000000,11525856401.00000000,1600.00000000,230400.00000000,921600.00000000,precision_any,10,query_mean,0.66684982,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,v1,v1,primary,development,240.00000000,320.00000000,774.74986615,774.74986615,11525856401.00000000,11525856401.00000000,1600.00000000,230400.00000000,921600.00000000,precision_any,20,article_type_macro,0.32525697,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,v1,v1,primary,development,240.00000000,320.00000000,774.74986615,774.74986615,11525856401.00000000,11525856401.00000000,1600.00000000,230400.00000000,921600.00000000,precision_any,20,query_mean,0.63424908,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,v1,v1,primary,development,240.00000000,320.00000000,774.74986615,774.74986615,11525856401.00000000,11525856401.00000000,1600.00000000,230400.00000000,921600.00000000,precision_strict,5,article_type_macro,0.12477756,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,v1,v1,primary,development,240.00000000,320.00000000,774.74986615,774.74986615,11525856401.00000000,11525856401.00000000,1600.00000000,230400.00000000,921600.00000000,precision_strict,5,query_mean,0.27023810,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,v1,v1,primary,development,240.00000000,320.00000000,774.74986615,774.74986615,11525856401.00000000,11525856401.00000000,1600.00000000,230400.00000000,921600.00000000,precision_strict,10,article_type_macro,0.10878315,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,v1,v1,primary,development,240.00000000,320.00000000,774.74986615,774.74986615,11525856401.00000000,11525856401.00000000,1600.00000000,230400.00000000,921600.00000000,precision_strict,10,query_mean,0.24893162,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,v1,v1,primary,development,240.00000000,320.00000000,774.74986615,774.74986615,11525856401.00000000,11525856401.00000000,1600.00000000,230400.00000000,921600.00000000,precision_strict,20,article_type_macro,0.08982809,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,v1,v1,primary,development,240.00000000,320.00000000,774.74986615,774.74986615,11525856401.00000000,11525856401.00000000,1600.00000000,230400.00000000,921600.00000000,precision_strict,20,query_mean,0.22496947,6552,104,
spatial-hsv-edge-4x4-v2,1,240x320,v1,v1,primary,development,240.00000000,320.00000000,774.74986615,774.74986615,11525856401.00000000,11525856401.00000000,1600.00000000,230400.00000000,921600.00000000,tie_rate,5,article_type_macro,0.03543088,6556,108,
spatial-hsv-edge-4x4-v2,1,240x320,v1,v1,primary,development,240.00000000,320.00000000,774.74986615,774.74986615,11525856401.00000000,11525856401.00000000,1600.00000000,230400.00000000,921600.00000000,tie_rate,5,query_mean,0.03117755,6556,108,
spatial-hsv-edge-4x4-v2,1,240x320,v1,v1,primary,development,240.00000000,320.00000000,774.74986615,774.74986615,11525856401.00000000,11525856401.00000000,1600.00000000,230400.00000000,921600.00000000,tie_rate,10,article_type_macro,0.03319572,6556,108,
spatial-hsv-edge-4x4-v2,1,240x320,v1,v1,primary,development,240.00000000,320.00000000,774.74986615,774.74986615,11525856401.00000000,11525856401.00000000,1600.00000000,230400.00000000,921600.00000000,tie_rate,10,query_mean,0.03579927,6556,108,
spatial-hsv-edge-4x4-v2,1,240x320,v1,v1,primary,development,240.00000000,320.00000000,774.74986615,774.74986615,11525856401.00000000,11525856401.00000000,1600.00000000,230400.00000000,921600.00000000,tie_rate,20,article_type_macro,0.03296502,6556,108,
spatial-hsv-edge-4x4-v2,1,240x320,v1,v1,primary,development,240.00000000,320.00000000,774.74986615,774.74986615,11525856401.00000000,11525856401.00000000,1600.00000000,230400.00000000,921600.00000000,tie_rate,20,query_mean,0.03801098,6556,108,
