epoch,learning_rate,train_loss,train_macro_f1,validation_loss,validation_macro_f1,train_metric_scope,sam_second_loss,selected_checkpoint,clean_train_macro_f1
1,0.001,0.7541967606108031,,0.5401127136073803,0.47718874119995636,not_applicable_mixed_inputs,0.8412339198780278,False,
2,0.0009972883382072953,0.6518257204764313,,0.5023607982400172,0.623675765900966,not_applicable_mixed_inputs,0.7258454968190938,False,
3,0.0009891830623632338,0.588728506268662,,0.46908045220735256,0.642516208863459,not_applicable_mixed_inputs,0.6551670007902097,False,
4,0.0009757729755661011,0.5805036899699771,,0.4300692256226824,0.6695224185384854,not_applicable_mixed_inputs,0.6421860450919942,False,
5,0.0009572050015330874,0.5441491045313515,,0.4127787487135395,0.7236495843681059,not_applicable_mixed_inputs,0.5988620929641636,False,
6,0.0009336825748732973,0.523742900014742,,0.397322347666514,0.7183009282114365,not_applicable_mixed_inputs,0.5756977878027886,False,
7,0.0009054634122155991,0.5035637256073461,,0.37184188983949035,0.7164403922484119,not_applicable_mixed_inputs,0.5518465942730892,False,
8,0.0008728566886113102,0.5205579547642025,,0.4884660759036566,0.6795780727651538,not_applicable_mixed_inputs,0.5704683870509051,False,
9,0.0008362196501476349,0.49067478216303656,,0.3638267229708682,0.7451392266117729,not_applicable_mixed_inputs,0.5360405149121579,False,
10,0.0007959536998847742,0.4753608862786326,,0.3596548789760529,0.7327192276712006,not_applicable_mixed_inputs,0.5201288553479062,False,0.7821254843084959
11,0.0007525,0.4863900175401948,,0.34628289438159926,0.7447635482020181,not_applicable_mixed_inputs,0.5301944577630289,False,
12,0.0007063346383225212,0.4492750530293841,,0.3353041791650297,0.7485040880506891,not_applicable_mixed_inputs,0.4897454705563872,False,
13,0.000657963412215599,0.45132816529837755,,0.34867286792415236,0.7416703698183962,not_applicable_mixed_inputs,0.4919785119257839,False,
14,0.0006079162869547909,0.4670479606936489,,0.3374640362650752,0.7589715186615618,not_applicable_mixed_inputs,0.5057001930125155,False,
15,0.0005567415893174886,0.454085329895616,,0.32480248774296816,0.7603779102807704,not_applicable_mixed_inputs,0.49140218875500924,False,0.8219275253476377
16,0.0005050000000000002,0.43078244338955796,,0.3152419366937329,0.7744006355105372,not_applicable_mixed_inputs,0.4674322486378417,False,
17,0.0004532584106825117,0.42183367474946604,,0.3249085267777482,0.78106251331626,not_applicable_mixed_inputs,0.4576262645235869,False,
18,0.00040208371304520916,0.4142818025375122,,0.3109110132435087,0.7745885592981389,not_applicable_mixed_inputs,0.45107398125890735,False,
19,0.00035203658778440114,0.42014097546367224,,0.30363095738761176,0.7856939836747443,not_applicable_mixed_inputs,0.455833351466603,False,
20,0.00030366536167747904,0.417565405468828,,0.2955059077452562,0.772756359573686,not_applicable_mixed_inputs,0.4533038270282527,False,0.8690625003431295
21,0.00025750000000000013,0.40346838646858907,,0.2952779045673285,0.7926111935349034,not_applicable_mixed_inputs,0.43670857472332447,False,
22,0.00021404630011522585,0.40420745248379913,,0.29625200352995484,0.7948215222098607,not_applicable_mixed_inputs,0.43774452077624093,False,
23,0.00017378034985236535,0.3864095499004507,,0.2998606260464007,0.799477271250258,not_applicable_mixed_inputs,0.420441045181884,False,
24,0.00013714331138868998,0.3809508038512811,,0.2907747121738984,0.7873118611106896,not_applicable_mixed_inputs,0.41526600986287215,False,
25,0.00010453658778440108,0.389355506795131,,0.2865245627850753,0.7980673095824936,not_applicable_mixed_inputs,0.4237607563296681,True,0.8932396903538923
