epoch,learning_rate,train_loss,train_macro_f1,validation_loss,validation_macro_f1,model,selected_checkpoint
1,0.001,0.6311050908837036,0.3817865700979521,0.7294548524860124,0.3877220594674645,g-e1,
2,0.0009972883382072,0.46749443575583793,0.5506859887837336,0.675493874887666,0.43979610929960977,g-e1,
3,0.0009891830623632,0.4143245812796576,0.6164968390244459,0.6185436996915008,0.4684421404230922,g-e1,
4,0.0009757729755661001,0.3824378488901661,0.6504524074837669,0.6040386547136545,0.5470140131721009,g-e1,
5,0.000957205001533,0.35366111355081153,0.6807047960222927,0.8083530668610136,0.5226946109290802,g-e1,
6,0.0009336825748732,0.3314226429326378,0.7075773440008255,0.6539800901875691,0.4947426461078578,g-e1,
7,0.0009054634122155,0.30859007877786526,0.7307143737001233,0.7941559427816693,0.5049942486932655,g-e1,
8,0.0008728566886113001,0.28620841764080096,0.7495915799604647,0.7826446444503699,0.4742802705226595,g-e1,
9,0.0008362196501476001,0.2655592357189004,0.7771131610848148,0.8540439794752608,0.5033894992034151,g-e1,
10,0.0007959536998847,0.242973135428183,0.7959814786049446,1.4649822651987072,0.4784597522470658,g-e1,
11,0.0007525,0.22124649345286612,0.8182497774353455,0.9845391775289409,0.4942570013164973,g-e1,
12,0.0007063346383225,0.19817563136737776,0.8402779645464052,2.4386788170078053,0.3571901618050455,g-e1,
13,0.0006579634122155,0.17834964813068988,0.861146390132439,1.0581131920467395,0.512781336063807,g-e1,
14,0.0006079162869547,0.15398269834540085,0.8812415384753098,0.6370669712121194,0.6155527803817622,g-e1,
15,0.0005567415893174,0.12936090811718143,0.9040962858067803,1.4821631634869723,0.42145363441722256,g-e1,
16,0.000505,0.11304011216585,0.9170637927526268,0.9706865842367023,0.494633190853593,g-e1,
17,0.00045325841068250005,0.09145028871350416,0.9356411170128585,0.8998929288034987,0.574311248828689,g-e1,
18,0.0004020837130452,0.07484083866692308,0.951596352476253,1.614757258663761,0.47549895089738464,g-e1,
19,0.0003520365877844,0.06017644343734224,0.9614962972452716,1.078453888399436,0.5555685344676932,g-e1,
20,0.0003036653616774,0.04666374382786886,0.9737601103963595,0.6714263011390802,0.6480490483790609,g-e1,
21,0.0002575,0.0364804690671494,0.9807335624071115,1.109051080194548,0.5937627135332934,g-e1,
22,0.0002140463001152,0.02886985909634442,0.9880081150837488,0.693078768847644,0.6521980654813992,g-e1,
23,0.0001737803498523,0.0240789159934614,0.9907252787269888,0.6045140217339809,0.6721338800917283,g-e1,
24,0.0001371433113886,0.019339204377644758,0.9942845479642445,0.5366277259587592,0.7113898525467729,g-e1,
25,0.00010453658778440001,0.01628480734978658,0.9958846908492667,0.5444441700168876,0.6932079312759212,g-e1,
