fold,epochs,teacher_train_f1,teacher_validation_f1,teacher_gap,combined_validation_f1,train_minutes,e8_teacher_validation_f1,teacher_validation_change
0,30,0.7834222345033734,0.40656733117506505,0.3768549033283084,0.590289099890724,8.341928259966668,0.44398574437279215,-0.037418413197727096
1,30,0.8057340159472818,0.384892166744067,0.42084184920321477,0.4969543544325665,8.466448864466656,0.38684338859876166,-0.0019512218546946514
2,30,0.7955810657741468,0.4293761359131229,0.3662049298610239,0.5753504316290248,8.43842394666667,0.442049101557507,-0.012672965644384082
3,30,0.8108448448560862,0.40629779422039647,0.40454705063568974,0.5710120554837405,8.450653491666678,0.41370957149365384,-0.0074117772732573695
4,30,0.6874811940518604,0.4021419419474178,0.28533925210444255,0.5040015113630453,8.418187667466675,0.39115668197414866,0.010985259973269157
