candidate,variant,experiment_id,seed,epoch,fold_count,train_loss_mean,train_loss_sd,validation_loss_mean,validation_loss_sd,validation_accuracy_mean,validation_accuracy_sd,validation_macro_f1_mean,validation_macro_f1_sd,common_five_fold_horizon
C2,C2 ResNet18,g3-c2-t0-resnet18,2753,1,5,1.0513023098356382,0.00294917523961862,0.962748184282112,0.038193771861612276,0.5728034300163338,0.020033915868822118,0.45121136750338026,0.0773912580739384,11
C2,C2 ResNet18,g3-c2-t0-resnet18,2753,2,5,0.8496940005190157,0.003662935981717452,0.8872787183810695,0.10278056515177159,0.6209811930931135,0.04688209910620224,0.5858473981923656,0.055131484068747634,11
C2,C2 ResNet18,g3-c2-t0-resnet18,2753,3,5,0.7852519070506795,0.005396853131521254,1.0354838498432462,0.46521598556968075,0.5829327815125065,0.15511733848481357,0.5395363821564658,0.20084726641575665,11
C2,C2 ResNet18,g3-c2-t0-resnet18,2753,4,5,0.757226027521704,0.006074410705070683,0.7951928554096392,0.02318190455994227,0.6604287361521407,0.016746808124565225,0.623573723341699,0.028817932836875563,11
C2,C2 ResNet18,g3-c2-t0-resnet18,2753,5,5,0.7350288082519504,0.0030100098167001542,0.7629769189659499,0.04462349512857058,0.6848848685274473,0.02067215621413183,0.662818047852067,0.025226192340158764,11
C2,C2 ResNet18,g3-c2-t0-resnet18,2753,6,5,0.7147166950933403,0.005559113263985669,0.7519393049427207,0.017578666532461915,0.6772823929992289,0.015449428910339989,0.6609163519880075,0.018477899973042083,11
C2,C2 ResNet18,g3-c2-t0-resnet18,2753,7,5,0.6988326820403035,0.0042547396986195255,0.7474763229791515,0.055885971078245084,0.6890691606096189,0.027743978717973794,0.6669953639511612,0.029744441067298854,11
C2,C2 ResNet18,g3-c2-t0-resnet18,2753,8,5,0.6846784913088755,0.0036669202605891225,0.759465069898989,0.08366293788259843,0.6941036374635138,0.034732015072088306,0.6722634459702274,0.04852984758831579,11
C2,C2 ResNet18,g3-c2-t0-resnet18,2753,9,5,0.6705296955272074,0.0030387424025239782,0.7303740787704803,0.014326613415176187,0.6923644237332328,0.0100384661031508,0.6712488678778045,0.013007358256104709,11
C2,C2 ResNet18,g3-c2-t0-resnet18,2753,10,5,0.6563008294747353,0.004092576995332261,0.7032281502337601,0.04732443707964297,0.7145927461710659,0.01601339050766046,0.6942833426089111,0.020269173489400067,11
C2,C2 ResNet18,g3-c2-t0-resnet18,2753,11,5,0.6461660932920719,0.0038225692885967273,0.7052891451092094,0.019246545161786432,0.710560301119852,0.0073552764568930225,0.6913585140712579,0.006486916345372338,11
C2,C2 ResNet18,g5-c2-t0-resnet18-s2026,2026,1,5,1.0402110439693972,0.0042304683867181786,1.0290485122367552,0.17291853985246464,0.5431910709459118,0.09405936399130467,0.4256129106161075,0.1036592033658082,11
C2,C2 ResNet18,g5-c2-t0-resnet18-s2026,2026,2,5,0.8429777043398756,0.002521802548526426,0.9203962714151235,0.07715268914892398,0.6057758735968787,0.019828509748167883,0.5708483690183852,0.07107652988418657,11
C2,C2 ResNet18,g5-c2-t0-resnet18-s2026,2026,3,5,0.7821946590815925,0.0061036895206634375,0.8143590992290942,0.04188374288927765,0.6525505938499083,0.025237625753214397,0.62298920695592,0.04732595064339594,11
C2,C2 ResNet18,g5-c2-t0-resnet18-s2026,2026,4,5,0.7488720159891564,0.0034088036224782046,0.7829862456100949,0.05745365441347201,0.6621385342347448,0.03542663225200587,0.6452745955392952,0.021605144064636938,11
