candidate,variant,run_id,stage,experiment_id,model_family,benchmark_only,final_eligible,scratch,fold,seed,git_commit,git_dirty,config_sha256,split_sha256,label_map_sha256,implementation_sha256,transform_id,loss_id,epochs_requested,epochs_completed,best_epoch,primary_metric_name,primary_metric_value,runtime_seconds,peak_vram_mb,parameter_count,checkpoint_path,checkpoint_sha256,prediction_path,prediction_sha256,history_path,history_sha256,status
I2,I2 SmallCNN,g5-i2-article-type-lambda-0-3-c1-s2026-f0-s2026-af9e3079222a,g5_seed_stability,g5-i2-article-type-lambda-0-3-c1-s2026,smallcnn,false,true,true,0,2026,04ef69dfd72f1722638b7274f9f6e7bbac590a86,false,c1be80945739beccb3d47189ed79ab79592523105776e3898c82f645773879d7,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,877706919db28f917632f9250b1b40d446695f941fd226211246d69efd7838de,a0-7dba8a62f166046d,season_ce_plus_masked_article_type_ce_lambda_0_3,30,29,24,macro_f1,0.7410960951417787,345.0595433000126,189.5087890625,1206112,tmp/task2/checkpoints/g5-i2-article-type-lambda-0-3-c1-s2026-f0-s2026-af9e3079222a.pt,92f62149dbaa973c3ea64773dfda9f4603ee6d73f7781711022e57381d33031c,tmp/task2/runs/g5-i2-article-type-lambda-0-3-c1-s2026-f0-s2026-af9e3079222a/oof.csv,37bcad26918e25b95fcaa6827e66667f13078fd33ec8a6c44794bd2e8abfec40,tmp/task2/runs/g5-i2-article-type-lambda-0-3-c1-s2026-f0-s2026-af9e3079222a/history.json,0807692604a3ba1a28d5395a6eac01e319ba270f82ec471d020d6d3c7fd85dca,completed
I2,I2 SmallCNN,g5-i2-article-type-lambda-0-3-c1-s2026-f1-s2026-468c5970b6da,g5_seed_stability,g5-i2-article-type-lambda-0-3-c1-s2026,smallcnn,false,true,true,1,2026,04ef69dfd72f1722638b7274f9f6e7bbac590a86,false,c1be80945739beccb3d47189ed79ab79592523105776e3898c82f645773879d7,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,877706919db28f917632f9250b1b40d446695f941fd226211246d69efd7838de,a0-7dba8a62f166046d,season_ce_plus_masked_article_type_ce_lambda_0_3,30,29,24,macro_f1,0.7491801398360282,345.5007755999686,189.5087890625,1206112,tmp/task2/checkpoints/g5-i2-article-type-lambda-0-3-c1-s2026-f1-s2026-468c5970b6da.pt,30ec8fc7cad43fd9fc0f00bf255642cb7c0f8eb66522bb3888f2ee3458f4c7d7,tmp/task2/runs/g5-i2-article-type-lambda-0-3-c1-s2026-f1-s2026-468c5970b6da/oof.csv,25cd641cacb25c326dbd7f7667cb8684c335813bb56bcca14e404c07beb160c5,tmp/task2/runs/g5-i2-article-type-lambda-0-3-c1-s2026-f1-s2026-468c5970b6da/history.json,eb1840967442c9747f0469f1b487ffb54c4403ab1608693ac0702486a654f802,completed
I2,I2 SmallCNN,g5-i2-article-type-lambda-0-3-c1-s2026-f2-s2026-e3a99b99e40e,g5_seed_stability,g5-i2-article-type-lambda-0-3-c1-s2026,smallcnn,false,true,true,2,2026,04ef69dfd72f1722638b7274f9f6e7bbac590a86,false,c1be80945739beccb3d47189ed79ab79592523105776e3898c82f645773879d7,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,877706919db28f917632f9250b1b40d446695f941fd226211246d69efd7838de,a0-7dba8a62f166046d,season_ce_plus_masked_article_type_ce_lambda_0_3,30,30,28,macro_f1,0.7555684071902646,354.7855669000419,189.5087890625,1206112,tmp/task2/checkpoints/g5-i2-article-type-lambda-0-3-c1-s2026-f2-s2026-e3a99b99e40e.pt,51aa17a004e14bf158a7bf9faa526b1d9831524319b80f0cc71c54950dfbcdd6,tmp/task2/runs/g5-i2-article-type-lambda-0-3-c1-s2026-f2-s2026-e3a99b99e40e/oof.csv,82efb9d08d1c63abc5c4721ffcc4435287ff502a760600c81be9fba015121d3d,tmp/task2/runs/g5-i2-article-type-lambda-0-3-c1-s2026-f2-s2026-e3a99b99e40e/history.json,41bf9e38463729c25e525553768913afb97418fdd42330e5e73fc33b9d74caf3,completed
I2,I2 SmallCNN,g5-i2-article-type-lambda-0-3-c1-s2026-f3-s2026-6b9c1de81133,g5_seed_stability,g5-i2-article-type-lambda-0-3-c1-s2026,smallcnn,false,true,true,3,2026,04ef69dfd72f1722638b7274f9f6e7bbac590a86,false,c1be80945739beccb3d47189ed79ab79592523105776e3898c82f645773879d7,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,877706919db28f917632f9250b1b40d446695f941fd226211246d69efd7838de,a0-7dba8a62f166046d,season_ce_plus_masked_article_type_ce_lambda_0_3,30,30,27,macro_f1,0.7581403863449738,356.98622299998533,189.5087890625,1206112,tmp/task2/checkpoints/g5-i2-article-type-lambda-0-3-c1-s2026-f3-s2026-6b9c1de81133.pt,f98a52c73bdb8cc5fe8785cf59262f39e85dc39c41e2776cdc433102d5da1780,tmp/task2/runs/g5-i2-article-type-lambda-0-3-c1-s2026-f3-s2026-6b9c1de81133/oof.csv,238e4d8c537fd32e620c9032445fe25a3d63fbaf38b2cada83b77a169744102b,tmp/task2/runs/g5-i2-article-type-lambda-0-3-c1-s2026-f3-s2026-6b9c1de81133/history.json,77bdf5b214ac9cce6f8c1b705b3572ac2e9d2eeabfa6c48ea705c38c12b30edd,completed
I2,I2 SmallCNN,g5-i2-article-type-lambda-0-3-c1-s2026-f4-s2026-67a70e52f92f,g5_seed_stability,g5-i2-article-type-lambda-0-3-c1-s2026,smallcnn,false,true,true,4,2026,04ef69dfd72f1722638b7274f9f6e7bbac590a86,false,c1be80945739beccb3d47189ed79ab79592523105776e3898c82f645773879d7,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,877706919db28f917632f9250b1b40d446695f941fd226211246d69efd7838de,a0-7dba8a62f166046d,season_ce_plus_masked_article_type_ce_lambda_0_3,30,14,9,macro_f1,0.719833516347234,183.76923969999189,189.5087890625,1206112,tmp/task2/checkpoints/g5-i2-article-type-lambda-0-3-c1-s2026-f4-s2026-67a70e52f92f.pt,07c377810790a4378c3c94c7a045a127196a08830fc8e38bb28698c9eac80ff7,tmp/task2/runs/g5-i2-article-type-lambda-0-3-c1-s2026-f4-s2026-67a70e52f92f/oof.csv,54775cd97995c6dacf4c7d1092b690790cf9509fe84b1bf9f6f5263abeb17957,tmp/task2/runs/g5-i2-article-type-lambda-0-3-c1-s2026-f4-s2026-67a70e52f92f/history.json,bb0c0b63c2dec6715761b372257871ffa6893592f202391d2b88edf5d08ee042,completed
I2,I2 SmallCNN,g4-i2-article-type-lambda-0-3-c1-f0-s2753-902fcc852d5f,g4_i2_multitask,g4-i2-article-type-lambda-0-3-c1,smallcnn,false,true,true,0,2753,7a6bb493f0d91f56aa075bb3d1f1c6e8a6e6f884,false,28a122892bd80bf44b1dfa79abb6228e4160e430d25ec632386e3be68619eb4c,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,877706919db28f917632f9250b1b40d446695f941fd226211246d69efd7838de,a0-7dba8a62f166046d,season_ce_plus_masked_article_type_ce_lambda_0_3,30,27,22,macro_f1,0.7489367875819454,419.3587966999621,190.1025390625,1206112,tmp/task2/checkpoints/g4-i2-article-type-lambda-0-3-c1-f0-s2753-902fcc852d5f.pt,8ac50fd5ad5083a2290407e3b56b97d5370982fd69fe031391ae4c19eb5f2c61,tmp/task2/runs/g4-i2-article-type-lambda-0-3-c1-f0-s2753-902fcc852d5f/oof.csv,0bfd0b41c4db96a94c5f34906b60f17ad70bf5b4ce5ec8c9cbda71bf02b3f4e4,tmp/task2/runs/g4-i2-article-type-lambda-0-3-c1-f0-s2753-902fcc852d5f/history.json,2ced38172d3eabca21c1a7c05efe904b0c650948e4dededf71abf0c463274269,completed
I2,I2 SmallCNN,g4-i2-article-type-lambda-0-3-c1-f1-s2753-1e4b66c26b12,g4_i2_multitask,g4-i2-article-type-lambda-0-3-c1,smallcnn,false,true,true,1,2753,7a6bb493f0d91f56aa075bb3d1f1c6e8a6e6f884,false,28a122892bd80bf44b1dfa79abb6228e4160e430d25ec632386e3be68619eb4c,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,877706919db28f917632f9250b1b40d446695f941fd226211246d69efd7838de,a0-7dba8a62f166046d,season_ce_plus_masked_article_type_ce_lambda_0_3,30,30,29,macro_f1,0.7575743989618585,384.6993605000316,190.1025390625,1206112,tmp/task2/checkpoints/g4-i2-article-type-lambda-0-3-c1-f1-s2753-1e4b66c26b12.pt,ffad535403298dd007734853b96c6e885835855b450ea056ebe8ffa2a9897429,tmp/task2/runs/g4-i2-article-type-lambda-0-3-c1-f1-s2753-1e4b66c26b12/oof.csv,c59eb0fe612c098cdd58a123faf9fc3e550400f1b746c224b5f7be6683a38136,tmp/task2/runs/g4-i2-article-type-lambda-0-3-c1-f1-s2753-1e4b66c26b12/history.json,195368c48b552b86ae41e530a6544a8cf138505e54b90ce3299e29b60ff5442b,completed
I2,I2 SmallCNN,g4-i2-article-type-lambda-0-3-c1-f2-s2753-e4b6d5100cf8,g4_i2_multitask,g4-i2-article-type-lambda-0-3-c1,smallcnn,false,true,true,2,2753,7a6bb493f0d91f56aa075bb3d1f1c6e8a6e6f884,false,28a122892bd80bf44b1dfa79abb6228e4160e430d25ec632386e3be68619eb4c,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,877706919db28f917632f9250b1b40d446695f941fd226211246d69efd7838de,a0-7dba8a62f166046d,season_ce_plus_masked_article_type_ce_lambda_0_3,30,19,14,macro_f1,0.743012242110391,235.09015639999416,190.1025390625,1206112,tmp/task2/checkpoints/g4-i2-article-type-lambda-0-3-c1-f2-s2753-e4b6d5100cf8.pt,5398a95d48fab3dd4192557cbf2a5cea8f0a4869a73e4b37bbba512f31807fdf,tmp/task2/runs/g4-i2-article-type-lambda-0-3-c1-f2-s2753-e4b6d5100cf8/oof.csv,cdfcd587bd0dac2fb01f64a552dddb237cfcf75bd7c8e6f418c8c36784fd7e2c,tmp/task2/runs/g4-i2-article-type-lambda-0-3-c1-f2-s2753-e4b6d5100cf8/history.json,4290db45922bb542fc30ebcf05ffd7e973a91ae8a29d27b0a8c50751bc667f8a,completed
I2,I2 SmallCNN,g4-i2-article-type-lambda-0-3-c1-f3-s2753-bc2ebf436c6b,g4_i2_multitask,g4-i2-article-type-lambda-0-3-c1,smallcnn,false,true,true,3,2753,7a6bb493f0d91f56aa075bb3d1f1c6e8a6e6f884,false,28a122892bd80bf44b1dfa79abb6228e4160e430d25ec632386e3be68619eb4c,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,877706919db28f917632f9250b1b40d446695f941fd226211246d69efd7838de,a0-7dba8a62f166046d,season_ce_plus_masked_article_type_ce_lambda_0_3,30,30,26,macro_f1,0.7597741630370382,347.1426416999893,190.1025390625,1206112,tmp/task2/checkpoints/g4-i2-article-type-lambda-0-3-c1-f3-s2753-bc2ebf436c6b.pt,305530343740ded6121bab8e8c38631c71fa559746230c674647092596321c6a,tmp/task2/runs/g4-i2-article-type-lambda-0-3-c1-f3-s2753-bc2ebf436c6b/oof.csv,e292b846a7980e471a25494013fa80d7fa67c3d01cec5b401bae12875b58d523,tmp/task2/runs/g4-i2-article-type-lambda-0-3-c1-f3-s2753-bc2ebf436c6b/history.json,f8b3f8d5fe29612aff250d7ebea2bc2e81da3ea25256f90423ca1be1aa884953,completed
I2,I2 SmallCNN,g4-i2-article-type-lambda-0-3-c1-f4-s2753-8d210d54f01e,g4_i2_multitask,g4-i2-article-type-lambda-0-3-c1,smallcnn,false,true,true,4,2753,7a6bb493f0d91f56aa075bb3d1f1c6e8a6e6f884,false,28a122892bd80bf44b1dfa79abb6228e4160e430d25ec632386e3be68619eb4c,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,877706919db28f917632f9250b1b40d446695f941fd226211246d69efd7838de,a0-7dba8a62f166046d,season_ce_plus_masked_article_type_ce_lambda_0_3,30,29,24,macro_f1,0.7534862811083198,327.07448589999694,190.1025390625,1206112,tmp/task2/checkpoints/g4-i2-article-type-lambda-0-3-c1-f4-s2753-8d210d54f01e.pt,c121137657f070d5521f10f4a7ac7237cf827977cf92e41e712df99b7ecfce35,tmp/task2/runs/g4-i2-article-type-lambda-0-3-c1-f4-s2753-8d210d54f01e/oof.csv,670c8c3c03772b67a1d6083df2f77e6842cdf6dbfd959fc3a34a5b03800d2118,tmp/task2/runs/g4-i2-article-type-lambda-0-3-c1-f4-s2753-8d210d54f01e/history.json,f69214d9809dd1109a87056a14ded47d31d6e713dae1cbd7bd2eb5d5996876fd,completed
