model,fold,teacher_train_f1,teacher_validation_f1,teacher_gap,combined_validation_f1,fit_minutes
v3,0,0.6231286771701338,0.38302627947496726,0.2401023976951665,0.667204875765606,9.6563561022
v2,0,0.6598867146458117,0.3956621317848735,0.2642245828609382,0.7543129661644333,9.628344852933333
v3,4,0.5644244741321132,0.37293149458634456,0.1914929795457686,0.6859904944624875,9.710176021166667
v2,4,0.5499821096600271,0.38277988939343344,0.1672022202665937,0.7473792838509361,9.712990006449997
