model,scope,rows,correct,macro_f1,accuracy,nll,brier,ece_15
v3,teacher,13110,11596,0.3777734325580388,0.8845156369183829,0.3509288040142262,0.17791017632186662,0.044155547765064855
v2,teacher,13110,11630,0.3897902658068634,0.8871090770404272,0.34602464366370217,0.1757099999121165,0.04376252603432493
v3,same_retained_external,200,172,0.40759706908905996,0.86,0.4015245659668596,0.2015870412072932,0.017393975499999992
v2,same_retained_external,200,174,0.40934149731628633,0.87,0.3403354919811872,0.16742449243739346,0.04682174085
v3,new_replacements,76,27,0.2156245314140051,0.35526315789473684,1.5274758475732557,0.780638303244855,0.32848650552631575
