family,tuning_id,experiment_id,epoch,fold_count,learning_rate_mean,learning_rate_sd,train_loss_mean,train_loss_sd,validation_loss_mean,validation_loss_sd,validation_accuracy_mean,validation_accuracy_sd,validation_macro_f1_mean,validation_macro_f1_sd
I1,effective-number,g4-i1-effective-number-c1,1,5,0.001,0.0,1.125547308160297,0.003955514968189504,1.1947591027928701,0.24882691043240138,0.5102472738065044,0.045937590369293894,0.5018396569813601,0.047183849187566865
I1,effective-number,g4-i1-effective-number-c1,2,5,0.0009970974765324432,0.0,0.9334663062623001,0.004893293388750414,0.9430684952013552,0.03781679927057022,0.600737598649376,0.04159226154827326,0.5726284791400339,0.049527788678459035
I1,effective-number,g4-i1-effective-number-c1,3,5,0.0009883670094660564,0.0,0.8702483166652714,0.002201673868665185,0.9186054183832055,0.05048112690634294,0.5857470915052219,0.05651143704713169,0.5780810614344833,0.040668727409512946
I1,effective-number,g4-i1-effective-number-c1,4,5,0.0009739108857318952,0.0,0.8394020100739068,0.004854169534567222,0.8720185173627872,0.03197170870707633,0.6387213616740336,0.019501894691749764,0.6119040441384803,0.036965181540759506
I1,effective-number,g4-i1-effective-number-c1,5,5,0.0009538985901633823,0.0,0.8136198488932678,0.005005525125883556,0.8589168951535046,0.03890616367776862,0.642264669974737,0.03082578506842354,0.613203338915905,0.051269086923967026
I1,effective-number,g4-i1-effective-number-c1,6,5,0.0009285647486286424,0.0,0.7948438029440391,0.0036980548903869635,0.8332134450628523,0.02562056876925416,0.6556351458934341,0.01092264105329334,0.6407957606217487,0.020607684737460677
I1,effective-number,g4-i1-effective-number-c1,7,5,0.0008982063772567181,0.0,0.7742045599206406,0.00422932021324382,0.8564995235570094,0.07069567506050697,0.6676358449214386,0.023837137452125675,0.6307214168348247,0.04549202112020804
I1,effective-number,g4-i1-effective-number-c1,8,5,0.0008631794001950214,0.0,0.7601426831170027,0.0026169414770131037,0.8301084867519034,0.06299506073638465,0.6559429551264618,0.05096590914451421,0.6459502806396162,0.03716320921906857
I1,effective-number,g4-i1-effective-number-c1,9,5,0.0008238944767241307,0.0,0.7438000050495004,0.0028911504333555132,0.8184997860857482,0.02997443327504014,0.6618631701610619,0.013821807372276541,0.6194234583954804,0.01563652346865814
I1,effective-number,g4-i1-effective-number-c1,10,5,0.0007808121866531934,0.0,0.7282017088258639,0.0014621222780803872,0.8136510985242504,0.02504496733788852,0.6710844556503025,0.027198236618039856,0.636340207534366,0.0179962335782078
I1,effective-number,g4-i1-effective-number-c1,11,5,0.0007344376304427783,0.0,0.7156392692370261,0.003161064830251531,0.79582170633607,0.019012390780066394,0.6938005121685673,0.01647430754791284,0.664694015440598,0.02316749622163697
