class_name,corrected_false_negatives,hypothetical_macro_f1,hypothetical_gain
Boys,96,0.836664896377815,0.04222458869695722
Girls,76,0.8336015869744532,0.039161279293595364
Men,304,0.8157921967442141,0.021351889063356277
Unisex,337,0.8665752937598835,0.07213498607902569
Women,383,0.8166511480866776,0.022210840405819776
