true_label,articleType,validation_rows,validation_errors,error_rate,train_rows_f0,train_rows_f4,train_class_share_f0,train_class_share_f4,train_errors_f0,train_errors_f4,train_families_f0,train_families_f4,validation_families
Women,Backpacks,9,6,0.6666666666666666,27,24,0.05567010309278351,0.0502092050209205,3,4,23,22,7
Women,Tops,441,6,0.013605442176870748,889,888,0.8118721461187215,0.8117001828153565,1,4,649,652,327
Women,Track Pants,27,5,0.18518518518518517,58,55,0.29,0.275,1,0,53,49,26
Girls,Shorts,17,5,0.29411764705882354,32,33,0.08913649025069638,0.09243697478991597,1,1,20,20,12
Boys,Jeans,13,5,0.38461538461538464,26,27,0.06878306878306878,0.07161803713527852,1,0,11,13,6
Unisex,Duffel Bag,21,5,0.23809523809523808,54,53,0.9152542372881356,0.8983050847457628,4,2,41,40,17
Boys,Watches,5,5,1.0,5,0,0.003282994090610637,0.0,1,0,5,0,5
Women,Clutches,75,5,0.06666666666666667,152,151,1.0,1.0,0,2,124,123,61
Women,Caps,7,5,0.7142857142857143,16,15,0.08648648648648649,0.08152173913043478,2,5,16,14,6
Women,Briefs,50,4,0.08,105,103,0.23026315789473684,0.22637362637362637,1,1,71,75,40
Unisex,Scarves,4,4,1.0,4,2,0.05333333333333334,0.02666666666666667,0,1,4,2,4
Women,Heels,361,4,0.0110803324099723,710,707,0.9985935302390999,1.0,1,2,379,379,184
Women,Jackets,28,4,0.14285714285714285,32,28,0.2064516129032258,0.18064516129032257,1,1,28,25,27
Women,Free Gifts,12,4,0.3333333333333333,19,21,0.41304347826086957,0.44680851063829785,1,0,15,17,8
Unisex,Waist Pouch,6,4,0.6666666666666666,11,11,0.9166666666666666,0.9166666666666666,0,0,11,10,5
Boys,Sandals,5,4,0.8,8,9,0.013582342954159592,0.015410958904109588,0,0,6,8,4
Boys,Flip Flops,5,4,0.8,11,12,0.018739352640545145,0.020512820512820513,0,0,10,11,5
Boys,Booties,4,4,1.0,3,3,0.42857142857142855,0.42857142857142855,0,1,2,2,2
Boys,Jackets,4,4,1.0,5,5,0.03225806451612903,0.03225806451612903,0,0,3,3,2
Boys,Shirts,49,4,0.08163265306122448,94,93,0.04495456719273075,0.04428571428571428,0,0,43,40,21
Girls,Capris,20,4,0.2,33,31,0.3,0.28440366972477066,1,0,20,20,10
Men,Innerwear Vests,77,3,0.03896103896103896,158,157,0.9575757575757575,0.9515151515151515,4,3,125,125,60
Men,Cufflinks,20,3,0.15,25,31,1.0,1.0,1,0,16,15,3
Women,Necklace and Chains,21,3,0.14285714285714285,43,42,1.0,1.0,0,0,29,29,16
Unisex,Sports Sandals,3,3,1.0,0,3,0.0,0.06976744186046512,0,1,0,3,3
Unisex,Headband,3,3,1.0,4,5,1.0,1.0,2,1,4,5,3
Unisex,Footballs,3,3,1.0,5,6,1.0,1.0,0,0,5,6,3
Unisex,Jeans,3,3,1.0,0,3,0.0,0.007957559681697613,0,0,0,1,1
Unisex,Belts,3,3,1.0,7,6,0.012915129151291513,0.011111111111111112,7,5,7,6,3
Women,Sweatshirts,24,3,0.125,40,40,0.2094240837696335,0.21052631578947367,1,0,38,38,22
Women,Trousers,28,3,0.10714285714285714,66,60,0.18857142857142858,0.1724137931034483,0,0,53,46,21
Men,Scarves,13,3,0.23076923076923078,27,34,0.36,0.4533333333333333,0,2,20,25,11
Girls,Jeans,9,3,0.3333333333333333,14,11,0.037037037037037035,0.029177718832891247,0,0,5,5,4
Unisex,Travel Accessory,4,3,0.75,6,8,0.6666666666666666,0.8,0,0,6,7,3
Boys,Gloves,4,3,0.75,4,4,0.2857142857142857,0.2857142857142857,1,0,2,2,2
Men,Handbags,3,2,0.6666666666666666,1,4,0.0010224948875255625,0.004098360655737705,0,1,1,3,2
Men,Night suits,8,2,0.25,10,12,0.20833333333333334,0.2553191489361702,0,0,6,8,6
Men,Laptop Bag,3,2,0.6666666666666666,12,13,0.21818181818181817,0.24074074074074073,6,7,8,9,3
Men,Mufflers,8,2,0.25,22,20,0.8461538461538461,0.7407407407407407,1,0,19,18,7
Women,Mobile Pouch,14,2,0.14285714285714285,28,26,0.875,0.8125,1,2,28,26,14
Women,Mufflers,5,2,0.4,3,6,0.11538461538461539,0.2222222222222222,0,0,2,3,3
Women,Shorts,17,2,0.11764705882352941,37,34,0.10306406685236769,0.09523809523809523,1,1,35,33,16
Women,Kajal and Eyeliner,5,2,0.4,8,9,1.0,1.0,0,0,7,7,4
Women,Sports Sandals,7,2,0.2857142857142857,26,21,0.5909090909090909,0.4883720930232558,3,0,26,21,7
Girls,Flip Flops,2,2,1.0,6,4,0.010221465076660987,0.006837606837606838,0,0,5,4,1
Men,Messenger Bag,3,2,0.6666666666666666,9,8,0.3,0.26666666666666666,2,1,9,8,3
