epoch,learning_rate,train_loss,train_macro_f1,validation_loss,validation_macro_f1,selected_checkpoint,fold
1,0.001,0.6367815034885974,0.4623019000312787,0.5386754584034108,0.5067817954539754,False,0
2,0.0009972883382072,0.4829736764698334,0.6208214309438859,0.4420766581617911,0.6324257252174236,False,0
3,0.0009891830623632,0.429346904247249,0.6763020231548353,0.4080907563326032,0.6452832023712636,False,0
4,0.0009757729755661,0.3950468177380769,0.701280389812536,0.363544737641891,0.7109730708454784,False,0
5,0.000957205001533,0.3700482995113646,0.720544355986273,0.4555715847502914,0.6955262910074868,False,0
6,0.0009336825748732,0.34675710240818,0.7441677981606302,0.3545164490280925,0.7381913121378323,False,0
7,0.0009054634122155,0.3314482800611369,0.7503491702921777,0.3505384140233947,0.7297364199007597,False,0
8,0.0008728566886113,0.3179077347074184,0.7682177742205717,0.4241169990882716,0.7084802229572114,False,0
9,0.0008362196501476,0.2999926136205616,0.7764694313758713,0.3116330258956433,0.7633060640571333,False,0
10,0.0007959536998847,0.28956256201029,0.7858584067166319,0.375272998618985,0.7314234092141728,False,0
11,0.0007525,0.2795833542363322,0.8014654597112486,0.3544296221965354,0.7310574341547205,False,0
12,0.0007063346383225,0.264254603524139,0.8105097869354736,0.3906435204856581,0.7441184070177795,False,0
13,0.0006579634122155,0.2555512420736497,0.8105912040578023,0.3141380608924314,0.7633967067390075,False,0
14,0.0006079162869547,0.2366274336041793,0.8319012995726928,0.3041462964934987,0.7598703773214994,False,0
15,0.0005567415893174,0.2326202801149551,0.8351082113995008,0.3120308405735757,0.7568351629179924,False,0
16,0.000505,0.2197796317568996,0.8458271889851929,0.3100404458684119,0.7912516953377289,False,0
17,0.0004532584106825,0.2046496771565836,0.8562075426200236,0.3311068567984725,0.7696488535641548,False,0
18,0.0004020837130452,0.2001724177012454,0.8637298424867439,0.3010768531370432,0.7883920149486296,False,0
19,0.0003520365877844,0.1881427102921847,0.8714223102384807,0.3180988727567506,0.764516670803361,False,0
20,0.0003036653616774,0.1832622659561017,0.8783236675402911,0.3250011844162848,0.7633105315998873,False,0
21,0.0002575,0.1721241453305898,0.8855300731029423,0.2871373776211713,0.7972977780174917,False,0
22,0.0002140463001152,0.1655748339621371,0.8881385490957923,0.3043055671299757,0.7842769185465384,False,0
23,0.0001737803498523,0.1581664671932441,0.8963454968569508,0.2821844355290616,0.7831496851036139,False,0
24,0.0001371433113886,0.152087182654487,0.8999421254405888,0.2817984023468969,0.7886211777837957,False,0
25,0.0001045365877844,0.1520177818135757,0.8998696631529082,0.3038241445089312,0.7868898659793084,False,0
26,7.631742512670285e-05,0.1434069849851929,0.9093953277808736,0.2825690407425906,0.7896988384909241,False,0
27,5.279499846691252e-05,0.145580003374774,0.9047228977771198,0.2806944992042499,0.788089601923267,False,0
28,3.4227024433899005e-05,0.1363210969508649,0.9151135188918555,0.2800457022905659,0.787311320764715,False,0
29,2.0816937636766188e-05,0.1391272255953353,0.9069998438492476,0.2795049358638538,0.788875702026606,False,0
30,1.2711661792704668e-05,0.1344078744201147,0.9148500117978504,0.2807508550036295,0.7878217977107641,True,0
1,0.001,0.6365731534322734,0.446273149235371,0.4610965397184499,0.6480947391756342,False,4
2,0.0009972883382072,0.4800045736722914,0.6222279248501229,0.4484941593408403,0.6694046011828245,False,4
3,0.0009891830623632,0.4242297584940683,0.6727616470159203,0.4101049740703182,0.671415754487364,False,4
4,0.0009757729755661,0.3983988936059461,0.6891167760157331,0.4214451095125961,0.6981481120102752,False,4
5,0.000957205001533,0.3748811950925868,0.7163095838149542,0.3572875152314892,0.7445459320983163,False,4
6,0.0009336825748732,0.3522216553345372,0.7349213531478231,0.451302992319468,0.7164885465633957,False,4
7,0.0009054634122155,0.334200287678273,0.7467877027245252,0.3690503205179677,0.7346198863603954,False,4
8,0.0008728566886113,0.3165602472894687,0.7638394041380658,0.3357857316482425,0.7682677789151091,False,4
9,0.0008362196501476,0.3027840521883448,0.7748470531873515,0.3170311536951837,0.7720987839454528,False,4
10,0.0007959536998847,0.2907015407525587,0.7856177648448099,0.3640139255742574,0.7625649768881952,False,4
11,0.0007525,0.2778826179139164,0.7905163412480085,0.3546429042392921,0.7326589151032427,False,4
12,0.0007063346383225,0.2637283784116518,0.8118486625368853,0.310991436393046,0.7760372397591121,False,4
13,0.0006579634122155,0.2553377419682876,0.8186978353660146,0.3312008293532772,0.7560234934674522,False,4
14,0.0006079162869547,0.2455028303338144,0.8261761526975105,0.27906349470871,0.786082741857666,False,4
15,0.0005567415893174,0.2359247788955134,0.8379278744098496,0.2878358929335789,0.7847632643319067,False,4
16,0.000505,0.2217525222205446,0.8489238450131626,0.3057513338355587,0.7886572259862217,False,4
17,0.0004532584106825,0.2126993851114927,0.8561831308155263,0.2971191676138959,0.7714021692929156,False,4
18,0.0004020837130452,0.2046414566887636,0.8621745256599788,0.3222477070820191,0.7738672984589696,False,4
19,0.0003520365877844,0.1931208227333369,0.8675883862294045,0.2765603427191014,0.7783561812222927,False,4
20,0.0003036653616774,0.186653474802228,0.8720199206996604,0.2753466722240567,0.7994082413099367,False,4
21,0.0002575,0.1722617741670774,0.8904905848742815,0.2995596184897063,0.8034798641604184,False,4
22,0.0002140463001152,0.1674567862303838,0.8906572383050808,0.2721538958942924,0.7969333970810186,False,4
23,0.0001737803498523,0.1620284170048754,0.8940708589926094,0.279214691184944,0.7865166257590188,False,4
24,0.0001371433113886,0.1565138747779778,0.8960797623711059,0.3087005867579188,0.7872060391755947,False,4
25,0.0001045365877844,0.153024644550842,0.9009523298366128,0.2702603018354748,0.8082686595701304,False,4
26,7.631742512670285e-05,0.1483144591567281,0.9065295424564626,0.2703985403146579,0.8016965536952754,False,4
27,5.279499846691252e-05,0.1430347215158021,0.9075318583614094,0.2681960672780982,0.8102581919879747,False,4
28,3.4227024433899005e-05,0.1433465116073854,0.9124045149431866,0.2685964474758761,0.8049379127662494,False,4
