model,fold,train,validation,gap
G2,0,0.9931472699932924,0.7604983529055681,0.23264891708772428
G2,4,0.9945832714929127,0.7304612751770436,0.2641219963158691
CompactBlurCNN,0,0.8721321030674621,0.717580681717781,0.15455142134968114
CompactBlurCNN,4,0.8856178029995532,0.7085293651532218,0.17708843784633133
