condition,c2_accuracy,i2_accuracy,i2_minus_c2_accuracy,c2_balanced_accuracy,i2_balanced_accuracy,i2_minus_c2_balanced_accuracy,c2_macro_f1,i2_macro_f1,i2_minus_c2_macro_f1,c2_spring_recall,i2_spring_recall,i2_minus_c2_spring_recall,c2_spring_f1,i2_spring_f1,i2_minus_c2_spring_f1,c2_prediction_agreement_with_clean,i2_prediction_agreement_with_clean,i2_minus_c2_prediction_agreement_with_clean
clean,0.7477788294202058,0.7624950386224163,0.014716209202210506,0.698980427668666,0.7171776373227285,0.018197209654062574,0.7350355076324379,0.7526869559580971,0.017651448325659236,0.6305492851768246,0.6471030850263356,0.016553799849510997,0.7475468331846565,0.7647843485993775,0.01723751541472096,1.0,1.0,0.0
jpeg_quality_85,0.7255823893994443,0.7264372729215645,0.0008548835221201534,0.6998994985328258,0.7087481382560908,0.008848639723264995,0.7223642501014543,0.730191441574592,0.007827191473137707,0.6155003762227238,0.6350639578630549,0.019563581640331118,0.7316636851520573,0.7502222222222222,0.01855853707016497,0.8695386682135987,0.8762556101731139,0.006716941959515221
brightness_0_85,0.4756205538423961,0.5456599395475223,0.07003938570512624,0.3369467022636774,0.36099870412009244,0.02405200185641504,0.3375421206725712,0.3639610437484834,0.026418923075912204,0.015048908954100828,0.0030097817908201654,-0.012039127163280662,0.027472527472527472,0.005983545250560957,-0.021488982221966515,0.5126247977284524,0.6141116844258541,0.10148688669740169
brightness_1_15,0.650810612768296,0.6966995389735291,0.045888926205233105,0.5518459883557791,0.6129778064714607,0.06113181811568158,0.5910230766668209,0.6555935601819107,0.06457048351508987,0.37396538750940556,0.4439428141459744,0.06997742663656886,0.5097435897435898,0.5824284304047384,0.07268484066114855,0.8074069550880836,0.8507617622813177,0.043354807193234146
gaussian_blur_radius_1,0.6690379507220713,0.7043629591182488,0.03532500839617747,0.6629982614153419,0.6871083688040508,0.02411010738870889,0.6652120209985838,0.6969357014651656,0.031723680466581805,0.6200150489089541,0.6395786305492852,0.019563581640331118,0.6921461570768584,0.718816067653277,0.026669910576418543,0.7646933105364394,0.8045980520868318,0.039904741550392364
