amp_enabled,analysis_config_sha256,cache_key,candidate,checkpoint_run_id,checkpoint_sha256,condition,coverage_sha256,device,experiment_id,fold,git_commit,history_sha256,image_set_sha256,implementation_sha256,label_map_sha256,manifest_path,peak_vram_bytes,prediction_path,prediction_sha256,probe_id,rows,runtime_seconds,schema_version,seed,split_sha256,status,condition_spec_condition,condition_spec_kind,condition_spec_source,condition_spec_quality,condition_spec_subsampling,condition_spec_factor,condition_spec_radius
True,9dc9f11f8044285a174db68d2414e43fd5ca25c0f4c1428f56e07862a0e2c27c,53ca5be3081be8079afbe692aeec92d61c58b42a2760244008a03090742dc887,C2,g3-c2-t0-resnet18-f0-s2753-66ee7a85d5c6,eb4d4a3c44fe2ec224c4ff164f197cd9e427cb1953dda54aa643302228875b2f,brightness_0_85,f0ef8657974ce941b25e10b5e183b255d0e2d3e29a116203739dedea95ef0550,cuda,g3-c2-t0-resnet18,0,40e8e944774b451059bf4c6b4a8b58eccf0c3de2,aadb640ce6d1ed88ea81351ce0c6972b5da35d58384c42e264a23e949b99a9de,ff164f26bf434845f95c822f7cf1376780d885b0fdabb2e7fa87765d4035b018,ca8f92a822a7adf7427f8f603e061974cf4de61fafef9ec3f963a08ee86a7329,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,tmp/task2/robustness/53ca5be3081be8079afbe692aeec92d61c58b42a2760244008a03090742dc887/manifest.json,534736896,tmp/task2/robustness/53ca5be3081be8079afbe692aeec92d61c58b42a2760244008a03090742dc887/predictions.csv,455540b38827b22ca4b184624e6ccd335a23b0d6d8252d5e8f3456da2347a841,c2-f0-brightness_0_85-53ca5be3081b,6550,21.265115200018045,1.0.0,2753,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,completed,brightness_0_85,brightness,,,,0.85,
True,9dc9f11f8044285a174db68d2414e43fd5ca25c0f4c1428f56e07862a0e2c27c,5faecee4d790f51c1b32f9debaf10f8a2964def0ee960916c16d45d37cea4acc,C2,g3-c2-t0-resnet18-f1-s2753-dc728952f19f,9bd3180201f863b90acdcdc9cda5d7d1000cda64947a83b6c13aae5c8837c151,brightness_0_85,d0c186db5a36e3836e6f880f090e9f8ac485ee25f93c47f64c459ffc0da01aea,cuda,g3-c2-t0-resnet18,1,40e8e944774b451059bf4c6b4a8b58eccf0c3de2,6e51e0dd9039236f8aedfd1a23825aaeff605b68df88a6e783ecc6211c1f0913,8d3f521a974ff6fe7f78d6a10a27ea989e157ee7babef1653c7578e1b6832bf3,ca8f92a822a7adf7427f8f603e061974cf4de61fafef9ec3f963a08ee86a7329,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,tmp/task2/robustness/5faecee4d790f51c1b32f9debaf10f8a2964def0ee960916c16d45d37cea4acc/manifest.json,534736896,tmp/task2/robustness/5faecee4d790f51c1b32f9debaf10f8a2964def0ee960916c16d45d37cea4acc/predictions.csv,812716cb4db15fd7657b43b531591f1b650910750793b9e7dc850f2b94ca0dbc,c2-f1-brightness_0_85-5faecee4d790,6551,21.428816200001165,1.0.0,2753,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,completed,brightness_0_85,brightness,,,,0.85,
True,9dc9f11f8044285a174db68d2414e43fd5ca25c0f4c1428f56e07862a0e2c27c,1943e62b1f658e3442036092eaaa10534c0e8d0e46f87d29580013dd18d9b0a5,C2,g3-c2-t0-resnet18-f2-s2753-80377ad03917,a36f7610d8919a858f6c364ac6f7f5f42b73a406f6520686e954d247d148fcea,brightness_0_85,8628b7ef6a45ce83ae38eec8318e7b7b0abcbd0b79aa747eacda5ef1cf9be9c4,cuda,g3-c2-t0-resnet18,2,40e8e944774b451059bf4c6b4a8b58eccf0c3de2,877358f846e9f0884b436ec206dfa459ef7e253449672de0f498106dc57c4e39,2b8d606a301d5a9ada2ce69642031cae2b9f7c505a9bec53bd00ff9d1b8c0b93,ca8f92a822a7adf7427f8f603e061974cf4de61fafef9ec3f963a08ee86a7329,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,tmp/task2/robustness/1943e62b1f658e3442036092eaaa10534c0e8d0e46f87d29580013dd18d9b0a5/manifest.json,534736896,tmp/task2/robustness/1943e62b1f658e3442036092eaaa10534c0e8d0e46f87d29580013dd18d9b0a5/predictions.csv,fbcd9ec09bad0138bc4e7b1e1b6ef1b749ad44fb33d9bb1a1e06ac5cb6d4182e,c2-f2-brightness_0_85-1943e62b1f65,6550,21.21162939997157,1.0.0,2753,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,completed,brightness_0_85,brightness,,,,0.85,
True,9dc9f11f8044285a174db68d2414e43fd5ca25c0f4c1428f56e07862a0e2c27c,74e7b23298470768ddee466cbe5d68255e7bf491f03167924ae3260d9a3edbdc,C2,g3-c2-t0-resnet18-f3-s2753-7e8c480bec75,2cb33d8b4cf7817d7f94066356eddf77061a6d22d1a29bae6fd91f574b2b0c37,brightness_0_85,2d41181d7f6ef366273a1bd3ff4cc51bea8dd2c8ece49e3c078a8c23ad56bd4d,cuda,g3-c2-t0-resnet18,3,40e8e944774b451059bf4c6b4a8b58eccf0c3de2,b363057731cd949c3c3dd927e7e0a2c5948683e04940468549793af2f40c7fb4,03e538188960be6dd02704726fcef618bda12dd479bb64d353348bca6e967e53,ca8f92a822a7adf7427f8f603e061974cf4de61fafef9ec3f963a08ee86a7329,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,tmp/task2/robustness/74e7b23298470768ddee466cbe5d68255e7bf491f03167924ae3260d9a3edbdc/manifest.json,534736896,tmp/task2/robustness/74e7b23298470768ddee466cbe5d68255e7bf491f03167924ae3260d9a3edbdc/predictions.csv,945ad5ee677ffc00709ce1ab7b790ac015afd27d48469ac8ecb1abbdf1fa63cc,c2-f3-brightness_0_85-74e7b2329847,6550,42.56464679999044,1.0.0,2753,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,completed,brightness_0_85,brightness,,,,0.85,
True,9dc9f11f8044285a174db68d2414e43fd5ca25c0f4c1428f56e07862a0e2c27c,9bf0f5abcb105a6b0f03280b9f4410790501cb95848e4c4f9fa5112f873d015e,C2,g3-c2-t0-resnet18-f4-s2753-7b3a3bf2d06e,b99f7fd286ed4d228afe069bac92e447440c851a904de3bc8c9c310bfba52f26,brightness_0_85,4281de637b04c55ad6803910267303f4028609ed2526fd89346b6a20cd380cfc,cuda,g3-c2-t0-resnet18,4,40e8e944774b451059bf4c6b4a8b58eccf0c3de2,505fbead648bcc435ad7805d24d61532a3c9c48d942cf34d6b0b6c4192811fe4,b1df272fd7518103313c63f49772c6c00126e885bf3aa39624cc992deedb3371,ca8f92a822a7adf7427f8f603e061974cf4de61fafef9ec3f963a08ee86a7329,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,tmp/task2/robustness/9bf0f5abcb105a6b0f03280b9f4410790501cb95848e4c4f9fa5112f873d015e/manifest.json,534736896,tmp/task2/robustness/9bf0f5abcb105a6b0f03280b9f4410790501cb95848e4c4f9fa5112f873d015e/predictions.csv,a18f75077e0f7c83f74372afade67519667215c0faca6f788c430a73e1cbada3,c2-f4-brightness_0_85-9bf0f5abcb10,6552,33.5978340000147,1.0.0,2753,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,completed,brightness_0_85,brightness,,,,0.85,
True,9dc9f11f8044285a174db68d2414e43fd5ca25c0f4c1428f56e07862a0e2c27c,11e6c816bf9895fff45a26db7c91af9c98082f248e3d01b4314fdb8d57d4cc8c,C2,g3-c2-t0-resnet18-f0-s2753-66ee7a85d5c6,eb4d4a3c44fe2ec224c4ff164f197cd9e427cb1953dda54aa643302228875b2f,brightness_1_15,f0ef8657974ce941b25e10b5e183b255d0e2d3e29a116203739dedea95ef0550,cuda,g3-c2-t0-resnet18,0,40e8e944774b451059bf4c6b4a8b58eccf0c3de2,aadb640ce6d1ed88ea81351ce0c6972b5da35d58384c42e264a23e949b99a9de,ff164f26bf434845f95c822f7cf1376780d885b0fdabb2e7fa87765d4035b018,ca8f92a822a7adf7427f8f603e061974cf4de61fafef9ec3f963a08ee86a7329,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,tmp/task2/robustness/11e6c816bf9895fff45a26db7c91af9c98082f248e3d01b4314fdb8d57d4cc8c/manifest.json,534736896,tmp/task2/robustness/11e6c816bf9895fff45a26db7c91af9c98082f248e3d01b4314fdb8d57d4cc8c/predictions.csv,227bb598832e49ea7c1d6d614b295b561304ebbed2b9381af110e7335cbc9e7e,c2-f0-brightness_1_15-11e6c816bf98,6550,21.482970400014892,1.0.0,2753,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,completed,brightness_1_15,brightness,,,,1.15,
True,9dc9f11f8044285a174db68d2414e43fd5ca25c0f4c1428f56e07862a0e2c27c,7431772bfb8c6a91463273c5ccef51dba11bb4635271f5f3ec2741ac5d97107f,C2,g3-c2-t0-resnet18-f1-s2753-dc728952f19f,9bd3180201f863b90acdcdc9cda5d7d1000cda64947a83b6c13aae5c8837c151,brightness_1_15,d0c186db5a36e3836e6f880f090e9f8ac485ee25f93c47f64c459ffc0da01aea,cuda,g3-c2-t0-resnet18,1,40e8e944774b451059bf4c6b4a8b58eccf0c3de2,6e51e0dd9039236f8aedfd1a23825aaeff605b68df88a6e783ecc6211c1f0913,8d3f521a974ff6fe7f78d6a10a27ea989e157ee7babef1653c7578e1b6832bf3,ca8f92a822a7adf7427f8f603e061974cf4de61fafef9ec3f963a08ee86a7329,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,tmp/task2/robustness/7431772bfb8c6a91463273c5ccef51dba11bb4635271f5f3ec2741ac5d97107f/manifest.json,534736896,tmp/task2/robustness/7431772bfb8c6a91463273c5ccef51dba11bb4635271f5f3ec2741ac5d97107f/predictions.csv,d50bd044672089add37e27f252dd8065bd283bd8155ffc81365554e937b44a16,c2-f1-brightness_1_15-7431772bfb8c,6551,21.31531769997673,1.0.0,2753,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,completed,brightness_1_15,brightness,,,,1.15,
True,9dc9f11f8044285a174db68d2414e43fd5ca25c0f4c1428f56e07862a0e2c27c,8da9d23e1f15e3c1987d959b8778bea66e29c0bddad46919299e8879ccb0e20f,C2,g3-c2-t0-resnet18-f2-s2753-80377ad03917,a36f7610d8919a858f6c364ac6f7f5f42b73a406f6520686e954d247d148fcea,brightness_1_15,8628b7ef6a45ce83ae38eec8318e7b7b0abcbd0b79aa747eacda5ef1cf9be9c4,cuda,g3-c2-t0-resnet18,2,40e8e944774b451059bf4c6b4a8b58eccf0c3de2,877358f846e9f0884b436ec206dfa459ef7e253449672de0f498106dc57c4e39,2b8d606a301d5a9ada2ce69642031cae2b9f7c505a9bec53bd00ff9d1b8c0b93,ca8f92a822a7adf7427f8f603e061974cf4de61fafef9ec3f963a08ee86a7329,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,tmp/task2/robustness/8da9d23e1f15e3c1987d959b8778bea66e29c0bddad46919299e8879ccb0e20f/manifest.json,534736896,tmp/task2/robustness/8da9d23e1f15e3c1987d959b8778bea66e29c0bddad46919299e8879ccb0e20f/predictions.csv,64dd46899027a415d75cf95c15630feab2bc1ef0cd3e5980b513aade2074ff49,c2-f2-brightness_1_15-8da9d23e1f15,6550,21.201492899970617,1.0.0,2753,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,completed,brightness_1_15,brightness,,,,1.15,
True,9dc9f11f8044285a174db68d2414e43fd5ca25c0f4c1428f56e07862a0e2c27c,a2cfa8ef78609e2b78384557c91f2b681149e492d17839ebb0b9d2e3ea372217,C2,g3-c2-t0-resnet18-f3-s2753-7e8c480bec75,2cb33d8b4cf7817d7f94066356eddf77061a6d22d1a29bae6fd91f574b2b0c37,brightness_1_15,2d41181d7f6ef366273a1bd3ff4cc51bea8dd2c8ece49e3c078a8c23ad56bd4d,cuda,g3-c2-t0-resnet18,3,40e8e944774b451059bf4c6b4a8b58eccf0c3de2,b363057731cd949c3c3dd927e7e0a2c5948683e04940468549793af2f40c7fb4,03e538188960be6dd02704726fcef618bda12dd479bb64d353348bca6e967e53,ca8f92a822a7adf7427f8f603e061974cf4de61fafef9ec3f963a08ee86a7329,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,tmp/task2/robustness/a2cfa8ef78609e2b78384557c91f2b681149e492d17839ebb0b9d2e3ea372217/manifest.json,534736896,tmp/task2/robustness/a2cfa8ef78609e2b78384557c91f2b681149e492d17839ebb0b9d2e3ea372217/predictions.csv,e143fe3eb00eacb41cac55ac652e80a9fd9656da943cc7021f473b592b329c31,c2-f3-brightness_1_15-a2cfa8ef7860,6550,33.6754047999857,1.0.0,2753,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,completed,brightness_1_15,brightness,,,,1.15,
True,9dc9f11f8044285a174db68d2414e43fd5ca25c0f4c1428f56e07862a0e2c27c,720edecd89bcabe4ba67e2ef0fb62e1828023fd818e785063e0f94a2596b716a,C2,g3-c2-t0-resnet18-f4-s2753-7b3a3bf2d06e,b99f7fd286ed4d228afe069bac92e447440c851a904de3bc8c9c310bfba52f26,brightness_1_15,4281de637b04c55ad6803910267303f4028609ed2526fd89346b6a20cd380cfc,cuda,g3-c2-t0-resnet18,4,40e8e944774b451059bf4c6b4a8b58eccf0c3de2,505fbead648bcc435ad7805d24d61532a3c9c48d942cf34d6b0b6c4192811fe4,b1df272fd7518103313c63f49772c6c00126e885bf3aa39624cc992deedb3371,ca8f92a822a7adf7427f8f603e061974cf4de61fafef9ec3f963a08ee86a7329,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,tmp/task2/robustness/720edecd89bcabe4ba67e2ef0fb62e1828023fd818e785063e0f94a2596b716a/manifest.json,534736896,tmp/task2/robustness/720edecd89bcabe4ba67e2ef0fb62e1828023fd818e785063e0f94a2596b716a/predictions.csv,edc754ed4b1cfb5858a886e1b6234b23a92aac18c3a3a5b390817b7536c9cbfc,c2-f4-brightness_1_15-720edecd89bc,6552,33.75980559998425,1.0.0,2753,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,completed,brightness_1_15,brightness,,,,1.15,
