candidate,experiment_id,condition,fold,support,accuracy,balanced_accuracy,macro_f1,nll,brier,ece,spring_precision,spring_recall,spring_f1
C2,g3-c2-t0-resnet18,brightness_0_85,0,6550,0.47450381679389314,0.37124484360896504,0.356422288614016,1.2978744186355375,0.7011610387546034,0.20575114927938928,0.0,0.0,0.0
C2,g3-c2-t0-resnet18,brightness_0_85,1,6551,0.48084261944741263,0.3427738818268199,0.3465388298348894,1.31146627358214,0.6990287235058477,0.2132802106583839,0.0,0.0,0.0
C2,g3-c2-t0-resnet18,brightness_0_85,2,6550,0.5030534351145038,0.2700581522898403,0.21970569447223262,1.289744787000974,0.6913006725864581,0.18719273255925867,0.2,0.007547169811320755,0.014545454545454545
C2,g3-c2-t0-resnet18,brightness_0_85,3,6550,0.47114503816793896,0.3617567192161638,0.36055408602391026,1.2528629773436193,0.6875472504921787,0.16928963979392408,0.16071428571428573,0.06741573033707865,0.09498680738786279
C2,g3-c2-t0-resnet18,brightness_0_85,4,6552,0.4485653235653236,0.338953747314761,0.32678724634286715,1.4535547242909768,0.7527029916763047,0.2501904131000888,0.0,0.0,0.0
C2,g3-c2-t0-resnet18,brightness_1_15,0,6550,0.6297709923664122,0.5316825698589782,0.5647480027805581,1.0014399201441786,0.5282462056336712,0.1637115270329646,0.7796610169491526,0.3458646616541353,0.4791666666666667
C2,g3-c2-t0-resnet18,brightness_1_15,1,6551,0.6466188368188063,0.5366884479250128,0.576986619928798,0.9963932227216696,0.5106093376981072,0.1470933894820226,0.8017241379310345,0.35094339622641507,0.4881889763779528
C2,g3-c2-t0-resnet18,brightness_1_15,2,6550,0.6596946564885496,0.5690364957937057,0.6023772113701648,0.8193611269926065,0.4561304335581829,0.05529599380141383,0.7463768115942029,0.3886792452830189,0.511166253101737
C2,g3-c2-t0-resnet18,brightness_1_15,3,6550,0.6661068702290076,0.5776164865636297,0.6232318579584191,0.8674752155418748,0.46738802720071,0.11514095028650341,0.8692307692307693,0.4232209737827715,0.5692695214105793
C2,g3-c2-t0-resnet18,brightness_1_15,4,6552,0.6518620268620269,0.5441478087371987,0.5848377071218906,0.9640888891647914,0.5066091023210334,0.15606963839410828,0.8067226890756303,0.3609022556390977,0.4987012987012987
C2,g3-c2-t0-resnet18,clean,0,6550,0.7467175572519084,0.6990882221247676,0.7346773084590131,0.6792256721682084,0.36257578910843447,0.07390382120192399,0.9482758620689655,0.6203007518796992,0.75
C2,g3-c2-t0-resnet18,clean,1,6551,0.7458403297206533,0.6920994886239935,0.7301639034276558,0.677510206880197,0.3576418139184077,0.06649345856590015,0.9157303370786517,0.6150943396226415,0.7358916478555305
C2,g3-c2-t0-resnet18,clean,2,6550,0.7447328244274809,0.6908644370633812,0.72969255491362,0.6498326737404142,0.35379382473243615,0.024856861802352144,0.9209039548022598,0.6150943396226415,0.7375565610859729
