available,batch_size,cache_key,candidate,checkpoint_fold,checkpoint_run_id,checkpoint_sha256,cpu_threads,cuda_allocated_after_load_bytes,device,end_to_end_mean_ms,end_to_end_median_ms,end_to_end_p95_ms,end_to_end_repeats,end_to_end_throughput_per_second_at_median,end_to_end_warmups,experiment_id,input_id,model_only_mean_ms,model_only_median_ms,model_only_p95_ms,model_only_repeats,model_only_throughput_per_second_at_median,model_only_warmups,parameter_and_buffer_bytes,parameter_count,peak_cuda_allocated_bytes,process_rss_after_inference_bytes,process_rss_after_load_bytes,process_rss_before_bytes,process_rss_delta_bytes,result_path,result_sha256,seed,training_checkpoint_bytes
True,1,7dd47ce3c5116e10940e6aca1207334f150aa8189295f97767ce228d8f79745a,C2,0,g3-c2-t0-resnet18-f0-s2753-66ee7a85d5c6,eb4d4a3c44fe2ec224c4ff164f197cd9e427cb1953dda54aa643302228875b2f,1,,cpu,47.59045599999999,47.35655,51.72118,50,21.11640311635877,10,g3-c2-t0-resnet18,1163,47.93646850000001,47.9758,50.472545,200,20.843842103727297,30,44722096,11170884,,1074651136,1190998016,1006854144,184143872,tmp/task2/robustness/cost/7dd47ce3c5116e10940e6aca1207334f150aa8189295f97767ce228d8f79745a/result.json,0a5969620d9b632877105608685c446fe0505a9a1925f3ace3cca98f27a0aacf,2753,134179223
True,1,e092e92bef461d79e72cf6da6c9b3dad1f52b067a260afa293dd544bd30d8253,C2,0,g3-c2-t0-resnet18-f0-s2753-66ee7a85d5c6,eb4d4a3c44fe2ec224c4ff164f197cd9e427cb1953dda54aa643302228875b2f,24,44795904.0,cuda,3.068528,3.0523,3.300935,50,327.6217934016971,10,g3-c2-t0-resnet18,1163,2.312722,2.24615,2.6397399999999998,200,445.2062417915099,30,44722096,11170884,64685568.0,1654022144,1141567488,1051615232,602406912,tmp/task2/robustness/cost/e092e92bef461d79e72cf6da6c9b3dad1f52b067a260afa293dd544bd30d8253/result.json,149e32941827003195b33addfa8b0451d0393ac88a7078c5b4c71cbc9083f245,2753,134179223
True,1,dc5ba3ebfdc243395ee53e071d946279c8078e4206f8a8ca8e25625e826a59c9,I2,0,g4-i2-article-type-lambda-0-3-c1-f0-s2753-902fcc852d5f,8ac50fd5ad5083a2290407e3b56b97d5370982fd69fe031391ae4c19eb5f2c61,1,,cpu,6.538825999999999,6.4925999999999995,7.06933,50,154.02150140159569,10,g4-i2-article-type-lambda-0-3-c1,1163,6.5824005,6.5470500000000005,7.181984999999999,200,152.74054726938087,30,4832192,1206112,,1651273728,1667670016,1673170944,0,tmp/task2/robustness/cost/dc5ba3ebfdc243395ee53e071d946279c8078e4206f8a8ca8e25625e826a59c9/result.json,19aee8908ac3c1f839a6bf840ed45e0f77273d84159d992ba8bc60dca6ff2960,2753,14521135
True,1,269b279835af355db7d9fd614d6c6a331796a46a8bdcd1a64504e6824e32a5b1,I2,0,g4-i2-article-type-lambda-0-3-c1-f0-s2753-902fcc852d5f,8ac50fd5ad5083a2290407e3b56b97d5370982fd69fe031391ae4c19eb5f2c61,24,13419520.0,cuda,1.9216499999999999,1.8820999999999999,2.1976399999999994,50,531.3213963126295,10,g4-i2-article-type-lambda-0-3-c1,1163,1.34794,1.3124,1.607624999999999,200,761.9628162145688,30,4832192,1206112,16653824.0,1638367232,1635254272,1635815424,2551808,tmp/task2/robustness/cost/269b279835af355db7d9fd614d6c6a331796a46a8bdcd1a64504e6824e32a5b1/result.json,5645c7d9502aef5bdd7739a8cc0edd03b6184c2032fcbd4f6b4d25907a5a62d0,2753,14521135
