candidate,experiment_id,condition,fold,support,accuracy,balanced_accuracy,macro_f1,nll,brier,ece,spring_precision,spring_recall,spring_f1,prediction_agreement_with_clean,clean_correct_to_condition_wrong,clean_wrong_to_condition_correct,delta_accuracy_vs_clean,delta_balanced_accuracy_vs_clean,delta_macro_f1_vs_clean,delta_spring_recall_vs_clean,delta_spring_f1_vs_clean,delta_nll_vs_clean,delta_brier_vs_clean,delta_ece_vs_clean,material_macro_f1_degradation
C2,g3-c2-t0-resnet18,brightness_0_85,-1,32753,0.4756205538423961,0.3369467022636774,0.3375421206725712,1.3211084300769682,0.7063507425016848,0.20466947902241445,0.15748031496062992,0.015048908954100828,0.027472527472527472,0.5126247977284524,11559,2645,-0.2721582755778097,-0.36203372540498857,-0.39749338695986663,-0.6155003762227238,-0.720074305712129,0.655372128564965,0.35025869182844627,0.1472133460889217,True
C2,g3-c2-t0-resnet18,brightness_1_15,-1,32753,0.650810612768296,0.5518459883557791,0.5910230766668209,0.9297558063201109,0.4937979169706288,0.12671632826465737,0.8003220611916264,0.37396538750940556,0.5097435897435898,0.8074069550880836,4497,1321,-0.0969682166519098,-0.14713443931288683,-0.144012430965617,-0.25658389766741907,-0.23780324344106674,0.26401950480810765,0.13770586629739023,0.06926019533116462,True
C2,g3-c2-t0-resnet18,clean,-1,32753,0.7477788294202058,0.698980427668666,0.7350355076324379,0.6657363015120032,0.35609205067323857,0.05745613293349274,0.9178532311062432,0.6305492851768246,0.7475468331846565,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
C2,g3-c2-t0-resnet18,gaussian_blur_radius_1,-1,32753,0.6690379507220713,0.6629982614153419,0.6652120209985838,0.8357503299125644,0.4548159105724335,0.0779703814093101,0.7832699619771863,0.6200150489089541,0.6921461570768584,0.7646933105364394,4631,2052,-0.07874087869813451,-0.035982166253324066,-0.06982348663385407,-0.010534236267870534,-0.055400676107798086,0.17001402840056112,0.09872385989919491,0.020514248475817363,True
C2,g3-c2-t0-resnet18,jpeg_quality_85,-1,32753,0.7255823893994443,0.6998994985328258,0.7223642501014543,0.7041506142802418,0.38127079788797363,0.05916346447178586,0.9018743109151047,0.6155003762227238,0.7316636851520573,0.8695386682135987,2260,1533,-0.022196440020761488,0.0009190708641598766,-0.012671257530983526,-0.015048908954100826,-0.01588314803259927,0.03841431276823859,0.025178747214735064,0.0017073315382931178,True
I2,g4-i2-article-type-lambda-0-3-c1,brightness_0_85,-1,32753,0.5456599395475223,0.36099870412009244,0.3639610437484834,1.2623542983857867,0.6451874792889681,0.19014783214607853,0.5,0.0030097817908201654,0.005983545250560957,0.6141116844258541,9347,2245,-0.21683509907489396,-0.3561789332026361,-0.38872591220961367,-0.6440933032355155,-0.7588008033488165,0.629887418206067,0.3073715006557207,0.1439374663022003,True
I2,g4-i2-article-type-lambda-0-3-c1,brightness_1_15,-1,32753,0.6966995389735291,0.6129778064714607,0.6555935601819107,0.7953059694032775,0.4274703907016637,0.08601157439937078,0.8464849354375896,0.4439428141459744,0.5824284304047384,0.8507617622813177,3318,1163,-0.0657954996488872,-0.10419983085126783,-0.09709339577618636,-0.2031602708803612,-0.18235591819463914,0.16283908922355772,0.08965441206841629,0.03980120855549256,True
I2,g4-i2-article-type-lambda-0-3-c1,clean,-1,32753,0.7624950386224163,0.7171776373227285,0.7526869559580971,0.6324668801797197,0.3378159786332474,0.04621036584387822,0.9347826086956522,0.6471030850263356,0.7647843485993775,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
I2,g4-i2-article-type-lambda-0-3-c1,gaussian_blur_radius_1,-1,32753,0.7043629591182488,0.6871083688040508,0.6969357014651656,0.7273880200242906,0.40240045028109733,0.03778109758965353,0.8204633204633205,0.6395786305492852,0.718816067653277,0.8045980520868318,3729,1825,-0.058132079504167544,-0.03006926851867775,-0.0557512544929315,-0.007524454477050413,-0.045968280946100504,0.09492113984457085,0.06458447164784992,-0.008429268254224694,True
I2,g4-i2-article-type-lambda-0-3-c1,jpeg_quality_85,-1,32753,0.7264372729215645,0.7087481382560908,0.730191441574592,0.6878155384565138,0.37594145603157286,0.06406167902384868,0.9163952225841476,0.6350639578630549,0.7502222222222222,0.8762556101731139,2404,1223,-0.03605776570085184,-0.008429499066637702,-0.022495514383505055,-0.012039127163280705,-0.01456212637715526,0.05534865827679403,0.03812547739832545,0.017851313179970463,True
