bin,rows,mean_confidence,accuracy
3,6,0.36996546387672424,0.3333333333333333
4,27,0.45391629029203345,0.25925925925925924
5,154,0.5498630652179965,0.42207792207792205
6,135,0.6472072879473368,0.4222222222222222
7,157,0.7499788118775483,0.5414012738853503
8,255,0.8555636901481479,0.5882352941176471
9,5044,0.9941495910558693,0.9002775574940524
