class_index,class_name,precision,recall,f1,support,development_count
89,Shoe Accessories,1.0,0.6666666666666666,0.8,3,20
90,Shoe Laces,0.0,0.0,0.0,0,1
91,Shorts,0.7666666666666667,0.8846153846153846,0.8214285714285714,78,447
92,Shrug,0.0,0.0,0.0,1,2
93,Skirts,0.7857142857142857,0.6111111111111112,0.6875,18,99
94,Socks,0.9662921348314607,0.945054945054945,0.9555555555555556,91,521
95,Sports Sandals,0.0,0.0,0.0,9,54
96,Sports Shoes,0.8448844884488449,0.8533333333333334,0.8490878938640133,300,1691
97,Stockings,0.75,1.0,0.8571428571428571,3,22
98,Stoles,0.7142857142857143,0.38461538461538464,0.5,13,77
99,Sunglasses,0.9934640522875817,0.9806451612903225,0.987012987012987,155,886
100,Suspenders,1.0,1.0,1.0,6,34
101,Sweaters,0.5581395348837209,0.5714285714285714,0.5647058823529412,42,234
102,Sweatshirts,0.8048780487804879,0.7674418604651163,0.7857142857142857,43,237
103,Swimwear,1.0,1.0,1.0,2,15
104,Tablet Sleeve,0.0,0.0,0.0,1,2
105,Ties,1.0,0.967741935483871,0.9836065573770492,31,179
106,Ties and Cufflinks,0.0,0.0,0.0,0,1
107,Tights,0.0,0.0,0.0,1,8
108,Tops,0.5882352941176471,0.6584362139917695,0.6213592233009708,243,1369
109,Track Pants,0.8888888888888888,0.8695652173913043,0.8791208791208791,46,249
110,Tracksuits,0.8,1.0,0.8888888888888888,4,24
111,Travel Accessory,1.0,1.0,1.0,1,12
112,Trolley Bag,0.0,0.0,0.0,0,3
113,Trousers,0.8433734939759037,0.9210526315789473,0.8805031446540881,76,435
114,Trunk,0.72,0.8571428571428571,0.782608695652174,21,119
115,Tshirts,0.9204771371769384,0.907843137254902,0.914116485686081,1020,5748
116,Tunics,0.14814814814814814,0.14814814814814814,0.14814814814814814,27,148
117,Umbrellas,1.0,1.0,1.0,1,5
118,Waist Pouch,0.0,0.0,0.0,2,15
119,Waistcoat,0.0,0.0,0.0,2,12
120,Wallets,0.8931297709923665,0.9435483870967742,0.9176470588235294,124,704
121,Watches,0.9821958456973294,0.9792899408284024,0.9807407407407407,338,1911
122,Water Bottle,1.0,1.0,1.0,1,10
123,Wristbands,1.0,1.0,1.0,1,5
