condition,macro_f1,weighted_f1,top1_accuracy,top5_accuracy
clean,0.5752214157640415,0.8469322598947371,0.8492557978539287,0.9842506057459328
jpeg_quality_85,0.5672486477445123,0.8454488114059941,0.8475250951886466,0.9844236760124611
brightness_0_85,0.32363132019621904,0.7046077379500317,0.7095880927656628,0.9307718933887158
brightness_1_15,0.49230894068477293,0.8164992984193719,0.8170647282796816,0.9681550709588093
gaussian_blur_radius_1,0.5407020141481639,0.8323761772467065,0.8352371062651437,0.9820006922810661
