slice,rows,macro_f1,weighted_f1,top1_accuracy,top5_accuracy
development_count_1_20,52,0.15161290322580642,0.5141025641025642,0.5,0.8076923076923077
development_count_21_100,266,0.16698485146821274,0.6639728422123985,0.6090225563909775,0.8909774436090225
development_count_over_100,5460,0.2764051567553823,0.8691826348351855,0.8642857142857143,0.9904761904761905
grayscale,49,0.13817204301075267,0.9027210884353741,0.8775510204081632,0.9795918367346939
colour,5729,0.5750619298110969,0.846643535040266,0.849013789492058,0.9842904520858788
