external_id,teacher_id,teacher_role,teacher_path,external_view,teacher_view,dhash_distance,ahash_distance,identity_evidence,accepted_overlap,mse,mae,max_difference,crop_mse,crop_mae,foreground_fraction_1,foreground_fraction_2,foreground_ratio
flipkart_party:BRAEBGGVYKJZAZYV,55073,prediction,data/raw/teacher/test/images_test/55073.jpg,original,crop_,2,30,,False,0.40504035353660583,0.5489369034767151,1.0,0.39609894156455994,0.5359097123146057,0.227444,0.9104166666666667,0.24982407322654462
flipkart_party:TOPEA6CKCHFHTUZ9,21113,development,data/raw/teacher/train/images_train/21113.jpg,view_,original,2,2,,False,0.035171087831258774,0.09731445461511612,0.9215686321258545,0.06614936143159866,0.1681395024061203,0.4425,0.46041666666666664,0.9610859728506788
flipkart_party:TOPEA6CKCHFHTUZ9,26895,development,data/raw/teacher/train/images_train/26895.jpg,view_,original,2,3,,False,0.04058497026562691,0.10879639536142349,0.9254902005195618,0.07536808401346207,0.18720893561840057,0.4425,0.44583333333333336,0.9925233644859812
flipkart_party:TOPEA6CKCHFHTUZ9,21113,development,data/raw/teacher/train/images_train/21113.jpg,view_,view_,2,2,,False,0.035171087831258774,0.09731445461511612,0.9215686321258545,0.06614936143159866,0.1681395024061203,0.4425,0.46041666666666664,0.9610859728506788
flipkart_party:TOPEA6CKCHFHTUZ9,26895,development,data/raw/teacher/train/images_train/26895.jpg,view_,view_,2,3,,False,0.04058497026562691,0.10879639536142349,0.9254902005195618,0.07536808401346207,0.18720893561840057,0.4425,0.44583333333333336,0.9925233644859812
flipkart_party:SHOEDTP4GJZGKCFS,20706,development,data/raw/teacher/train/images_train/20706.jpg,original,crop_,2,6,,False,0.04447079822421074,0.1323743313550949,0.9607843160629272,0.04676707461476326,0.13538795709609985,0.556483048192016,0.5967823026646556,0.9324724371136646
Amazon Berkeley Objects:B079L8JS1G,24947,development,data/raw/teacher/train/images_train/24947.jpg,view_,crop_,2,12,,False,0.12021715193986893,0.24540185928344727,1.0,0.19347400963306427,0.35696616768836975,0.6477083333333333,0.6743886743886743,0.9604377385496183
