model,validation_f1,mean_gap,mean_clean_train_f1,unisex_correct,unisex_support,errors,nll,ece_15
MixUp 0.2,0.8089088049657726,0.1291326731140856,0.9381230649694778,361,707,1192,0.27026775917756757,0.013195798171557718
SAM 30,0.7943400936371426,0.10862370572251606,0.9029120122463494,356,707,1237,0.2787899773983203,0.02031536970790518
SAM 25,0.7985792946813797,0.09933133495666524,0.8979498395350844,361,707,1245,0.2828050950050764,0.027939479295121698
