target,class,partition,count,percentage,scope
articleType,Tablet Sleeve,development,2,0.006102584444512251,development_targets_only
articleType,Ties,development,179,0.5461813077838464,development_targets_only
articleType,Ties and Cufflinks,development,1,0.0030512922222561255,development_targets_only
articleType,Tights,development,8,0.024410337778049004,development_targets_only
articleType,Tops,development,1369,4.177219052268636,development_targets_only
articleType,Track Pants,development,249,0.7597717633417753,development_targets_only
articleType,Tracksuits,development,24,0.07323101333414701,development_targets_only
articleType,Travel Accessory,development,12,0.03661550666707351,development_targets_only
articleType,Trolley Bag,development,3,0.009153876666768377,development_targets_only
articleType,Trousers,development,435,1.3273121166814146,development_targets_only
articleType,Trunk,development,119,0.36310377444847897,development_targets_only
articleType,Tshirts,development,5748,17.53882769352821,development_targets_only
articleType,Tunics,development,148,0.45159124889390656,development_targets_only
articleType,Umbrellas,development,5,0.015256461111280628,development_targets_only
articleType,Waist Pouch,development,15,0.04576938333384188,development_targets_only
articleType,Waistcoat,development,12,0.03661550666707351,development_targets_only
articleType,Wallets,development,704,2.1481097244683123,development_targets_only
articleType,Watches,development,1911,5.831019436731456,development_targets_only
articleType,Water Bottle,development,10,0.030512922222561255,development_targets_only
articleType,Wristbands,development,5,0.015256461111280628,development_targets_only
season,Fall,development,8928,27.25857173388697,development_targets_only
season,Spring,development,1329,4.057643574634385,development_targets_only
season,Summer,development,16235,49.56797850578573,development_targets_only
season,Winter,development,6261,19.115806185692914,development_targets_only
gender,Boys,development,684,2.0870838800231897,development_targets_only
gender,Girls,development,543,1.6568516766850763,development_targets_only
gender,Men,development,17753,54.169590821713,development_targets_only
gender,Unisex,development,1766,5.388582064504317,development_targets_only
gender,Women,development,12027,36.69789155707442,development_targets_only
usage,Casual,development,25151,76.74539240815331,development_targets_only
usage,Ethnic,development,2183,6.661174173074576,development_targets_only
usage,Formal,development,1949,5.9471500061027704,development_targets_only
usage,Home,development,1,0.0030513853289393386,development_targets_only
usage,NA,development,61,0.18613450506529966,development_targets_only
usage,Party,development,12,0.03661662394727206,development_targets_only
usage,Smart Casual,development,47,0.1434151104601489,development_targets_only
usage,Sports,development,3346,10.209935310631026,development_targets_only
usage,Travel,development,22,0.06713047723666545,development_targets_only
