experiment_id,run_id,fold,seed,source,n_samples,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,nll,brier,ece
g2-t1-c2-resnet18,g2-t1-c2-resnet18-f0-s2753-b526dcae9e76,0,2753,cache,6550,0.7061068702290076,0.6507810369930613,0.7797968682156484,0.6507810369930613,0.6926940762553593,0.6953842987648035,0.690601534895699,0.3888550932803771,0.041269624507730626
g2-t1-c2-resnet18,g2-t1-c2-resnet18-f1-s2753-e52955c401e9,1,2753,cache,6551,0.7116470767821707,0.6550480400468416,0.7696547964817831,0.6550480400468416,0.6958433790718304,0.7046075359491915,0.6980591697105623,0.3907135646898351,0.038426106658001766
g2-t1-c2-resnet18,g2-t1-c2-resnet18-f2-s2753-29d5ef810bf2,2,2753,cache,6550,0.7164885496183206,0.6599062528690619,0.7771321069831145,0.6599062528690619,0.7032541520109927,0.7120801787524512,0.7127821072109731,0.39365447061977815,0.025190903136186573
g2-t1-c2-resnet18,g2-t1-c2-resnet18-f3-s2753-41548f0fa802,3,2753,cache,6550,0.7248854961832061,0.656593910574691,0.8114910527909929,0.656593910574691,0.7070831089809126,0.7136652154898019,0.6628274636703643,0.3732023854686865,0.022541552785158472
g2-t1-c2-resnet18,g2-t1-c2-resnet18-f4-s2753-a5b09ce0eb52,4,2753,cache,6552,0.7161172161172161,0.6559037014769407,0.7960648091711442,0.6559037014769407,0.702654828196052,0.7050531839495534,0.6910543354341414,0.3881462164319493,0.03336759794030517
