run_id,validation_fold,corruption,loss,macro_f1,macro_f1_change,model,fold
t3_usage_replaced_v3_mixup_sam_usage_smallcnn_f0_s2753_efaf7648b32f_20260906T171028Zac966b,0,jpeg_75,0.5061648724969419,0.6359201803144721,-0.0312846954511339,v3,0
t3_usage_replaced_v3_mixup_sam_usage_smallcnn_f0_s2753_efaf7648b32f_20260906T171028Zac966b,0,brightness_085,1.10899825729449,0.2988426614934229,-0.3683622142721831,v3,0
t3_usage_replaced_v3_mixup_sam_usage_smallcnn_f0_s2753_efaf7648b32f_20260906T171028Zac966b,0,brightness_115,0.622347575170165,0.6112355866574279,-0.0559692891081781,v3,0
t3_usage_replaced_v3_mixup_sam_usage_smallcnn_f0_s2753_efaf7648b32f_20260906T171028Zac966b,0,translation_003,0.5415857237702191,0.593361237200048,-0.073843638565558,v3,0
t3_usage_replaced_v3_mixup_sam_usage_smallcnn_f0_s2753_efaf7648b32f_20260906T171028Zac966b,0,grayscale,0.5352833892399996,0.6315304394957685,-0.0356744362698375,v3,0
t3_usage_expanded_v2_mixup_sam_usage_smallcnn_f0_s2753_dd6018a005e9_20260906T154107Z42a2aa,0,jpeg_75,0.4255473009457945,0.7546144397112601,0.0003014735468267,v2,0
t3_usage_expanded_v2_mixup_sam_usage_smallcnn_f0_s2753_dd6018a005e9_20260906T154107Z42a2aa,0,brightness_085,1.0387343740006154,0.3889965487092928,-0.3653164174551405,v2,0
t3_usage_expanded_v2_mixup_sam_usage_smallcnn_f0_s2753_dd6018a005e9_20260906T154107Z42a2aa,0,brightness_115,0.4872023200523494,0.721269133063985,-0.0330438331004483,v2,0
t3_usage_expanded_v2_mixup_sam_usage_smallcnn_f0_s2753_dd6018a005e9_20260906T154107Z42a2aa,0,translation_003,0.4753584667781259,0.7087927638612892,-0.0455202023031441,v2,0
t3_usage_expanded_v2_mixup_sam_usage_smallcnn_f0_s2753_dd6018a005e9_20260906T154107Z42a2aa,0,grayscale,0.4602480594291213,0.7270355609712761,-0.0272774051931572,v2,0
t3_usage_replaced_v3_mixup_sam_usage_smallcnn_f4_s2753_efaf7648b32f_20260906T172117Zb45c56,4,jpeg_75,0.4845939424184926,0.7020833694091616,0.0160928749466741,v3,4
t3_usage_replaced_v3_mixup_sam_usage_smallcnn_f4_s2753_efaf7648b32f_20260906T172117Zb45c56,4,brightness_085,1.1066598498087374,0.3288435480096454,-0.3571469464528421,v3,4
t3_usage_replaced_v3_mixup_sam_usage_smallcnn_f4_s2753_efaf7648b32f_20260906T172117Zb45c56,4,brightness_115,0.6726487925100851,0.6109019360619298,-0.0750885584005577,v3,4
t3_usage_replaced_v3_mixup_sam_usage_smallcnn_f4_s2753_efaf7648b32f_20260906T172117Zb45c56,4,translation_003,0.5135171973488101,0.6551284812093683,-0.0308620132531192,v3,4
t3_usage_replaced_v3_mixup_sam_usage_smallcnn_f4_s2753_efaf7648b32f_20260906T172117Zb45c56,4,grayscale,0.5286106237207043,0.6740266514281982,-0.0119638430342893,v3,4
t3_usage_expanded_v2_mixup_sam_usage_smallcnn_f4_s2753_dd6018a005e9_20260906T155155Z92ec97,4,jpeg_75,0.4535682838180911,0.746708296510054,-0.0006709873408821,v2,4
t3_usage_expanded_v2_mixup_sam_usage_smallcnn_f4_s2753_dd6018a005e9_20260906T155155Z92ec97,4,brightness_085,1.131499392204636,0.2992691145126143,-0.4481101693383218,v2,4
t3_usage_expanded_v2_mixup_sam_usage_smallcnn_f4_s2753_dd6018a005e9_20260906T155155Z92ec97,4,brightness_115,0.6229923564962501,0.65993883208683,-0.087440451764106,v2,4
t3_usage_expanded_v2_mixup_sam_usage_smallcnn_f4_s2753_dd6018a005e9_20260906T155155Z92ec97,4,translation_003,0.4922697536364128,0.6945321531634914,-0.0528471306874447,v2,4
t3_usage_expanded_v2_mixup_sam_usage_smallcnn_f4_s2753_dd6018a005e9_20260906T155155Z92ec97,4,grayscale,0.4904639189840114,0.7171068869995094,-0.0302723968514266,v2,4
