model,fold,partition,mode,batch_size,order,delta,flips,passed
CompactBlurCNN,0,train,ieee,1,shuffle,7.152557373046875e-07,0,True
CompactBlurCNN,0,train,ieee,32,forward,3.8743019104003906e-07,0,True
CompactBlurCNN,0,train,ieee,32,reverse,3.8743019104003906e-07,0,True
CompactBlurCNN,0,train,ieee,32,shuffle,3.8743019104003906e-07,0,True
CompactBlurCNN,0,train,ieee,128,forward,0.0,0,True
CompactBlurCNN,0,train,ieee,128,reverse,1.7881393432617188e-07,0,True
CompactBlurCNN,0,train,ieee,128,shuffle,2.086162567138672e-07,0,True
CompactBlurCNN,0,validation,runtime_default,1,forward,0.001498878002166748,0,False
CompactBlurCNN,0,validation,runtime_default,1,reverse,0.001498878002166748,0,False
CompactBlurCNN,0,validation,runtime_default,1,shuffle,0.001498878002166748,0,False
CompactBlurCNN,0,validation,runtime_default,32,forward,0.0007942914962768555,0,False
CompactBlurCNN,0,validation,runtime_default,32,reverse,0.0007942914962768555,0,False
CompactBlurCNN,0,validation,runtime_default,32,shuffle,0.0007942914962768555,0,False
CompactBlurCNN,0,validation,runtime_default,128,forward,0.0,0,True
CompactBlurCNN,0,validation,runtime_default,128,reverse,0.0007942914962768555,0,False
CompactBlurCNN,0,validation,runtime_default,128,shuffle,0.0005307197570800781,0,False
CompactBlurCNN,0,validation,ieee,1,forward,7.748603820800781e-07,0,True
CompactBlurCNN,0,validation,ieee,1,reverse,7.748603820800781e-07,0,True
CompactBlurCNN,0,validation,ieee,1,shuffle,7.748603820800781e-07,0,True
CompactBlurCNN,0,validation,ieee,32,forward,2.384185791015625e-07,0,True
CompactBlurCNN,0,validation,ieee,32,reverse,2.384185791015625e-07,0,True
CompactBlurCNN,0,validation,ieee,32,shuffle,2.384185791015625e-07,0,True
CompactBlurCNN,0,validation,ieee,128,forward,0.0,0,True
CompactBlurCNN,0,validation,ieee,128,reverse,1.7881393432617188e-07,0,True
CompactBlurCNN,0,validation,ieee,128,shuffle,2.086162567138672e-07,0,True
CompactBlurCNN,4,train,runtime_default,1,forward,0.002153635025024414,0,False
CompactBlurCNN,4,train,runtime_default,1,reverse,0.002153635025024414,0,False
CompactBlurCNN,4,train,runtime_default,1,shuffle,0.002153635025024414,0,False
CompactBlurCNN,4,train,runtime_default,32,forward,0.0009154677391052246,0,False
CompactBlurCNN,4,train,runtime_default,32,reverse,0.0009154677391052246,0,False
CompactBlurCNN,4,train,runtime_default,32,shuffle,0.0009154677391052246,0,False
