token,rows
Casual,5467
Everyday,2126
Wedding and Engagement,1562
Love,848
Workwear,777
Formal,726
Party,693
Religious,432
Festive,223
Sports,219
Wedding,180
Lounge Wear,149
Beach Wear,129
Party-Wedding,97
Ethnic,56
Evening/Party,35
Travel,20
Work,16
Special,9
Special Occasion,6
Lifestyle,5
Party and Celebration,2
Festival,2
All Occasions,2
Outdoor Adventure,2
Birthday,1
Event,1
Friendship Day,1
|Wedding and Engagement,1
TRAVEL,1
Trekking,1
travel,1
Hiking,1
Riding,1
Beach,1
Picnic,1
Rainy Weather,1
Halloween,1
Adventure,1
College,1
Gym and Training,1
School,1
Sporty,1
Casual And Formal,1
Rain,1
Sun,1
