root_category,occasion,rows,unique_product_ids
ANAND ARCHIES Girls Flats,Casual,2,2
ANAND ARCHIES Girls Wedges,Casual,1,1
ANASAZI Casual 3/4 Sleeve Solid Women's Top,Casual,1,1
Arial Morris Women Flats,Casual,1,1
Asics Gel-Cumulus 17 Running Shoes,Sports,1,1
Asics Gel-Kayano 22 Running Shoes,Sports,1,1
Attitude Printed Women's Round Neck Black T-Shirt,Casual,1,1
BLM Casual Printed Women's Kurti,Casual,1,1
Baby Care,Beach Wear,1,1
Baby Care,Casual,86,86
Baby Care,Festive,4,4
Baby Care,Formal,3,3
Baby Care,Halloween,1,1
Baby Care,Party,15,15
Baby Care,Sports,1,1
Baby Care,Wedding,3,3
"Bags, Wallets & Belts",Adventure,1,1
"Bags, Wallets & Belts",All Occasions,2,2
"Bags, Wallets & Belts",Casual,113,113
"Bags, Wallets & Belts",Casual And Formal,1,1
"Bags, Wallets & Belts",College,1,1
"Bags, Wallets & Belts",Evening/Party,35,35
"Bags, Wallets & Belts",Festive,28,28
"Bags, Wallets & Belts",Formal,25,25
"Bags, Wallets & Belts",Gym and Training,1,1
"Bags, Wallets & Belts",Hiking,1,1
"Bags, Wallets & Belts",Lifestyle,1,1
"Bags, Wallets & Belts",Outdoor Adventure,2,2
"Bags, Wallets & Belts",Party,6,6
"Bags, Wallets & Belts",School,1,1
"Bags, Wallets & Belts",Special Occasion,1,1
"Bags, Wallets & Belts",Sports,1,1
"Bags, Wallets & Belts",Sporty,1,1
"Bags, Wallets & Belts",TRAVEL,1,1
"Bags, Wallets & Belts",Travel,20,20
"Bags, Wallets & Belts",Trekking,1,1
"Bags, Wallets & Belts",Wedding,1,1
"Bags, Wallets & Belts",Wedding and Engagement,1,1
"Bags, Wallets & Belts",travel,1,1
Be 13 Printed Boy's Round Neck T-Shirt (Pack of 2),Casual,1,1
Bootwale Bellies,Casual,1,1
Clothing,Beach Wear,128,128
Clothing,Casual,4199,4199
Clothing,Everyday,4,4
Clothing,Festive,175,175
Clothing,Formal,481,481
Clothing,Lifestyle,3,3
Clothing,Lounge Wear,149,149
Clothing,Party,519,519
Clothing,Sports,118,118
Clothing,Wedding,147,147
Clothing,Wedding and Engagement,2,2
Clothing,Workwear,4,4
D&D Women Flats,Casual,2,2
Dilan Jewels Alloy Zircon 18K Yellow Gold Bangle...,Everyday,1,1
Dilan Jewels Alloy Zircon 18K Yellow Gold Bangle...,Love,3,3
Dilan Jewels Alloy Zircon 18K Yellow Gold Bangle...,Religious,3,3
Dilan Jewels Alloy Zircon 18K Yellow Gold Bangle...,Wedding and Engagement,3,3
Disney Printed Baby Boy's Hooded Grey T-Shirt,Casual,1,1
EASIES Solid Single Breasted Casual Men's Blazer,Casual,2,2
Escan Lace Up,Sports,1,1
FEET FLOW Women Flats,Casual,3,3
FEET FLOW Women Flats,Party,1,1
FIFO Bottom Women's Combo,Casual,1,1
Foot Candy Women Flats,Party,1,1
Footwear,Casual,812,812
Footwear,Ethnic,56,56
Footwear,Formal,124,124
Footwear,Party,140,140
Footwear,Riding,1,1
Footwear,Sports,54,54
Footwear,Wedding,28,28
Frabjous German silver Rings For Women Alloy Zir...,Everyday,3,3
Glacier Running Shoes,Sports,1,1
Home Decor & Festive Needs,Festival,2,2
Home Decor & Festive Needs,Friendship Day,1,1
INDILEGO Women Flats,Casual,2,2
Indistar Self Design Viscose Women's Stole,Casual,1,1
Jewellery,Everyday,2114,2114
Jewellery,Festive,4,4
Jewellery,Love,841,841
Jewellery,Religious,429,429
Jewellery,Special,9,9
Jewellery,Special Occasion,5,5
Jewellery,Wedding and Engagement,1547,1547
Jewellery,Work,16,16
Jewellery,Workwear,770,770
Jewellery,|Wedding and Engagement,1,1
"Joyra Heart Sterling Silver Swarovski Crystal, S...",Everyday,1,1
"Joyra Heart Sterling Silver Swarovski Crystal, S...",Love,1,1
"Joyra Heart Sterling Silver Swarovski Crystal, S...",Wedding and Engagement,1,1
"Joyra Heart Sterling Silver Swarovski Crystal, S...",Workwear,1,1
Just Wow Women Flats,Casual,1,1
Kanvas Bellies,Casual,1,1
Kitchen & Dining,Party and Celebration,1,1
Kittens Boys Flats,Casual,1,1
Klaur Melbourne Bellies,Casual,1,1
"Knight Ace Kraasa Sports Running Shoes, Cycling ...",Sports,1,1
LGRL Women's Leggings,Casual,1,1
Laser X Checkered Men's Boxer (Pack of 4),Casual,1,1
Libas Printed Women's A-line Kurta,Casual,1,1
Libas Printed Women's A-line Kurta,Party,1,1
Libas Printed Women's Anarkali Kurta,Casual,1,1
Libas Printed Women's Anarkali Kurta,Party,1,1
Little Stars Girl's A-line Multicolor Dress,Casual,1,1
LondonHouze Printed Women's Round Neck Grey T-Shirt,Casual,1,1
MASARA Solid Women's Straight Kurta,Casual,5,5
Nine Maternity Wear Women's Fit and Flare Dress,Casual,1,1
Noor Embroidered Women's Straight Kurta,Casual,1,1
Nut Khut Embroidered Kurta & Churidar,Casual,1,1
Nut Khut Embroidered Kurta & Churidar,Festive,1,1
Nut Khut Embroidered Kurta & Churidar,Party,1,1
Nut Khut Embroidered Kurta & Churidar,Wedding,1,1
Pens & Stationery,Beach,1,1
Pens & Stationery,Picnic,1,1
Pens & Stationery,Rainy Weather,1,1
Pet Supplies,Sports,1,1
Pout Brass Bangle,Wedding and Engagement,3,3
PrivateLifes MasterPiece Women's Push-up Bra,Party,1,1
Pu-Good Women Flats,Casual,4,4
REMSON INDIA Women Flats,Casual,1,1
Rasav Jewels Yellow Gold Diamond 18 K Ring,Everyday,1,1
Rasav Jewels Yellow Gold Diamond 18 K Ring,Love,1,1
Rasav Jewels Yellow Gold Diamond 18 K Ring,Wedding and Engagement,1,1
Rasav Jewels Yellow Gold Diamond 18 K Ring,Workwear,1,1
Royal Seal Creations 40 ST COLOR Silver Zircon N...,Everyday,1,1
Royal Seal Creations 40 ST COLOR Silver Zircon N...,Love,1,1
Royal Seal Creations 40 ST COLOR Silver Zircon N...,Wedding and Engagement,1,1
SMART TRADERS Girls Bellies,Party,1,1
SMART TRADERS Women Flats,Party,1,1
SMART TRADERS Women Wedges,Casual,1,1
Shonaya Printed Bhagalpuri Art Silk Sari,Casual,1,1
Siyas Collection Lac Cubic Zirconia Bangle Set (...,Wedding and Engagement,2,2
Small Toes Bellies,Party,1,1
Sonaxo Men Running Shoes,Sports,1,1
Sports & Fitness,Lifestyle,1,1
Sports & Fitness,Sports,1,1
Starsy Printed Women's Round Neck Black T-Shirt,Party,1,1
Starsy Solid Women's Round Neck Green T-Shirt,Party,1,1
Style World Women Flats,Casual,1,1
TSG Breeze Printed Women's Round Neck Multicolor...,Casual,2,2
Taurus Black & white Lace Up,Formal,1,1
