occasion,rows
"Party, Casual, Beach Wear",1
"Party, Formal, Casual",1
"Wedding and Engagement, Everyday, Love, Religious, Workwear",1
"Formal, Festive, Party",1
"Religious, Everyday",1
"Casual, Formal, Party, Sports, Wedding, Ethnic",1
"Party, Wedding, Ethnic",1
"Everyday, Work, Festive, Love, Special Occasion",1
"Travel, Evening/Party, Casual",1
"Casual, Travel",1
"Casual, Ethnic, Party, Wedding",1
"Wedding, Party, Formal, Festive, Casual",1
"Casual, Party, Formal, Festive, Beach Wear, Wedding",1
"Casual, Wedding, Party",1
"Party, Wedding, Beach Wear, Formal, Casual, Festive, Casual",1
"Wedding, Casual, Party, Festive",1
"Wedding, Party, Casual, Formal",1
"Casual, Party, Formal",1
"Wedding, Party, Casual, Festive, Lounge Wear",1
"Ethnic, Wedding, Casual, Party",1
"Love, Workwear, Wedding and Engagement",1
"Wedding and Engagement, Everyday, Wedding and Engagement, Religious, Workwear",1
"Special Occasion, Work, Everyday, Festive",1
"Birthday, Party and Celebration",1
"Everyday, Love, Workwear, Religious",1
"Everyday, Special Occasion, Festive, Work",1
"Wedding and Engagement, Religious, Love, Religious",1
"Everyday, Love, Religious, Workwear",1
"Wedding and Engagement, Everyday, Wedding and Engagement, Workwear",1
"Love, Wedding and Engagement, Religious, Wedding and Engagement, Religious",1
"Workwear, Everyday, Wedding and Engagement, Love, Religious",1
"Love, Religious",1
"Wedding and Engagement, Workwear, Love, Everyday",1
"Workwear, Everyday, Wedding and Engagement",1
"Workwear, Love, Religious",1
"Everyday, Love, Workwear, Wedding and Engagement",1
"Festive, Party",1
"Beach Wear, Casual, Formal, Lounge Wear, Party",1
Event,1
Party and Celebration,1
"Party, Ethnic",1
"Religious, Wedding and Engagement, Everyday",1
"Party-Wedding, Casual, Formal, Sports",1
"Party, Casual, Wedding",1
"Wedding and Engagement, Love, Workwear, Religious",1
"Wedding and Engagement, Everyday, Religious, Love",1
"Formal, Sports",1
"Everyday, Work, Special Occasion, Festive, Wedding and Engagement",1
"Casual, Party, Beach Wear",1
"Formal, Party, Wedding",1
"Casual, Formal, Lounge Wear, Beach Wear, Party",1
"Casual, Lounge Wear, Wedding",1
Friendship Day,1
"Casual, Festive, Formal, Lounge Wear, Party, Wedding",1
"Casual, Festive, Lounge Wear, Wedding",1
"Wedding and Engagement, Workwear, Religious, Love, Everyday",1
"Party, Wedding, Formal",1
"Everyday, |Wedding and Engagement",1
"Everyday, Religious, Love, Religious, Wedding and Engagement, Workwear",1
TRAVEL,1
"Everyday, Love, Religious, Workwear, Wedding and Engagement",1
"Casual, Lifestyle, Sports, Lifestyle",1
Special Occasion,1
"Trekking, travel",1
"Casual, Formal, Evening/Party",1
"Evening/Party, Casual, Formal",1
"Casual, Festive, Evening/Party",1
"Evening/Party, Formal, Casual, Festive",1
"Casual, Party-Wedding, Sports, Formal",1
"Everyday, Religious, Love, Wedding and Engagement, Workwear",1
"Love, Religious, Wedding and Engagement",1
"Wedding, Casual, Formal, Party, Sports",1
"Workwear, Religious, Love, Everyday",1
"Everyday, Wedding and Engagement, Workwear, Religious, Love, Wedding and Engagement",1
"Wedding and Engagement, Religious, Love, Everyday, Religious, Workwear",1
"Religious, Everyday, Love, Workwear",1
"Hiking, Outdoor Adventure, Travel",1
Riding,1
"Wedding, Party, Casual",1
"Formal, Wedding",1
"Ethnic, Party",1
"Wedding, Ethnic",1
"Ethnic, Casual, Wedding",1
"Formal, Party, Wedding, Casual",1
"Picnic, Beach, Rainy Weather",1
"Sports, Casual, Lounge Wear",1
"Lounge Wear, Sports, Casual",1
"Beach Wear, Casual, Lounge Wear, Sports",1
"Formal, Party, Wedding, Casual, Festive",1
"Wedding and Engagement, Workwear, Workwear, Love",1
Halloween,1
"Love, Wedding and Engagement, Workwear, Everyday, Religious",1
"Wedding and Engagement, Workwear, Religious, Love",1
"Religious, Love, Workwear",1
"Workwear, Religious, Wedding and Engagement, Love",1
"Everyday, Work, Wedding and Engagement",1
"Ethnic, Sports, Formal",1
"Casual, Beach Wear, Lounge Wear, Sports",1
"Sporty, Adventure, College, Gym and Training, School",1
"Casual, Outdoor Adventure, Travel",1
"Casual, Formal, Travel, Festive, Party",1
Casual And Formal,1
"Wedding and Engagement, Everyday, Religious, Workwear",1
"Beach Wear, Sports",1
"Casual, Party, Ethnic, Wedding",1
"Formal, Evening/Party, Casual",1
"Festive, Wedding, Party, Casual",1
"Party, Festive, Wedding",1
"Sun, Rain",1
"Evening/Party, Festive",1
"Festive, Wedding and Engagement, Special Occasion",1
"Festive, Festive, Casual",1
"Wedding, Casual, Casual",1
"Ethnic, Casual, Party, Wedding",1
"Casual, Beach Wear, Festive, Lounge Wear, Party",1
"Evening/Party, Travel, Casual, Formal, Festive",1
"Casual, Beach Wear, Sports",1
"Formal, Casual, Festive, Party",1
